County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Culberson,9/10,400,239,192,47,1748,437,67,0,747
Dallam,1,2850,1075,996,79,5218,784,40,0,2102
Dallas,2/3,362525,185469,148832,36637,1973394,263104,142713,21399,720032
Dawson,9/10,700,640,586,54,9945,1886,304,112,4295
Deaf Smith,1,1900,1389,1097,292,13508,2327,238,147,5412
Delta,4/5N,200,302,236,66,4094,1077,379,100,1536
Denton,2/3,91100,39426,30146,9280,625804,76607,23806,5913,234507
DeWitt,8,800,974,723,251,16416,3890,319,438,6338
Dickens,1,0,229,216,13,1828,470,21,0,702
Dimmit,8,4025,1831,1688,143,7833,1608,238,175,3418
Donley,1,200,365,325,40,2752,788,27,65,943
Duval,11,600,1113,995,118,8812,1996,69,150,3674
Eastland,2/3,1100,1187,939,248,14836,3973,860,389,5366
Ector,9/10,25100,14318,11975,2343,115020,15091,5303,1016,48266
Edwards,8,0,152,118,34,1542,505,24,0,551
El Paso,9/10,134575,101601,80220,21381,628926,96901,35065,8383,244199
Ellis,2/3,11300,9893,7623,2270,128488,20833,3985,1994,49952
Erath,2/3,1800,2059,1689,370,33688,5660,1250,481,12304
Falls,7,3625,1349,1233,116,14009,3015,328,187,5761
Fannin,2/3,6325,3263,2510,753,27641,6356,962,614,10494
Fayette,7,1400,1301,1141,160,20436,6020,998,647,6949
Fisher,2/3,400,290,278,12,3156,917,101,28,1117
Floyd,1,600,501,461,40,4453,1080,132,68,1761
Foard,2/3,300,199,179,20,988,322,7,80,342
Fort Bend,6/5S,84475,71231,57407,13824,560888,74956,24721,4977,163273
Franklin,4/5N,900,628,510,118,8375,2293,169,163,2822
Freestone,7,1200,756,691,65,15656,3767,553,261,6361
Frio,8,3475,1996,1662,334,15391,2285,186,166,6540
Gaines,9/10,1200,971,724,247,13837,1739,323,95,5892
Galveston,6/5S,45700,39046,30454,8592,257226,44170,11784,2830,94171
Garza,1,400,197,171,26,5247,708,33,75,2165
Gillespie,8,5500,2984,2499,485,21640,7573,1175,706,6752
Glasscock,9/10,0,96,91,5,1066,206,23,0,412
Goliad,8,100,735,635,100,6085,1629,39,135,2286
Gonzales,8,1600,1249,1016,233,15705,3351,550,256,6350
Gray,1,1400,1544,1354,190,17544,3562,689,315,7285
Grayson,2/3,22500,10986,8338,2648,101210,22230,9338,2131,38463
Gregg,4/5N,20375,7586,5695,1891,94630,18206,7025,2324,37524
Grimes,7,1400,1302,1067,235,21992,4574,234,311,9284
Guadalupe,8,14650,8184,5804,2380,119599,20632,3801,1225,45624
Hale,1,2900,2432,1991,441,25683,4434,873,399,10752
Hall,1,0,342,303,39,2476,719,27,72,1014
Hamilton,7,1600,2125,1649,476,6706,2085,481,296,2394
Hansford,1,600,690,503,187,4110,801,139,84,1684
Hardeman,2/3,1000,647,519,128,3190,822,102,16,1191
Hardin,6/5S,5400,3297,2842,455,43970,9078,1003,527,15981
Harris,6/5S,666400,384701,302352,82349,3508328,451182,225769,27623,1394059
Harrison,4/5N,3800,2740,2215,525,51597,10673,3063,608,20830
Hartley,1,1475,401,382,19,4650,803,196,94,1735
Haskell,2/3,500,633,569,64,4804,1263,123,68,1859
Hays,7,21575,17165,13458,3707,162285,21165,5488,1907,55178
Hemphill,1,1300,560,418,142,2920,557,104,98,1134
Henderson,4/5N,4100,4154,3304,850,64810,17351,2043,998,25865
Hidalgo,11,123725,64911,51344,13567,596338,90198,54962,17074,277365
Hill,7,1900,2294,1897,397,27788,7225,862,523,10878
Hockley,1,1200,1612,1241,371,17697,3243,483,263,6880
Hood,2/3,4000,2820,2197,623,45943,13731,1720,867,15623
Hopkins,4/5N,2800,2129,1797,332,28122,6369,1192,620,10898
Houston,4/5N,2000,1557,1294,263,18932,4898,634,538,7550
Howard,9/10,2900,1604,1188,416,29022,4506,1456,454,12037
Hudspeth,9/10,100,216,181,35,3380,633,33,0,1525
Hunt,2/3,7150,6804,4578,2226,72504,14443,4112,947,29089
Hutchinson,1,800,1463,1245,218,16624,3444,504,246,6340
Irion,9/10,0,96,79,17,1248,316,15,0,442
Jack,2/3,1100,484,413,71,7119,1426,198,149,2721
Jackson,8,2775,1660,1291,369,11500,2563,380,237,4317
Jasper,4/5N,7100,2424,2302,122,27762,6745,1597,374,11770
Jeff Davis,9/10,200,222,204,18,2090,720,28,0,686
Jefferson,6/5S,27750,10239,8813,1426,201245,35410,13127,2431,93531
Jim Hogg,11,200,615,557,58,3800,884,14,60,1580
Jim Wells,11,4725,4404,3890,514,30844,6040,3897,985,12774
Johnson,2/3,4700,9527,7608,1919,125290,22292,3559,1471,49748
Jones,2/3,500,964,806,158,16890,2960,337,254,7035
Karnes,8,1800,1088,1009,79,12599,2155,370,244,5170
Kaufman,2/3,4750,7310,5421,1889,89077,14015,2857,1189,35354
Kendall,8,2300,4193,3083,1110,33387,7902,1091,801,11264
Kenedy,11,0,104,101,3,332,80,1,0,138
Kent,2/3,0,83,78,5,617,205,13,60,197
Kerr,8,4700,3398,2469,929,42636,13836,2805,1022,13882
Kimble,9/10,500,370,303,67,3704,1256,90,0,1288
King,1,0,22,17,5,221,50,7,0,77
Kinney,8,200,287,281,6,3043,889,11,0,1178
Kleberg,11,7225,4849,4461,388,24557,3997,1401,341,9458
Knox,2/3,700,424,358,66,2836,705,95,127,1004
La Salle,8,3425,1403,1364,39,6224,1014,22,60,2417
Lamar,4/5N,4400,4430,3302,1128,39046,9302,3115,745,15021
Lamb,1,400,1389,1204,185,9952,2150,454,226,4127
Lampasas,7,800,880,761,119,16398,3831,348,284,6221
Lavaca,8,2100,1688,1279,409,15734,4525,820,612,5425
Lee,7,800,783,638,145,13736,3030,334,226,5299
Leon,7,700,695,549,146,13735,4066,155,74,4689
Liberty,6/5S,7225,3297,2803,494,62895,10468,1398,614,27000
Limestone,7,1700,1020,924,96,18743,4350,2332,1060,7614
Lipscomb,1,200,288,228,60,2656,552,24,61,1016
Live Oak,11,300,823,767,56,9914,2426,35,100,3751
Llano,7,1200,1008,853,155,17808,7290,277,358,5227
Loving,9/10,0,23,22,1,72,9,0,0,30
Lubbock,1,84600,48611,38545,10066,236917,35987,20974,4093,81176
Lynn,1,400,565,467,98,4411,1014,191,40,1773
Madison,7,700,486,376,110,11441,2163,299,258,4426
Marion,4/5N,0,306,226,80,8483,2562,351,158,3245
Martin,9/10,600,421,348,73,4061,637,165,0,1599
Mason,9/10,200,379,258,121,3404,1185,104,0,1121
Matagorda,6/5S,2800,1591,1362,229,28584,5960,1113,369,11810
Maverick,8,6200,3208,2707,501,41728,6497,2970,1198,18532
McCulloch,9/10,1000,380,354,26,6527,1777,212,122,2328
McLennan,7,27950,19770,16621,3149,193025,34382,11153,3621,69962
McMullen,11,100,75,71,4,652,175,10,0,225
Medina,8,1900,3230,2548,682,39115,7889,899,536,15457
Menard,9/10,100,264,208,56,1755,622,9,40,571
Midland,9/10,22525,12687,10229,2458,121977,16726,5950,1288,46310
Milam,7,2200,1575,1408,167,19285,4857,532,297,7632
Mills,7,200,492,386,106,3951,1305,149,152,1334
Mitchell,2/3,900,558,334,224,6926,1230,265,96,2751
Montague,2/3,1375,1939,1807,132,15437,4202,560,383,5573
Montgomery,6/5S,67950,29300,22756,6544,424256,69108,20255,3836,144900
Moore,1,1300,1768,1448,320,15429,2298,448,176,6395
Morris,4/5N,500,618,457,161,9906,2616,77,179,3791
Motley,1,0,146,130,16,991,360,22,50,322
Nacogdoches,4/5N,7300,6801,5527,1274,51860,9040,2530,755,20425
Navarro,2/3,5500,4045,3505,540,37032,8072,1720,869,15378
Newton,4/5N,900,686,646,40,11585,2778,55,113,4861
Nolan,2/3,2100,1782,1579,203,11545,2645,519,251,4406
Nueces,11,57300,30380,21832,8548,281603,49323,25582,4100,114746
Ochiltree,1,1000,847,665,182,7310,1075,200,114,2943
Oldham,1,300,264,219,45,1634,305,18,0,615
Orange,6/5S,1600,2227,1950,277,65886,13036,1456,548,27006
Palo Pinto,2/3,1700,1256,1079,177,22297,5329,864,283,8620
Panola,4/5N,1500,1037,927,110,18495,4164,473,377,7352
Parker,2/3,11450,10232,8596,1636,100892,19524,2890,1301,36941
Parmer,1,800,827,693,134,7251,1292,161,174,2962
Pecos,9/10,1900,1607,1145,462,12300,1991,400,120,5113
Polk,4/5N,3700,2262,1942,320,38985,8785,1184,574,15885
Potter,1,69025,17987,13832,4155,90612,14346,10224,1770,36913
Presidio,9/10,700,690,665,25,5397,1578,27,0,2246
Rains,4/5N,200,548,431,117,9351,2703,163,68,3390
Randall,1,6000,27303,20651,6652,103986,18786,2812,869,34080
Reagan,9/10,200,262,243,19,2737,400,52,42,1136
Real,8,0,352,329,23,2887,987,25,86,1056
Red River,4/5N,500,1099,973,126,10039,2941,420,252,3812
Reeves,9/10,3725,2257,2152,105,12204,1820,281,89,5026
Refugio,11,600,1086,730,356,5728,1501,228,154,2164
Roberts,1,0,68,55,13,715,171,16,0,257
Robertson,7,800,814,654,160,13256,3187,252,252,4994
Rockwall,2/3,6275,6998,5488,1510,71048,11084,3750,1347,24705
Runnels,2/3,1500,978,766,212,8197,2086,405,312,3019
Rusk,4/5N,1900,1942,1587,355,42065,8465,1501,759,16934
Sabine,4/5N,1300,1033,965,68,8680,3137,572,186,3043
San Augustine,4/5N,1200,523,460,63,6838,2101,415,337,2676
San Jacinto,4/5N,1600,1308,1163,145,22409,5868,132,190,9048
San Patricio,11,2100,4228,3529,699,51113,9600,975,347,19345
San Saba,7,200,109,96,13,4856,1335,33,72,1820
Schleicher,9/10,200,120,92,28,2307,531,65,34,849
Scurry,2/3,2950,1517,1455,62,13399,2498,399,128,5396
Shackelford,2/3,300,156,130,26,2654,652,52,0,977
Shelby,4/5N,1700,942,827,115,19553,4305,540,369,8051
Sherman,1,500,264,251,13,2306,449,24,42,880
Smith,4/5N,53900,25113,18701,6412,175559,35667,19690,3030,61133
Somervell,2/3,600,571,452,119,6946,1596,457,220,2611
Starr,11,5300,4101,2928,1173,45022,7148,4479,1999,20831
Stephens,2/3,800,379,348,31,7548,1806,168,92,2974
Sterling,9/10,100,74,68,6,999,203,10,44,378
Stonewall,2/3,500,142,132,10,1105,350,63,53,380
Sutton,9/10,300,251,220,31,3045,647,91,0,1110
Swisher,1,500,751,606,145,5776,1332,114,61,2373
Tarrant,2/3,326175,136094,113928,22166,1541750,216595,86106,18386,569817
Taylor,2/3,21200,15935,11736,4199,106114,19227,11065,2465,36579
Terrell,9/10,0,221,201,20,678,219,10,0,247
Terry,1,2475,1754,1321,433,9646,1878,345,178,4156
Throckmorton,2/3,500,308,275,33,1246,397,64,0,422
Titus,4/5N,3100,1750,1254,496,24029,4460,1811,633,9843
Tom Green,9/10,19600,13096,10053,3043,92673,17521,6702,1601,33142
Travis,7,171600,101240,77045,24195,963091,110187,51820,8264,294252
Trinity,4/5N,1775,743,645,98,11987,3757,347,241,4444
Tyler,4/5N,2000,1443,1230,213,17802,4634,476,238,6979
Upshur,4/5N,1100,1567,1215,352,32159,7217,714,567,12247
Upton,9/10,400,608,461,147,2722,491,170,30,1124
Uvalde,8,5025,3507,3047,460,20411,4408,1498,515,8322
Val Verde,8,4750,4492,3900,592,36384,6900,2610,490,14388
Van Zandt,4/5N,2600,3313,2554,759,43390,10864,1280,711,16263
Victoria,8,11475,8414,6275,2139,71259,14021,5624,1030,27646
Walker,6/5S,4600,3141,2635,506,62112,8795,1526,400,24579
Waller,6/5S,2800,1751,1469,282,39168,5749,1182,466,15272
Ward,9/10,500,805,694,111,8614,1627,137,92,3403
Washington,7,11000,2205,1886,319,28088,7221,2581,1018,10496
Webb,11,39400,22539,18105,4434,190484,24275,12073,1646,86429
Wharton,6/5S,2400,1900,1564,336,32008,6782,1438,615,13118
Wheeler,1,700,571,487,84,4218,1002,200,114,1611
Wichita,2/3,24750,15508,12438,3070,104850,18717,8664,2030,42205
Wilbarger,2/3,5400,2245,1589,656,10280,2262,457,304,4282
Willacy,11,700,1682,1489,193,17033,2912,325,557,7767
Williamson,7,55750,42281,32157,10124,404144,60672,14404,4639,130519
Wilson,8,3700,4044,2883,1161,37953,7321,1224,615,13356
Winkler,9/10,400,590,553,37,5766,909,102,0,2380
Wise,2/3,6150,5451,3666,1785,50287,9488,3589,552,20767
Wood,4/5N,2000,2782,2315,467,36181,11628,1046,880,12547
Yoakum,1,600,835,530,305,6085,998,225,60,2360
Young,2/3,2100,1408,1097,311,14206,3499,862,431,5428
Zapata,11,700,808,715,93,10050,1772,195,202,4735
Zavala,8,200,1175,1061,114,8900,1633,25,60,4120
*Other,N/A,9775,279868,226147,53721,,,,,
,,,,,,,,,,
