OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
23,Walgreens Pharmacy 03825,Pharmacy,,,North Richland Hills,,7151 GRAPEVINE HWY,76180,32.8244256994384,-97.2107392970719,0,0,0,0,65,65,0,(817) 514-9474,https://www.walgreens.com/locator/walgreens-7151+grapevine+hwy-north+richland+hills-tx-76180/id=3825,,04/13/2021      ,08:40:39        ,-97.210739,32.824426
24,BRUCES PHARMACY,Pharmacy,,6001 39th St,Groves,Jefferson,6001 39th Street,77619,29.9450846,-93.9221114,0,54,0,0,0,54,0,(409) 962-4431,,,04/17/2021      ,06:05:49        ,-93.922111,29.945085
25,Brookshires Pharmacy 93,Pharmacy,,400 W Central Ave,Comanche,Comanche,400 W Central Ave,76442,31.8973625413595,-98.6074729722959,0,0,0,0,70,70,0,(325) 356-5276,https://www.brookshires.com/covid-19-information,,04/17/2021      ,16:40:42        ,-98.607473,31.897363
26,Brookshires Pharmacy 32,Pharmacy,,880 E State Highway 243,Canton,Van Zandt,880 E State Highway 243,75103,32.5462473242294,-95.850013241102,0,100,0,0,290,390,0,(903) 567-2403,https://www.brookshires.com/covid-19-information,,04/17/2021      ,17:55:41        ,-95.850013,32.546247
27,Super 1 Pharmacy 630,Pharmacy,,100 N 15th St,Corsicana,Navarro,100 N 15th St,75110,32.0913726706482,-96.4693651425045,0,80,0,0,0,80,0,(903) 874-2152,https://www.brookshires.com/covid-19-information,,04/16/2021      ,14:43:49        ,-96.469365,32.091373
28,Brookshires Pharmacy 77,Pharmacy,,800 N Main St Ste A,Corsicana,Navarro,800 N Main St Ste A,75110,32.0997128738554,-96.4694653900666,0,100,0,0,195,295,0,(903) 874-1111,https://www.brookshires.com/covid-19-information,,04/17/2021      ,16:06:38        ,-96.469465,32.099713
29,Brookshires Pharmacy 14,Pharmacy,,925 Clarksville St,Paris,Lamar,925 Clarksville St,75460,33.6602295885028,-95.5462548273323,0,85,0,0,60,145,0,(903) 785-3297,https://www.brookshires.com/covid-19-information,,04/17/2021      ,10:17:02        ,-95.546255,33.66023
30,Brookshires Pharmacy 90,Pharmacy,,100 Peplow Dr,Robinson,McLennan,100 Peplow Dr,76706,31.4794903429536,-97.1196499988852,0,100,0,0,100,200,0,(254) 662-6403,https://www.brookshires.com/covid-19-information,,04/17/2021      ,13:53:50        ,-97.11965,31.47949
31,Brookshires Pharmacy 60,Pharmacy,,502C E. Goode,Quitman,Wood,502C E. Goode,75783,32.7957802,-95.44676,0,90,0,0,205,295,0,(903) 763-1420,https://www.brookshires.com/covid-19-information,,04/17/2021      ,17:03:05        ,-95.44676,32.79578
32,Walgreens Pharmacy 09180,Pharmacy,,,,,"11103 W MILITARY DR San Antonio, TX 78251",,29.4485953900637,-98.7128663668722,48,0,0,0,60,108,0,(210) 679-5267,https://www.walgreens.com/locator/walgreens-11103+w+military+dr-san+antonio-tx-78251/id=9180,,04/17/2021      ,14:21:19        ,-98.712866,29.448595
33,Walgreens Pharmacy 07599,Pharmacy,,,,,"7304 LOUETTA RD Spring, TX 77379",,30.0218978725767,-95.5251860300331,54,0,0,0,0,54,0,(281) 379-1317,https://www.walgreens.com/locator/walgreens-7304+louetta+rd-spring-tx-77379/id=7599,,04/17/2021      ,18:01:00        ,-95.525186,30.021898
34,Walgreens Pharmacy 07963,Pharmacy,,,,,"2906 HOUSTON HWY Victoria, TX 77901",,28.8127756126209,-96.9735039367591,1542,100,0,0,70,1712,0,(361) 576-5458,https://www.walgreens.com/locator/walgreens-2906+houston+hwy-victoria-tx-77901/id=7963,,04/16/2021      ,19:22:31        ,-96.973504,28.812776
35,Walgreens Pharmacy 07964,Pharmacy,,,,,"5204 N NAVARRO ST Victoria, TX 77904",,28.8435372447648,-96.9993728815118,38,50,20,50,90,178,70,(361) 576-5238,https://www.walgreens.com/locator/walgreens-5204+n+navarro+st-victoria-tx-77904/id=7964,,04/17/2021      ,17:07:05        ,-96.999373,28.843537
36,Walgreens Pharmacy 15638,Pharmacy,,,,,"26288 KUYKENDAHL RD Tomball, TX 77375",,30.1415064101971,-95.5507001721837,36,0,0,0,0,36,0,(281) 378-2995,https://www.walgreens.com/locator/walgreens-26288+kuykendahl+rd-tomball-tx-77375/id=15638,,04/17/2021      ,14:55:26        ,-95.5507,30.141506
37,"Conviva Care Solutions, Inc.",Medical Practice,,711 Navarro Street,San Antonio,Bexar,711 NAVARRO ST STE 600 SAN ANTONIO 78205,78205,29.4284313837975,-98.4898819556635,0,40,0,0,0,40,0,,,,04/16/2021      ,16:20:41        ,-98.489882,29.428431
38,Conviva Cliffside,Other,,1211b Cliff Drive,El Paso,El Paso,1211b Cliff Drive,79902,31.7755794,-106.4898499,0,0,0,0,20,20,0,,,,04/16/2021      ,16:18:35        ,-106.48985,31.775579
39,Walgreens Pharmacy 07251,Pharmacy,,, Houston ,,11038 Westheimer Rd,77042,,,0,90,0,0,70,160,0,,,,04/17/2021      ,17:04:31        ,,
40,"Dr. Mario Sanchez, DO",Other,V,106 N Main St,La Feria,Cameron,"106 N Main St, La Feria, TX 78559",78559,26.1582,-97.82401,0,10,0,0,0,10,0,956-797-2002,,,04/16/2021      ,17:11:26        ,-97.82401,26.1582
41,El Paso Pulmonary Association West,Medical Practice,,4305 N Mesa St,El Paso,El Paso,4305 N Mesa St Ste A,79902,31.7973560010071,-106.511277419753,0,0,0,0,25,25,0,(915) 532-2477,http://www.elpasopulmonary.com/,,04/16/2021      ,16:08:42        ,-106.511277,31.797356
42,CHRISTUS ST. MICHAEL HOSPITAL,Vaccine Hub,F,2600 Saint Michael Dr,Texarkana,Bowie,2600 Saint Michael Dr,75503,33.462346803147,-94.0750877438464,0,800,400,80,2150,2950,480,(903) 614-1000,https://www.christushealth.org/St-Michael?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTUzNzY1OTMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,04/16/2021      ,11:37:40        ,-94.075088,33.462347
43,Imperical Care Internal Med,Other,,600 E Taylor,Sherman,Grayson,600 E Taylor,75090,33.6558617,-96.6104384,0,10,0,0,0,10,0,,,,04/14/2021      ,14:16:24        ,-96.610438,33.655862
44,Gulf Coast Health Center Inc.,Other,,,Port Arthur,Jefferson,2548 Memorial Blvd,77640,29.904135,-93.936165,0,30,0,0,500,530,0,(409) 983-1161,,,04/16/2021      ,17:25:54        ,-93.936165,29.904135
45,Zarzamora Healthcare LLC,Community Clinic,,2716 Sw Military Dr,San Antonio,Bexar,2716 SW MILITARY DR STE 102 San Antonio 78224,78224,29.3563962114303,-98.5401200882084,0,60,0,0,0,60,0,,,,04/16/2021      ,13:49:37        ,-98.54012,29.356396
46,Red River Pharmacy Long Term Care,Pharmacy,F,1550 Moores Lane,TEXARKANA,BOWIE,"1550 Moores Lane, Suite A",75503,33.4731022,-94.0602729,0,60,0,370,0,60,370,,,,04/14/2021      ,11:59:25        ,-94.060273,33.473102
47,University Health System - San Antonio UHSSA,Vaccine Hub,P,4522 Fredericksburg Rd,San Antonio,Bexar,4522 Fredericksburg Rd,78201,29.4928487820863,-98.551282944107,0,0,0,0,0,0,0,210-644-1960,https://www.universityhealthsystem.com/coronavirus-covid19/vaccine?utm_source=corpcomm&utm_medium=web&utm_campaign=wecandoitsa_typed&utm_content=typed_URL,,04/17/2021      ,08:59:23        ,-98.551283,29.492849
48,Phillips 66 Health Services Borger,Other,,Spur 119 North,Borger,Hutchinson,"State Highway 119 Spur, Borger, TX, USA",79008,35.6766805,-101.3954936,0,180,0,0,0,180,0,,,,04/16/2021      ,17:20:47        ,-101.395494,35.676681
49,Phillips 66 Health Services Old Ocean,Other,,8189 Old FM 524,Old Ocean,Brazoria,8189 Old FM 524,77463,29.0794548,-95.7490238,0,240,0,0,0,240,0,,,,04/09/2021      ,17:33:22        ,-95.749024,29.079455
50,Montana Vista Community Partnership,Other,,14900 GREG DRIVE STE B ,EL PASO,EL PASO,14900 GREG DRIVE STE B EL PASO 79938,79938,31.798157,-106.162859,0,200,0,200,0,200,200,915-533-7057,,,04/06/2021      ,14:35:21        ,-106.162859,31.798157
51,Randol Mill LTC Pharmacy,Federal Allocation,,1014 N Fielder Rd Suite 110,Arlington,Tarrant,"1014 North Fielder Road, Arlington, TX, USA",76012,32.7492602,-97.1323622,0,170,0,0,0,170,0,,,,04/17/2021      ,12:19:39        ,-97.132362,32.74926
52,Tejas Healthcare Clinic,Other,,890 E Travis St,La Grange,Fayette,890 E Travis St,78945,29.90982,-96.86735,0,66,0,1,0,66,1,(979) 968-2000,,,04/16/2021      ,15:57:49        ,-96.86735,29.90982
53,The Friendly Pharmacy ,Federal Allocation,,3302 Boca Chica Blvd STE 107,Brownsville,Cameron,"3302 Boca Chica Blvd STE 107, Brownsville, TX 78521",78521,25.9208268757284,-97.4690303750826,0,105,0,0,105,210,0,(956) 544-1200,https://www.unitedfriendlypharmacy.com/,,04/17/2021      ,15:18:48        ,-97.46903,25.920827
54,Hope Community Medicine - San Augustine,Community Clinic,,109 E Main St,San Augustine,San Augustine,"109 E Main St, San Augustine, Texas 75972",75972,31.5293677810251,-94.1092439154672,0,199,0,0,0,199,0,(936) 275-4420,http://www.hcmtx.org/,,04/16/2021      ,15:05:47        ,-94.109244,31.529368
55,Umc Internal Medicine,Medical Practice,,808 Joliet Ave,Lubbock,Lubbock,808 Joliet Ave,79415,33.5878220077547,-101.889357539774,0,190,0,0,0,190,0,(806) 761-0566,https://www.umchealthsystem.com/medical-services/umc-clinics/details/umc-internal-medicine,,04/17/2021      ,06:00:34        ,-101.889358,33.587822
56,DSHS - Gainesville,Other,,1714 Justice Center Blvd Ste A,Gainesville,Cooke,1714 Justice Center Blvd Ste A,76240,33.64318,-97.1685,0,30,0,20,0,30,20,,,,04/16/2021      ,15:19:36        ,-97.1685,33.64318
57,Pharr- San Juan- Alamo ISD,Other,,,San Juan,,704 W Ridge Rd,78589,26.3088061436282,-98.1430067821001,0,9970,0,0,0,9970,0,(956)354-2016,,,04/17/2021      ,21:18:14        ,-98.143007,26.308806
58,Presbyterian Pan American,Other,,223 N Fm 772,Kingsville,Kleberg,223 N FM 772 KINGSVILLE 78363,78363,27.3908721855471,-97.8224169305685,0,50,0,0,0,50,0,,,,04/13/2021      ,16:51:14        ,-97.822417,27.390872
59,Austin Regional Clinic Far West,Medical Practice,,6835 Austin Center Blvd,Austin,Travis,6835 Austin Center Blvd,78731,30.3510824545991,-97.7511104372101,2000,0,0,0,0,2000,0,(512) 346-6611,https://www.austinregionalclinic.com/clinics/arc-far-west?utm_source=online-directory&utm_campaign=yext&utm_content=location-fw,,04/16/2021      ,08:44:00        ,-97.75111,30.351082
60,Arlington Fire Department,Vaccine Hub,,620 W Division St,Arlington,Tarrant,620 W Division St,76011,32.73910246917,-97.1148560089594,0,7000,1363,7880,45997,52997,9243,817-248-6299 Option 7,www.tarrantcounty.com/COVIDshot,,04/16/2021      ,10:46:40        ,-97.114856,32.739102
61,Dr Andres Garcia Zuniga MD PA,Medical Practice,,,Laredo,, 6416 Polaris Drive,78041,27.5574,-99.45636,0,233,0,0,0,233,0,(956) 568-5140,,,04/10/2021      ,10:26:11        ,-99.45636,27.5574
62,Archer City RHC/Archer Family Clinic,Other,,404 East Chestnut,Archer City,Archer,"404 E Chestnut St, Archer City, TX 76351",76351,33.5913933358261,-98.6208228047479,0,50,0,0,0,50,0,940-574-2580,https://olneyhamiltonhospital.com/services/archer-family-clinic/,,04/14/2021      ,09:20:45        ,-98.620823,33.591393
63,Uthealth Tyler Hospital,Hospital,,1000 S BECKHAM AVE,Tyler,,1000 S BECKHAM AVE,75701,32.3385702,-95.2912161,0,0,0,102,0,0,102,,,,04/13/2021      ,12:14:16        ,-95.291216,32.33857
64,North East ISD,Other,,,San Antonio,,10333 BROADWAY ST,78217,29.5351334474088,-98.4482464527131,0,207,0,0,0,207,0,,,,04/16/2021      ,16:52:46        ,-98.448246,29.535133
65,BJP Healthcare LLC,Pharmacy,,1724 S colorado Street,lockhart,caldwell,"1724 South Colorado Street, Lockhart, TX, USA",78644,29.861939,-97.667846,0,50,0,0,340,390,0,(512) 398-2288,,,04/16/2021      ,17:01:49        ,-97.667846,29.861939
66,Northwest Texas Hospital Pharmacy,Hospital,,1501 S Coulter St,Amarillo,Potter,1501 S Coulter St,79106,35.1997580869122,-101.921855687127,242,0,0,0,0,242,0,(806) 354-1000,https://www.nwths.com/?utm_source=google-business&utm_medium=organic&utm_campaign=homepage,,04/12/2021      ,16:22:22        ,-101.921856,35.199758
67,SPLENDORA PHARMACY,Federal Allocation,,13841 Hwy 59 Ste C,Splendora,Montgomery,13841 HIGHWAY 59 STE C Splendora 77372,77372,30.2430980912298,-95.1571733863393,0,30,0,0,0,30,0,,,,04/16/2021      ,17:10:31        ,-95.157173,30.243098
68,EAGLE LAKE DRUGSTORE,Pharmacy,,702 S MCCARTY AVE,Eagle Lake,Colorado,702 S MCCARTY AVE EAGLE LAKE 77434,77434,29.5842097340765,-96.3397843860478,0,0,0,0,30,30,0,,,,04/17/2021      ,08:12:50        ,-96.339784,29.58421
69,Evins Regional Juvenile Center/Utmb,Other,,,Edinburg,Hidalgo,3801 E Monte Cristo,78541,26.3324393,-98.1230482,0,80,0,0,80,160,0,,,,04/13/2021      ,18:18:18        ,-98.123048,26.332439
70,Falls Community Hospital & Clinic,Vaccine Hub,M,322 Coleman Street, Marlin,Falls,"307 Live Oak Street Marlin, TX  76661",76661,31.307442,-96.894062,1170,0,1170,0,70,1240,1170,254-252-2667,http://www.fallshospital.com/,,04/13/2021      ,09:10:03        ,-96.894062,31.307442
71,Health Plus Pharmacy,Federal Allocation,,,Mission,Hidalgo,3401 West Mile 5 Road Suite 2,78574,26.2927109475273,-98.3565826578856,0,0,0,0,65,65,0,(956) 424-3535,,,04/17/2021      ,09:20:34        ,-98.356583,26.292711
72,Livingston Pharmacy ,Pharmacy,,,LIVINGSTON ,,"714 W Church St, Livingston, TX 77351",77351,30.711232,-94.939349,0,170,0,0,0,170,0,(936) 327-5519,http://www.localpharmacyrx.com/livingston-pharmacy,,04/15/2021      ,16:50:10        ,-94.939349,30.711232
73,Irving Health Center Parkland Health And Hospital,Community Clinic,E,1800 N Britain Rd,Irving,Dallas,1800 N Britain Rd,75061,32.8332499103799,-96.9443967691068,0,0,0,100,0,0,100,214-266-3031,https://www.parklandhospital.com/locations/irving-health-center-7,,04/17/2021      ,00:25:17        ,-96.944397,32.83325
74,HILL REGIONAL HOSPITAL,Hospital,M,101 Circle Dr,Hillsboro,Hill,101 Circle Dr,76645,32.0122258374529,-97.0992588797115,0,490,0,10,90,580,10,(254) 580-8500,https://www.hillregionalhospital.com/?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,,04/16/2021      ,12:48:05        ,-97.099259,32.012226
75,"Tesoro Medical Care., P.A.",Medical Practice,,101 W Village Blvd A,Laredo,Webb,"101 W Village Blvd A, Laredo, TX 78041",78041,27.56567,-99.49793,0,150,0,0,0,150,0,(956) 727-2997,,,04/16/2021      ,11:27:02        ,-99.49793,27.56567
76,"Maxhealth Family, Internal And Sports Medicine",Medical Practice,,5207 Heritage Ave,Colleyville,Tarrant,"5207 Heritage Ave, Colleyville, TX, USA",76034,32.88489,-97.1043186,0,563,0,0,0,563,0,,,,04/17/2021      ,04:28:07        ,-97.104319,32.88489
77,MEMORIAL HERMANN MEMORIAL CITY,Vaccine Hub,Q,921 Gessner Rd,Houston,Harris,921 Gessner Rd,77024,29.7808159840205,-95.544491864529,0,0,0,0,0,0,0,833-772-2864,https://memorialhermann.org/covid19vaccine,,04/16/2021      ,14:18:49        ,-95.544492,29.780816
78,St Hope Foundation- GP,Other,Q,255 Northpoint Dr Suite 200,Houston,Harris,255 Northpoint Dr,77060,29.94166641,-95.40581735,0,200,0,300,190,390,300,(713) 778-1300,,,04/16/2021      ,09:20:58        ,-95.405817,29.941666
79,UT Health Dell Medical School,Vaccine Hub,,1601 Trinity Avenue,Austin,Travis,1601 Trinity Avenue,78712,30.2769715107404,-97.7356333368157,0,0,0,0,0,0,0,1-833-UTCARES,https://uthealthaustin.org/patient-resources/covid-19-updates/covid-19-vaccination,,04/17/2021      ,10:43:36        ,-97.735633,30.276972
80,Kelsey Seybold Main Campus,Medical Practice,,2727 West Holcombe Blvd,Houston,Harris,2727 West Holcombe Blvd,77025,29.7060425345347,-95.4216699932803,12654,0,0,0,0,12654,0,(713) 442-0000,https://www.kelsey-seybold.com/find-a-location/main-campus,,04/16/2021      ,08:46:09        ,-95.42167,29.706043
81,Texas Oncology Cancer Center Mcallen  ,Other,V,1901 South Second Street,McAllen,Hidalgo,1901 South Second Street,78503,26.1848712746336,-98.2242193333745,0,0,0,290,0,0,290,956-687-5150,,,04/16/2021      ,10:34:32        ,-98.224219,26.184871
82,IDEA Public Schools RGV HQ,Other,,2115 W Pike Blvd,Weslaco,Hidalgo,2115 W Pike Blvd,78596,26.1692079652539,-98.0121226036052,1170,0,0,0,0,1170,0,,,,04/16/2021      ,10:48:12        ,-98.012123,26.169208
83,KEARNEY PARK PHARMACY,Federal Allocation,,502 W Kearney Stste 900,Mesquite,Dallas,502 W Kearney Stste 900,75149,32.7704354,-96.6056817,0,0,0,0,75,75,0,,,,04/14/2021      ,13:05:09        ,-96.605682,32.770435
84,Mendoza's Pharmacy LLC,Federal Allocation,,102 S. University Blvd.,Kingsville,Kleberg,102 S University Blvd Kingsville 78363,78363,27.5169150159452,-97.8819713305665,0,0,0,0,200,200,0,,,,04/15/2021      ,17:35:10        ,-97.881971,27.516915
85,OTTO KAISER MEMORIAL - KENEDY,Hospital,P,3349 US-181,Kenedy,Karnes,"3349 US-181, Kenedy, TX 78119",78119,28.8511619108883,-97.8785406310243,2088,0,0,0,0,2088,0,(830) 583-3401,http://www.okmh.org/,,04/15/2021      ,07:28:53        ,-97.878541,28.851162
86,Kk Pharmacy,Pharmacy,,1411 West American Blvd,Muleshoe,Bailey,1411 West American Blvd,79347,34.2336625579604,-102.737287738701,0,0,1014,0,0,0,1014,(806) 272-7511,https://www.mygnp.com/pharmacies/kks-pharmacy-51-dallas-tx-75233/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=5904493,,04/16/2021      ,09:41:54        ,-102.737288,34.233663
87,Trinity University Student Health Services,Other,,,San Antonio,Bexar,607 Kings Court,78212,29.4589304,-98.4866516,0,0,0,0,600,600,0,,,,04/17/2021      ,22:28:23        ,-98.486652,29.45893
88,Hometown Healthcare Cotulla ,Medical Practice,,408 N Giraud St,Cotulla,La Salle,"408 North Giraud Street, Cotulla, TX 78014",78014,28.4396415,-99.2387,0,150,0,0,0,150,0,830-879-2279,no,,04/16/2021      ,10:30:08        ,-99.2387,28.439642
89,PHARMACIA SANA,Federal Allocation,,,Irving,,1111 West Airport Freeway Suite 151,75062,32.8382815270746,-96.9610201650742,0,0,0,0,5,5,0,(469) 647-5291,,,04/16/2021      ,15:42:29        ,-96.96102,32.838282
90,Chevron Houston Medical Clinic,Community Clinic,,1400 Smith St,Houston,Harris,1400 Smith St Houston 77002,77002,29.7558478659396,-95.3715048016928,0,682,0,0,0,682,0,(936) 443-8793,,,04/16/2021      ,16:46:04        ,-95.371505,29.755848
91,Market Street Pharmacy 566,Pharmacy,,1929 Preston Rd,Plano,Collin,1929 Preston Rd,75093,33.0263794486553,-96.7952133965562,204,0,0,0,380,584,0,(972) 713-5515,https://local.pharmacy.marketstreetunited.com/tx/plano/1929-preston-rd.html,,04/17/2021      ,09:34:26        ,-96.795213,33.026379
92,COSTCO PHARMACY 669,Federal Allocation,,2601 E. State Hwy 114,Southlake,Tarrant,2601 E STATE HIGHWAY 114 SOUTHLAKE 76092,76092,32.9417924784726,-97.1114111286175,0,40,0,0,0,40,0,,,,04/17/2021      ,10:42:37        ,-97.111411,32.941792
93,BEAUMONT ELITE EMERGENCY CTR LLC,Medical Practice,R,4004 College Street, Beaumont,Jefferson,"4004 College Street, Beaumont, TX, 77707",77707,30.068767,-94.135634,0,110,0,0,0,110,0,(409) 840-4004,https://beaumontemergencycenter.com/,,04/17/2021      ,08:35:48        ,-94.135634,30.068767
94,Med Clinic,Community Clinic,,3705 9th Ave,Port Arthur,Jefferson,3705 9th Ave Port Arthur 77642,77642,29.9204599597518,-93.938407086345,0,66,0,0,0,66,0,,,,04/16/2021      ,08:53:15        ,-93.938407,29.92046
