OBJECTID,NAME,UFID,TYPE,TSA,STREET,CITY,COUNTY,PFIZER_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE,MODERNA_AVAILABLE2,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,Total_Available,PublicPhone,WEBSITE,RemoveRecord,HOURSOFOPERATION,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
11,Tyler County Hospital Family Medical C,25138977,Community Clinic,,104 N Beech St,Woodville,Tyler,0,0,0,0,0,0,0,(409) 283-2822,http://www.tchospital.us/services/tchfmc/,,,01/14/2021      ,09:28:51        ,-94.429475,30.775286
12,Brookshires Pharmacy 30,25208328,Pharmacy,,2107 S Loop 256,Palestine,Anderson,0,0,0,0,0,0,0,(903) 723-1092,https://www.brookshires.com/pharmacy-wellness,,,01/16/2021      ,15:31:52        ,-95.611296,31.736814
13,The Immunization Clinic Stafford,25107911,Medical Practice,,3727 Greenbriar Dr Ste 403,Stafford,Fort Bend,0,0,0,0,0,0,0,(281) 313-7468,http://titers.org/,,,01/15/2021      ,12:57:06        ,-95.565709,29.632583
14,Amigos Pharmacy 508,25306758,Pharmacy,,2403 N Columbia St,Plainview,Hale,0,0,0,0,0,0,0,(806) 293-3820,https://local.pharmacy.amigosunited.com/tx/plainview/2403-n-columbia-ave.html,,,01/16/2021      ,13:32:32        ,-101.707423,34.205779
15,Amigos Pharmacy 503,25306755,Pharmacy,,112 North University Avenue,Lubbock,Lubbock,0,0,0,0,0,0,0,(806) 763-5908,https://local.pharmacy.amigosunited.com/tx/lubbock/112-n-university-ave.html,,,01/16/2021      ,07:29:42        ,-101.870361,33.599112
16,Aledo Family Medicine,25060019,Medical Practice,,317 Fm 1187 North,Aledo,Parker,0,0,50,0,50,0,50,(817) 441-7181,http://aledofamilymedicineclinic.com/,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 12:00 PM,Saturday: Closed,Sunday: Closed",01/14/2021      ,08:54:40        ,-97.603382,32.698886
17,Christus Santa Rosa Hospital Alamo Heig,25237389,Hospital,,403 Treeline Park,San Antonio,Bexar,0,0,50,350,50,350,400,(210) 294-8000,https://www.christushealth.org/santa-rosa/alamo-heights?utm_source=organic&utm_medium=GMB&utm_campaign=website,,"Monday: 6:30 AM – 5:00 PM,Tuesday: 6:30 AM – 5:00 PM,Wednesday: 6:30 AM – 5:00 PM,Thursday: 6:30 AM – 5:00 PM,Friday: 6:30 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",01/14/2021      ,17:16:08        ,-98.475355,29.506079
18,"Dr. Mario Sanchez, DO",25044276,Other,,106 N Main St,La Feria,,0,0,0,0,0,0,0,956-797-2002,,,,,,-97.82401,26.1582
19,Uhs Hilliard Center,25296243,Other,,919 Locke St,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 644-8700,https://locations.universitymedicineassociates.com/hilliard/?hcmacid=a0b0H00000nsXl6,,,,,-98.447959,29.438209
20,Bswh Buda Medical Center,30024861,Pharmacy,,5330 Overpass Rd,Buda,Hays,0,0,0,0,0,0,0,(737) 999-6200,https://www.bswhealth.com/locations/buda/Pages/default.aspx?y_source=1_MTM0MTE3NjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,-97.818521,30.076712
21,STEPHENS MEMORIAL HOSPITAL,11700,Hospital,D,200 S Geneva St, Breckenridge,Stephens,0,0,0,0,0,0,0,(254) 559-2241,http://www.smhtx.com/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,11:00:12        ,-98.887727,32.754707
22,"BRYAN FAMILY MEDICINE CLINIC, PA",30007600,Medical Practice,,2709 OSLER BLVD,Bryan,,0,0,0,0,0,0,0,,,,,01/14/2021      ,15:51:50        ,-96.347411,30.654924
23,Brushy Creek Family Hospital,33122,Hospital,O,230 Deer Ridge Dr,Round Rock,Williamson,0,0,0,0,0,0,0,(512) 766-1400,https://familyhospitalsystems.com/locations/texas/family-hosptial-at-brushy-creek/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",,,-97.723015,30.49641
24,SUN CITY WEST ER,30948,Other,I,351 E Redd Road,El Paso,El Paso,0,0,0,0,0,0,0,(915) 308-4218,http://www.suncityer.com/,,,01/15/2021      ,13:16:42        ,-106.577737,31.863708
25,Brownsville Community Health Center,25026257,Community Clinic,,191 E Price Rd,Brownsville,Cameron,0,0,0,0,0,0,0,(956) 548-7400,,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: 8:00 AM – 1:00 PM,Sunday: Closed",,,-97.463148,25.930978
26,Uhs Southwest,25070777,Community Clinic,,2121 Sw 36th Street,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-5100,https://www.universityhealthsystem.com/locations/san-antonio/university-family-health-center-southwest-2121-sw-36th-st-san-antonio-78237,,"Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 7:00 AM – 6:00 PM,Saturday: Closed,Sunday: Closed",,,-98.574719,29.408032
27,TX HEALTH RESOURCES- SOUTHLAKE,15959,Hospital,E,1545 E Southlake Blvd, Southlake,Tarrant,0,0,0,0,0,0,0,(817) 748-8700,https://www.texashealthsouthlake.com/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",,,-97.128224,32.939478
28,Uhs S Flores Clinic,25310692,Community Clinic,,7902 S Flores St,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-8255,http://www.universityhealthsystem.com/locations/san-antonio/south-flores-clinic-7902-s-flores-street-san-antonio-78221,,,,,-98.486844,29.34714
29,Silverado Hospice Austin,1502150004,Other,,,Austin,,0,0,0,0,0,0,0,(512) 827-6895,https://www.silveradohospice.com/location/silverado-austin-hospice/,,,,,-97.752125,30.214169
30,Texas A And M University Health,25079656,Other,,6300 Ocean Dr,Corpus Christi,,0,0,0,0,0,0,0,(361) 825-5700,,,,,,-97.32324,27.71537
31,Uhs Southeast,25108777,Community Clinic,,1055 Ada,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-5515,https://www.universityhealthsystem.com/locations/san-antonio/university-family-health-center-southeast-1055-ada-san-antonio-78223,,,,,-98.457333,29.381127
32,Bluitt-Flowers Clinic,25001816,Other,,303 E Overton Rd,Dallas,,0,0,0,0,0,0,0,(214) 266-4200,,,,,,-96.82041,32.70141
33,Susan L Boullioun Md Family Practice,25087069,Medical Practice,,113 E Cedar St,Seguin,Guadalupe,0,0,30,0,30,0,30,(830) 303-3500,,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: Closed,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",01/15/2021      ,13:09:46        ,-97.964203,29.578682
34,Alvin R Gebert Md Pa,1502095005,Medical Practice,,6130 W Parker Rd,Plano,Collin,0,0,0,0,0,0,0,(972) 608-8889,http://www.drgebert.net/,,,01/16/2021      ,14:42:02        ,-96.833644,33.045063
35,OCEANS BEHAVIORAL HOSPITAL WACO,184128,Hospital,M,5931 Crosslake Parkway, Waco,Mclennan,0,0,49,0,49,0,49,(254) 870-4874,,,,,,-97.164399,31.487394
36,Uhs Zarzamora Clinic,25001246,Community Clinic,,4503 S Zarzamora,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-8255,https://www.universityhealthsystem.com/locations/san-antonio/zarzamora-clinic-4503-s-zarzamora-street-san-antonio-78211,,"Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 9:30 AM – 4:00 PM,Saturday: Closed,Sunday: Closed",,,-98.533768,29.380959
37,DSHS  Gainesville,25001699,Other,,1714 Justice Center Blvd,Gainesville,,0,0,0,0,0,0,0,940-665-9315,,,,,,-97.169423,33.641497
38,CHRISTUS MOTHER FRANCES - REHAB HOSPITAL,22215,Hospital,G,3131 Troup Highway, Tyler,Smith,0,0,40,0,40,0,40,(903) 510-7000,,,,01/15/2021      ,19:47:14        ,-95.277643,32.314985
39,Uhs Naco Perrin Clinic,25108866,Community Clinic,,4020 Naco Perrin,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-8255,http://www.universityhealthsystem.com/locations/san-antonio/naco-perrin-clinic-4020-naco-perrin-san-antonio-78217,,"Monday: 7:30 AM – 4:30 PM,Tuesday: 7:30 AM – 4:30 PM,Wednesday: 7:30 AM – 4:30 PM,Thursday: 7:30 AM – 4:30 PM,Friday: 9:30 AM – 4:00 PM,Saturday: Closed,Sunday: Closed",,,-98.416129,29.543244
40,Uhs Family Health Clinic,25239049,Community Clinic,,903 W Martin,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-3400,https://www.universityhealthsystem.com/locations/san-antonio/robert-b-green-campus-903-w-martin-san-antonio-78207,,"Monday: 8:00 AM – 4:30 PM,Tuesday: 8:00 AM – 4:30 PM,Wednesday: 8:00 AM – 4:30 PM,Thursday: 8:00 AM – 4:30 PM,Friday: 8:00 AM – 4:30 PM,Saturday: 8:00 AM – 4:30 PM,Sunday: Closed",01/13/2021      ,09:25:15        ,-98.502753,29.430065
41,Uhs North,25108858,Community Clinic,,302 W Rector St,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-0800,http://www.universityhealthsystem.com/locations/san-antonio/university-family-health-center-north-302-w-rector-san-antonio-78216,,"Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 8:00 AM – 6:00 PM,Saturday: Closed,Sunday: Closed",,,-98.497356,29.516892
42,Uhs Harlandale Clinic,25281160,Other,,834 W Southcross Blvd Ste 1,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-7020,http://www.universityhealthsystem.com/locations/harlandale-school-based-clinic,,"Monday: 8:00 AM – 4:30 PM,Tuesday: 8:00 AM – 4:30 PM,Wednesday: 8:00 AM – 4:30 PM,Thursday: 8:00 AM – 4:30 PM,Friday: 8:00 AM – 4:30 PM,Saturday: Closed,Sunday: Closed",,,-98.524238,29.368113
43,Uhs Rbg Pedi 1st Floor,25304609,Community Clinic,,903 W Martin St,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 358-5437,http://universitychildrenshealth.com/walk-in-care/,,"Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 8:00 AM – 8:00 PM,Sunday: Closed",,,-98.502753,29.430065
44,THE WOODLANDS SPECIALTY HOSPITAL,165157,Hospital,Q,25440 I-45 North, The Woodlands,Montgomery,0,0,70,0,70,0,70,(281) 602-8160,,,,01/16/2021      ,07:39:25        ,-95.443152,30.13091
45,Texas Department of Criminal Justice Holliday,1502098101,Other,,295 IH 45N,Huntsville,,0,0,0,0,0,0,0,,,,,,,-95.55218,30.72378
46,ALTUS HOUSTON HOSPITAL,185834,Other,Q,7215 Fairmont Pkwy,Pasadena,Harris,0,0,210,0,210,0,210,(713) 773-0556,https://altushospitals.org/,,,01/16/2021      ,16:21:17        ,-95.128484,29.650563
47,Altus Baytown Hospital Porter,1502148008,Other,,22678 Hwy 59,Porter,Montgomery,0,0,140,0,140,0,140,(281) 837-7600,http://www.altushospital.org/,,,01/16/2021      ,16:26:05        ,-95.232672,30.118722
48,Altus Baytown Hospital Kingwood,1502148007,Other,,1120 Kingwood Dr,Kingwood,Harris,0,0,70,0,70,0,70,(281) 837-7600,http://www.altushospital.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,11:22:04        ,-95.238905,30.049302
49,Altus Baytown Hospital - Crosby,1502116049,Other,,14120 Fm 2100,Crosby,Harris,0,0,420,0,420,0,420,(281) 837-7600,http://www.altushospital.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,16:36:00        ,-95.06329,29.892281
50,Airline Doctors Family And Pediatric Cl,30009241,Medical Practice,,5990 Airline Drive,Houston,Harris,0,0,0,0,0,0,0,(713) 694-9080,https://www.airlinechildrensclinic.org/,,,01/14/2021      ,08:23:31        ,-95.384533,29.852711
51,Breckenridge Medical Center,25221472,Community Clinic,,101 S Hartford St,Breckenridge,Stephens,0,0,0,0,0,0,0,(254) 559-3363,http://www.smhtx.com/staff/,,,01/16/2021      ,11:27:52        ,-98.886523,32.75516
52,Texas Department of Criminal Justice Wynne,1502090003,Other,,810 Farm to Market Rd 2821, Huntsville,,0,0,0,0,0,0,0,,,,,,,-95.526327,30.742214
53,Advanced Pain Care,1502108007,Medical Practice,,2000 S Mays Street,Round Rock,Williamson,0,0,0,0,0,0,0,(512) 244-4272,https://austinpaindoctor.com/,,,01/16/2021      ,14:09:38        ,-97.675469,30.491168
54,Legent Orthopedic and Spine,1502156074,Other,,5330 North Loop 1604 West,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 877-8000,https://www.psnaffiliates.com/,,,,,-98.605723,29.567119
55,Berkeley Eye Center,1502110047,Medical Practice,,3100 Weslayan,Houston,Harris,0,0,0,0,0,0,0,,,,,01/14/2021      ,12:46:02        ,-95.441675,29.737028
56,Christus Health Clinic Irving 9521,25274016,Hospital,,919 Hidden Ridge,Irving,Dallas,0,0,0,0,0,0,0,(469) 282-0200,https://www.christushealth.org/?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link,,,,,-96.960381,32.877319
57,Wellness Pointe - Gilmer,30010620,Community Clinic,,602 Titus St Suite 130,Gilmer,,0,0,0,0,0,0,0,(903) 758-2610,,,,,,-94.94439,32.73419
58,Beltline Surgery Center,1502095016,Other,,2858 N Beltline Road,Sunnyvale,Dallas,0,0,60,0,60,0,60,(972) 203-8787,http://www.beltlinesurgerycenter.com/,,,01/14/2021      ,16:16:10        ,-96.595702,32.803832
59,BELLVILLE MEDICAL CENTER,8643,Hospital,Q,44 N Cummings St,Bellville,Austin,0,0,0,0,0,0,0,(979) 413-7400,http://www.bellvillemc.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,07:20:58        ,-96.260913,29.952067
61,Access Health Clinic,25304602,Medical Practice,,6402 Louetta Road,Spring,Harris,0,0,0,0,0,0,0,,http://www.accesshealthclinictexas.com/,,"Monday: 8:00 AM – 12:00 PM, 12:30 – 4:30 PM,Tuesday: 8:00 AM – 12:00 PM, 12:30 – 4:30 PM,Wednesday: 8:00 AM – 12:00 PM, 12:30 – 4:30 PM,Thursday: 8:00 AM – 12:00 PM, 12:30 – 4:30 PM,Friday: 8:00 AM – 12:00 PM, 12:30 – 4:30 PM,Saturday: Closed,Sunday: Close",01/16/2021      ,14:38:48        ,-95.512893,30.028098
62,BEAUMONT ELITE EMERGENCY CTR LLC,28837,Medical Practice,R,4004 College Street, Beaumont,Jefferson,0,0,78,0,78,0,78,(409) 840-4004,,,,01/16/2021      ,13:31:45        ,-94.135634,30.068767
63,Gene Mcdaniel Do Pa,1502092024,Medical Practice,,308 West Hwy 199,Springtown,Parker,0,0,10,0,10,0,10,(817) 523-5402,http://springtownfamilyhealth.com/,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 12:00 PM,Saturday: Closed,Sunday: Closed",,,-97.68722,32.964119
65,Abilene Diagnostic Clinic - Antilley,25179234,Medical Practice,,1665 Antilley Road,Abilene,Taylor,0,0,0,0,0,0,0,(325) 437-8602,http://www.abileneclinic.com/,,,01/16/2021      ,12:34:45        ,-99.74392,32.372799
66,Allison Cancer Center,25242800,Medical Practice,,400 Rosalind Grover Pkwy,Midland,Midland,0,0,0,0,0,0,0,(432) 687-1949,https://www.texasoncology.com/cancer-centers/midland/midland-allison-cancer-center/medical-oncology,,"Monday: 8:30 AM – 5:00 PM,Tuesday: 8:30 AM – 5:00 PM,Wednesday: 8:30 AM – 5:00 PM,Thursday: 8:30 AM – 5:00 PM,Friday: 8:30 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",01/14/2021      ,08:45:09        ,-102.100177,31.997479
67,AccelHealth Stephenville,25230035,Community Clinic,,135 River N Blvd,Stephenville,Erath,0,0,100,0,100,0,100,,,,,01/16/2021      ,14:39:14        ,-98.23168,32.227578
68,38th Street Pharmacy,30039640,Pharmacy,,711 West 38th Street C3,Austin,Travis,0,0,0,0,0,0,0,(512) 458-3784,http://www.38thstreetpharmacy.com/,,"Monday: 8:30 AM – 6:00 PM,Tuesday: 8:30 AM – 6:00 PM,Wednesday: 8:30 AM – 6:00 PM,Thursday: 8:30 AM – 6:00 PM,Friday: 8:30 AM – 6:00 PM,Saturday: Closed,Sunday: Closed",01/16/2021      ,12:30:51        ,-97.74074,30.304064
69,15rx Pharmacy2,1502083081,Pharmacy,,11212 State Hwy 151 Plaza2,San Antonio,Bexar,0,0,0,0,0,0,0,(210) 543-1579,http://www.15rx.com/,,"Monday: 8:30 AM – 6:00 PM,Tuesday: 8:30 AM – 6:00 PM,Wednesday: 8:30 AM – 6:00 PM,Thursday: 8:30 AM – 6:00 PM,Friday: 8:30 AM – 6:00 PM,Saturday: 9:00 AM – 3:00 PM,Sunday: Closed",01/16/2021      ,11:44:25        ,-98.69464,29.467474
70,Acres Home Health Center,25004417,Community Clinic,,818 Ringold St,Houston,Harris,0,0,0,0,0,0,0,(281) 448-6391,https://www.harrishealth.org/locations-hh/Pages/acres-home-health-center.aspx,,"Monday: 7:00 AM – 4:00 PM,Tuesday: 7:00 AM – 4:00 PM,Wednesday: 7:00 AM – 4:00 PM,Thursday: 7:00 AM – 4:00 PM,Friday: 7:00 AM – 4:00 PM,Saturday: Closed,Sunday: Closed",01/16/2021      ,13:34:00        ,-95.418702,29.875113
71,Los Alamos Family Medical Center,25189360,Medical Practice,,427 E Duranta Ave,Alamo,Hidalgo,0,0,0,0,0,0,0,(505) 662-4201,http://www.losalamosmedicalcenter.com/,,,01/14/2021      ,10:00:15        ,-98.111088,26.187225
72,My Urgent Care Clinic - Boerne,1502094056,Other,,910 River Road,Boerne,Kendall,0,0,0,0,0,0,0,830-331-2391 ,www.myurgentcareclinic-boerne.com,,,01/11/2021      ,16:01:22        ,-98.719561,29.789066
73,MEMORIAL HERMANN KW SPECIALTY HOSPITAL,13275,Hospital,Q,300 Kingwood Medical Dr,Kingwood,Harris,0,0,0,0,0,0,0,281-312-4000,https://www.memorialhermann.org/locations/surgical-hospital-kingwood,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",01/15/2021      ,07:41:25        ,-95.258607,30.047248
74,Tlc Clinic Pllc,25262914,Medical Practice,,12600 Scarsdale Blvd Ste A,Houston,Harris,0,0,50,0,50,0,50,,,,,,,-95.2017,29.595744
75,TEXAS CHILDREN'S MED CENTER (LEVEL I),4878,Hospital,Q,6621 Fannin St,Houston,Harris,0,8544,630,0,630,8544,9174,(832) 824-1000,https://www.texaschildrens.org/,,,01/16/2021      ,07:46:11        ,-95.40466,29.704584
76,Christus Good Shepherd Medical Center L,25273858,Hospital,,700 E Marshall Ave,Longview,Gregg,0,0,150,0,150,0,150,(903) 315-2000,https://www.christushealth.org/good-shepherd/longview?utm_source=organic&utm_medium=GMB&utm_campaign=website,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",,,-94.730171,32.500863
77,TEXAS CHILDREN'S WOODLANDS (LEVEL IV),166900,Hospital,Q,17600 Interstate 45 S,Conroe,Montgomery,0,1242,30,0,30,1242,1272,(936) 267-5000,http://www.texaschildrens.org/woodlands,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/16/2021      ,07:54:27        ,-95.455848,30.201027
78,TTUHSC Family  Medicine,25116419,Other,,South Coulter St,Amarillo,Potter,0,0,10,0,10,0,10,(806) 743-1000,,,,01/14/2021      ,10:01:36        ,-101.921893,35.200496
79,TEXAS CHILDREN'S WEST CAMPUS (LEVEL IV),32395,Hospital,Q,18200 Katy Freeway,Houston,Harris,0,924,100,0,100,924,1024,(832) 227-1000,https://www.texaschildrens.org/departments/texas-childrens-hospital-west-campus,,,01/16/2021      ,08:03:43        ,-95.692918,29.787626
80,Gonzaba Medical Group Woodlawn Clinic,25227961,Medical Practice,,902 Bandera Rd,San Antonio,Texas,0,0,0,0,0,0,0,,,,,01/11/2021      ,08:13:36        ,-98.554498,29.456931
81,Prmc Healthcare Group Inc Clarksville,25294917,Other,,,Clarksville,,0,0,0,0,0,0,0,(903) 427-5682,https://www.healthcare4ppl.com/physician/texas/clarksville/kerri-huddleston-1457845760.html,,,,,-95.053275,33.611299
82,Texas Behavioral Health,1502145008,Medical Practice,,104 Whispering Pines Ave,Friendswood,Galveston,0,0,22,0,22,0,22,832-371-7939,https://www.texasbehavioralhealthsystems.com/,,,01/15/2021      ,13:48:22        ,-95.189587,29.520168
83,St Michaels Elite Hospital,1502156058,Hospital,,16000 Southwest Freeway suite 100,SUGAR LAND,Fort Bend,0,0,0,0,0,0,0,(281) 980-4357,https://24hrer.com/,,,,,-95.62421,29.5981
84,Cactus Health,25104735,Other,,,Fort Stockton,,0,0,0,0,0,0,0,432-336-8110,,,,,,,
85,HEALTHBRIDGE CHILDREN'S HOSPITAL,8654,Hospital,Q,2929 Woodland Park Dr, Houston,Harris,0,0,56,0,56,0,56,(281) 293-7774,http://www.nexuscontinuum.com/,,,01/15/2021      ,18:30:11        ,-95.580577,29.732026
86,Town And Country Family Physicians,25089373,Medical Practice,,10497 Town And Country Way Ste 360,Houston,Harris,0,0,30,0,30,0,30,(713) 341-2100,http://townandcountryfamilyphysicians.com/,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",01/16/2021      ,07:38:40        ,-95.555648,29.781428
