OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,JJ_AVAILABLE,VACCINES_AVAILABLE,Total_Shipped,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
11,Kroger Pharmacy 362,Pharmacy,,17455 Spring Cypress Rd,Cypress,Harris,17455 Spring Cypress Rd,77429,29.9724810244384,-95.6906127443958,0,0,0,0,200,(281) 304-0971,http://www.kroger.com/stores/details/034/00362?cid=loc_03400362PP_gmb,,03/02/2021      ,08:05:00        ,-95.690613,29.972481
12,Kroger Pharmacy 361,Pharmacy,,3535 Longmire Dr,College Station,Brazos,3535 Longmire Dr,77845,30.582033181834,-96.2867621128849,0,0,0,0,200,(979) 485-8813,http://www.kroger.com/stores/details/014/00361?cid=loc_01400361PP_gmb,,03/02/2021      ,08:05:00        ,-96.286762,30.582033
13,Kroger Pharmacy 358,Pharmacy,,5671 Treaschwig Rd,Spring,Harris,5671 Treaschwig Rd,77373,30.0446942635091,-95.3476622306499,0,0,0,0,200,(281) 443-2883,https://www.kroger.com/stores/details/034/00358?cid=loc_03400358_gmb,,03/05/2021      ,15:16:26        ,-95.347662,30.044694
14,Kroger Pharmacy 355,Pharmacy,,1938 W Gray St,Houston,Harris,1938 W Gray St,77019,29.7531311445653,-95.4054996256742,0,0,0,0,200,(713) 521-2317,http://www.kroger.com/stores/details/034/00355?cid=loc_03400355PP_gmb,,03/02/2021      ,08:05:00        ,-95.4055,29.753131
15,Kroger Pharmacy 352,Pharmacy,,18030 Fm 529 Rd,Cypress,Harris,18030 Fm 529 Rd,77433,29.8799374792169,-95.6855909785654,0,0,0,0,200,(281) 550-6942,http://www.kroger.com/stores/details/034/00352?cid=loc_03400352PP_gmb,,03/06/2021      ,10:29:12        ,-95.685591,29.879937
16,Kroger Pharmacy 349,Pharmacy,,1520 Eldridge Pkwy,Houston,Harris,1520 Eldridge Pkwy,77077,29.7575360023219,-95.6254174633075,0,0,0,0,200,(281) 496-7719,https://www.kroger.com/stores/details/034/00349?cid=loc_03400349_gmb,,03/07/2021      ,17:44:14        ,-95.625417,29.757536
17,Kroger Pharmacy 347,Pharmacy,,9303 Hwy 6 South,Houston,Harris,9303 Hwy 6 South,77083,29.6786343817034,-95.643535952849,0,0,0,0,200,(713) 474-2111,http://www.kroger.com/stores/details/034/00347?cid=loc_03400347PP_gmb,,03/02/2021      ,08:05:00        ,-95.643536,29.678634
18,Kroger Pharmacy 343,Pharmacy,,8323 Broadway St,Pearland,Brazoria,8323 Broadway St,77581,29.5590729031522,-95.3491304886291,0,0,0,0,200,(281) 997-6500,http://www.kroger.com/stores/details/029/00343?cid=loc_02900343PP_gmb,,03/02/2021      ,08:05:00        ,-95.34913,29.559073
19,Kroger Pharmacy 336,Pharmacy,,22150 Westheimer Pkwy,Katy,Harris,22150 Westheimer Pkwy,77450,29.7341873728367,-95.7544985207516,0,0,0,0,200,(281) 828-8778,http://www.kroger.com/stores/details/034/00136?cid=loc_03400136PP_gmb,,03/02/2021      ,08:05:00        ,-95.754499,29.734187
20,Kroger Pharmacy 327,Pharmacy,,13135 Louetta Rd,Cypress,Harris,13135 Louetta Rd,77429,29.9951950600346,-95.6221283206818,0,0,0,0,200,(281) 379-7756,http://www.kroger.com/stores/details/034/00327?cid=loc_03400327PP_gmb,,03/04/2021      ,12:16:27        ,-95.622128,29.995195
21,Kroger Pharmacy 321,Pharmacy,,3100 Hwy 35,Alvin,Brazoria,3100 Hwy 35,77511,29.3985214957587,-95.247541810787,0,0,0,0,200,(281) 388-3403,http://www.kroger.com/stores/details/034/00321?cid=loc_03400321PP_gmb,,03/02/2021      ,08:05:00        ,-95.247542,29.398521
22,Kroger Pharmacy 320,Pharmacy,,4825 Sweetwater Blvd,Sugar Land,Fort Bend,4825 Sweetwater Blvd,77479,29.5863645056197,-95.6323654743065,0,0,0,0,200,(281) 494-6555,http://www.kroger.com/stores/details/011/00320?cid=loc_01100320PP_gmb,,03/02/2021      ,08:05:00        ,-95.632365,29.586365
23,Kroger Pharmacy 318,Pharmacy,,19250 West Lake Houston Pkwy,Humble,Harris,19250 West Lake Houston Pkwy,77346,30.0010900106286,-95.1608610410061,0,0,0,0,200,(281) 812-4499,http://www.kroger.com/stores/details/034/00318?cid=loc_03400318PP_gmb,,03/02/2021      ,08:05:00        ,-95.160861,30.00109
24,Kroger Pharmacy 316,Pharmacy,,4747 Research Forest Dr,Conroe,Montgomery,4747 Research Forest Dr,77381,30.1860932401314,-95.4891218503424,0,0,0,0,200,(281) 298-6165,https://www.kroger.com/stores/details/034/00316?cid=loc_03400316_gmb,,03/08/2021      ,09:25:21        ,-95.489122,30.186093
25,Kroger Pharmacy 312,Pharmacy,,1035 N Shepherd Dr,Houston,Harris,1035 N Shepherd Dr,77008,29.7893450315061,-95.409885288873,0,0,0,0,200,(713) 880-4661,,,03/05/2021      ,10:06:33        ,-95.409885,29.789345
26,Kroger Pharmacy 311,Pharmacy,,9330 Jones Rd,Houston,Harris,9330 Jones Rd,77065,29.9078861809838,-95.5845082437545,0,0,0,0,200,(281) 894-4859,http://www.kroger.com/stores/details/034/00311?cid=loc_03400311PP_gmb,,03/02/2021      ,08:05:00        ,-95.584508,29.907886
27,Kroger Pharmacy 310,Pharmacy,,3410 Northpark Dr,Kingwood,Harris,3410 Northpark Dr,77345,30.067865058659,-95.1874054406629,0,0,0,0,200,(281) 361-7404,http://www.kroger.com/stores/details/034/00310?cid=loc_03400310PP_gmb,,03/02/2021      ,08:05:00        ,-95.187405,30.067865
28,Kroger Pharmacy 309,Pharmacy,,1801 S Voss Rd,Houston,Harris,1801 S Voss Rd,77057,29.7484707225806,-95.5009583549111,0,0,0,0,200,(713) 780-7643,http://www.kroger.com/stores/details/029/00572P?cid=loc_02900572PP_gmb,,03/02/2021      ,08:05:00        ,-95.500958,29.748471
29,Kroger Pharmacy 307,Pharmacy,,15802 Champion Forest Dr,Spring,Harris,15802 Champion Forest Dr,77379,30.0025861803455,-95.5333531533985,0,0,0,0,200,(281) 370-9481,http://www.kroger.com/stores/details/034/00307?cid=loc_03400307PP_gmb,,03/07/2021      ,14:24:17        ,-95.533353,30.002586
30,Kroger Pharmacy 302,Pharmacy,,5730 Seawall Blvd,Galveston,Galveston,5730 Seawall Blvd,77551,29.2687283600529,-94.82277614634,0,0,0,0,200,(409) 741-9091,http://www.kroger.com/stores/details/034/00302?cid=loc_03400302PP_gmb,,03/07/2021      ,19:56:57        ,-94.822776,29.268728
31,Kroger Pharmacy 300,Pharmacy,,1950 El Dorado Blvd,Houston,Harris,1950 El Dorado Blvd,77062,29.5782270187411,-95.1215090114258,0,0,0,0,200,(281) 480-7092,http://www.kroger.com/stores/details/016/00522?cid=loc_01600522PP_gmb,,03/02/2021      ,08:05:00        ,-95.121509,29.578227
32,Kroger Pharmacy 275,Pharmacy,,13133 Veterans Memorial Dr,Houston,Harris,13133 Veterans Memorial Dr,77014,29.9775238707555,-95.4905743503436,0,0,0,0,200,(281) 440-7456,http://www.kroger.com/stores/details/034/00275?cid=loc_03400275PP_gmb,,03/07/2021      ,18:04:47        ,-95.490574,29.977524
33,Kroger Pharmacy 256,Pharmacy,,1804 N Velasco St,Angleton,Brazoria,1804 N Velasco St,77515,29.1827026537057,-95.4329200670943,0,0,0,0,200,(979) 849-5460,http://www.kroger.com/stores/details/016/00538?cid=loc_01600538PP_gmb,,03/02/2021      ,08:05:00        ,-95.43292,29.182703
34,Kroger Pharmacy 224,Pharmacy,,3510 Altamesa Blvd,Fort Worth,Tarrant,3510 Altamesa Blvd,76133,32.6498780318772,-97.3666256653921,0,0,0,0,300,(817) 292-3777,http://www.kroger.com/stores/details/035/00224?cid=loc_03500224PP_gmb,,03/02/2021      ,08:05:00        ,-97.366626,32.649878
35,Kroger Pharmacy 213,Pharmacy,,752 Wynnewood Village Shp Ctr,Dallas,Dallas,752 Wynnewood Village Shp Ctr,75224,32.721619445936,-96.8323298943602,0,0,0,0,400,(214) 942-3191,http://www.kroger.com/stores/details/035/00213?cid=loc_03500213PP_gmb,,03/02/2021      ,08:05:00        ,-96.83233,32.721619
36,Kroger Pharmacy 209,Pharmacy,,525 N Galloway,Mesquite,Dallas,525 N Galloway,75149,32.7717830067369,-96.5992374516092,0,0,0,0,200,(409) 948-3471,https://www.kroger.com/stores/details/034/00108?cid=loc_03400108_gmb,,03/02/2021      ,08:05:00        ,-96.599237,32.771783
37,Kroger Pharmacy 191,Pharmacy,,313 E Pioneer Pkwy,Grand Prairie,Dallas,313 E Pioneer Pkwy,75051,32.7093019626399,-97.0010955742679,0,0,0,0,400,(972) 264-3011,http://www.kroger.com/stores/details/035/00191?cid=loc_03500191PP_gmb,,03/02/2021      ,08:05:00        ,-97.001096,32.709302
38,Kroger Pharmacy 190,Pharmacy,,9475 Fm 1960 Bypass Rd W,Humble,Harris,9475 Fm 1960 Bypass Rd W,77338,30.0050462145868,-95.2831780652143,0,0,0,0,200,(281) 973-5090,http://www.kroger.com/stores/details/034/00190?cid=loc_03400190PP_gmb,,03/02/2021      ,08:05:00        ,-95.283178,30.005046
39,Kroger Pharmacy 156,Pharmacy,,6322 Telephone Rd,Houston,Harris,6322 Telephone Rd,77087,29.6756243983634,-95.2899220657025,0,0,0,0,200,(713) 644-1815,http://www.kroger.com/stores/details/034/00156?cid=loc_03400156PP_gmb,,03/07/2021      ,18:18:52        ,-95.289922,29.675624
40,Kroger Pharmacy 150,Pharmacy,,6315 Garth Rd,Baytown,Harris,6315 Garth Rd,77521,29.7921339840592,-94.9842749605813,0,0,0,0,200,(346) 216-4155,http://www.kroger.com/stores/details/034/00150?cid=loc_03400150PP_gmb,,03/02/2021      ,08:05:00        ,-94.984275,29.792134
41,Kroger Pharmacy 149,Pharmacy,,800 N Dixie Dr,Clute,Brazoria,800 N Dixie Dr,77531,29.0384250781679,-95.4222465843995,0,0,0,0,200,(979) 529-4392,,,03/02/2021      ,08:05:00        ,-95.422247,29.038425
42,Kroger Pharmacy 145,Pharmacy,,223 Interstate 45 S,Huntsville,Walker,223 Interstate 45 S,77340,30.7099627334202,-95.5648148784255,0,0,0,0,600,(936) 999-7001,http://www.kroger.com/stores/details/035/00521?cid=loc_03500521PP_gmb,,03/07/2021      ,17:36:54        ,-95.564815,30.709963
43,Kroger Pharmacy 144,Pharmacy,,1920 W League City Pkwy,League City,Galveston,1920 W League City Pkwy,77573,29.4885370086359,-95.1139740157472,0,0,0,0,200,(877) 852-2677,,,03/02/2021      ,08:05:00        ,-95.113974,29.488537
44,Kroger Pharmacy 142,Pharmacy,,20168 Eva St,Montgomery,Montgomery,20168 Eva St,77356,30.3900399899064,-95.6784960328036,0,60,0,60,400,(936) 449-7167,http://www.kroger.com/stores/details/034/00142?cid=loc_03400142PP_gmb,,03/08/2021      ,09:33:04        ,-95.678496,30.39004
45,Kroger Pharmacy 138,Pharmacy,,22030 Market Place Dr,New Caney,Montgomery,22030 Market Place Dr,77357,30.1332999906192,-95.2362089861353,0,100,0,100,400,(281) 747-5089,http://www.kroger.com/stores/details/011/00320?cid=loc_01100320PP_gmb,,03/02/2021      ,08:05:00        ,-95.236209,30.1333
46,Kroger Pharmacy 136,Pharmacy,,341 S Loop 336 W,Conroe,Montgomery,341 S Loop 336 W,77304,30.2789602302136,-95.4590728105514,0,0,0,0,400,(936) 270-1027,http://www.kroger.com/stores/details/034/00136?cid=loc_03400136PP_gmb,,03/08/2021      ,09:29:12        ,-95.459073,30.27896
47,Kroger Pharmacy 130,Pharmacy,,2150 Spring Stuebner Rd,Spring,Harris,2150 Spring Stuebner Rd,77389,30.0830146128564,-95.4499152253647,0,0,0,0,200,(281) 602-0313,http://www.kroger.com/stores/details/034/00130?cid=loc_03400130PP_gmb,,03/02/2021      ,08:05:00        ,-95.449915,30.083015
48,Kroger Pharmacy 530,Pharmacy,,1653 Basswood Blvd,Fort Worth,Tarrant,1653 Basswood Blvd,76131,32.87097750831,-97.3401840298158,0,60,0,60,500,(682) 316-6387,http://www.kroger.com/stores/details/035/00530?cid=loc_03500530PP_gmb,,03/02/2021      ,08:05:00        ,-97.340184,32.870978
49,Kroger Pharmacy 402,Pharmacy,,3612 N Belt Line Rd,Irving,Dallas,3612 N Belt Line Rd,75062,32.8553555227261,-96.9919882401021,0,100,0,100,500,(972) 252-6450,http://www.kroger.com/stores/details/035/00402?cid=loc_03500402PP_gmb,,03/02/2021      ,08:05:00        ,-96.991988,32.855356
50,Kroger Pharmacy 807,Pharmacy,,7201 Boulevard 26,North Richland Hills,Tarrant,7201 Boulevard 26,76180,32.8242517508681,-97.2273077057803,0,0,0,0,300,(817) 281-8310,http://www.kroger.com/stores/details/035/00807?cid=loc_03500807PP_gmb,,03/04/2021      ,06:39:23        ,-97.227308,32.824252
51,Kroger Pharmacy 415,Pharmacy,,1617 W Henderson St,Cleburne,Johnson,1617 W Henderson St,76033,32.3383550449916,-97.4135885468746,0,20,0,20,300,(817) 641-0700,http://www.kroger.com/stores/details/024/00711?cid=loc_02400711PP_gmb,,03/02/2021      ,08:05:00        ,-97.413589,32.338355
52,Kroger Pharmacy 543,Pharmacy,,945 W Lamar Blvd,Arlington,Tarrant,945 W Lamar Blvd,76012,32.7618374595243,-97.1188887102149,0,130,0,130,900,(817) 277-2144,http://www.kroger.com/stores/details/035/00543?cid=loc_03500543PP_gmb,,03/04/2021      ,06:36:40        ,-97.118889,32.761837
53,Kroger Pharmacy 592,Pharmacy,,5101 W Sublett Rd,Arlington,Tarrant,5101 W Sublett Rd,76017,32.648117999848,-97.1886600075237,0,0,0,0,1000,(817) 516-3763,,,03/04/2021      ,20:21:06        ,-97.18866,32.648118
54,Kroger Pharmacy 596,Pharmacy,,2200 Fm 663,Midlothian,Ellis,2200 Fm 663,76065,32.4602088483329,-96.9948020097773,0,100,0,100,300,(469) 336-2041,http://www.kroger.com/stores/details/035/00596?cid=loc_03500596PP_gmb,,03/02/2021      ,08:05:00        ,-96.994802,32.460209
55,Kroger Pharmacy 990,Pharmacy,,1215 North St,Nacogdoches,Nacogdoches,1215 North St,75961,31.6141083192146,-94.6530319539146,0,0,0,0,300,(936) 569-9884,http://www.kroger.com/stores/details/035/00990?cid=loc_03500990PP_gmb,,03/04/2021      ,06:32:05        ,-94.653032,31.614108
56,Kroger Pharmacy 959,Pharmacy,,701 W Marshall Ave,Longview,Gregg,701 W Marshall Ave,75601,32.5000352098141,-94.7495244232703,0,200,0,200,200,(903) 758-0323,http://www.kroger.com/stores/details/021/00959?cid=loc_02100959PP_gmb,,03/02/2021      ,08:05:00        ,-94.749524,32.500035
57,Kroger Pharmacy 953,Pharmacy,,300 E End Blvd Hwy 80,Marshall,Harrison,300 E End Blvd Hwy 80,75670,32.5428882765318,-94.3498888585481,0,200,0,200,300,(903) 935-7410,http://www.kroger.com/stores/details/035/00953?cid=loc_03500953PP_gmb,,03/02/2021      ,08:05:00        ,-94.349889,32.542888
58,Kroger Pharmacy 893,Pharmacy,,1919 Faithon P Lucas Blvd,Mesquite,Dallas,1919 Faithon P Lucas Blvd,75181,32.7438584787229,-96.5524886277029,0,200,0,200,200,(469) 726-0013,http://www.kroger.com/stores/details/035/00893?cid=loc_03500893PP_gmb,,03/02/2021      ,08:05:00        ,-96.552489,32.743858
59,Kroger Pharmacy 579,Pharmacy,,500 Marketplace Blvd,Forney,Kaufman,500 Marketplace Blvd,75126,32.74742886698,-96.4480002976873,0,200,0,200,400,(972) 564-8490,http://www.kroger.com/stores/details/035/00579?cid=loc_03500579PP_gmb,,03/02/2021      ,08:05:00        ,-96.448,32.747429
60,Kroger Pharmacy 575,Pharmacy,,2935 Ridge Rd,Rockwall,Rockwall,2935 Ridge Rd,75032,32.8894686991763,-96.4728448896072,0,200,0,200,200,(972) 882-1266,http://www.kroger.com/stores/details/026/00575?cid=loc_02600575PP_gmb,,03/02/2021      ,08:05:00        ,-96.472845,32.889469
61,Kroger Pharmacy 574,Pharmacy,,1950 N Goliad St,Rockwall,Rockwall,1950 N Goliad St,75087,32.9488631165349,-96.4620531892689,0,200,0,200,200,(469) 651-6027,http://www.kroger.com/stores/details/026/00574?cid=loc_02600574PP_gmb,,03/02/2021      ,08:05:00        ,-96.462053,32.948863
62,Kroger Pharmacy 492,Pharmacy,,11925 Elam Rd,Balch Springs,Dallas,11925 Elam Rd,75180,32.7194332856312,-96.6208785197795,0,0,0,0,600,(972) 557-2567,http://www.kroger.com/stores/details/035/00492?cid=loc_03500492PP_gmb,,03/04/2021      ,06:30:02        ,-96.620879,32.719433
63,Kroger Pharmacy 490,Pharmacy,,2415 Us Highway 79 S,Henderson,Rusk,2415 Us Highway 79 S,75654,32.1301439181574,-94.8083119070195,0,0,0,0,400,(903) 657-8596,http://www.kroger.com/stores/details/011/00490?cid=loc_01100490PP_gmb,,03/04/2021      ,06:24:57        ,-94.808312,32.130144
64,Lhd Abilenetaylor County Health Departm,Other,,850 N 6th St,Abilene,Taylor,850 N 6th St,79601,32.4545373173685,-99.73081898863,0,0,0,0,15690,(325) 692-5600,,,03/08/2021      ,11:17:22        ,-99.730819,32.454537
65,Valley Health Clinic,Medical Practice,,2542 Central Palm Drive,Rio Grande City,Starr,2542 Central Palm Drive,78582,26.3785102061828,-98.857799767916,0,0,300,300,200,9563521344,,,03/08/2021      ,12:07:04        ,-98.8578,26.37851
66,MEDICAL CITY - LAS COLINAS,Hospital,E,6800 N Macarthur Blvd,Irving,Dallas,6800 N Macarthur Blvd,75039,32.9020295259087,-96.9586372826983,0,0,0,0,1600,(972) 969-2000,https://medicalcityhealthcare.com/locations/medical-city-las-colinas/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,03/08/2021      ,09:52:15        ,-96.958637,32.90203
67,City Of McKinney Fire Department,Vaccine Hub,,2200 Taylor Burk Dr,Mckinney,Collin,2200 Taylor Burk Dr,75071,33.2231333916502,-96.6382383755623,0,8270,0,8270,41760,972-547-9000,https://www.mckinneytexas.org/2256/Coronavirus-COVID-19,,03/02/2021      ,14:00:57        ,-96.638238,33.223133
68,Integrity Urgent Care Athens,Other,,1115 E Tyler St,Athens,Henderson,1115 E Tyler St , 75751,,,0,0,0,0,100,(902)903-5015,www.intergrityuc.com,,,,,
69,City Drug Co,Other,,232 E JEFFERSON ST,Van Alstyne,GRAYSON,232 E JEFFERSON ST,75495,33.422081,-96.575961,0,0,89,89,200,,,,03/08/2021      ,11:51:21        ,-96.575961,33.422081
70,Harris County Public Health,Vaccine Hub,,2223 W Loop S,Houston,Harris,2223 W Loop South,77027,29.744195700504,-95.4569182430658,0,0,12000,12000,171120,832-927-8787,https://vacstrac.hctx.net,,03/08/2021      ,07:35:43        ,-95.456918,29.744196
71,Castle Hills family practice,Medical Practice,P,"2277 NW Military Hwy, Suite 100",San Antonio,Bexar,"2277 NW Military Hwy, Suite 100",78213,29.5377115480858,-98.5261061403116,0,0,0,0,200,(210) 549-4400,,,03/08/2021      ,11:35:25        ,-98.526106,29.537712
72,I27 Medical Center,Other,,"4105, I-27, Lubbock, TX 79404",Lubbock,Lubbock,4105 I27,79404,33.5565498,-101.843843,0,0,0,0,600,(806) 762-2633,umchealthsystem.com,,03/08/2021      ,11:34:01        ,-101.843843,33.55655
73,Huntsville Family Medicine Huntsville 2,Medical Practice,,123 Medical Park Ln Ste A,Huntsville,Walker,123 Medical Park Ln Ste A,77340,30.696689229718,-95.559503646758,0,0,0,0,2100,(936) 291-2116,http://www.huntsvillefamilymed.com/,,03/08/2021      ,07:40:19        ,-95.559504,30.696689
74,Carvajal Pharmacy-San Antonio-3410 Roosevelt Ave ,Pharmacy,,3410 Roosevelt Ave,San Antonio,Bexar,3410 Roosevelt Avenue,78214,29.35837,-98.48091,0,0,0,0,300,,,,03/08/2021      ,10:53:24        ,-98.48091,29.35837
75,Victoria County Public Health Department,Vaccine Hub,,2805 N Navarro,Victoria,Victoria,2805 N Navarro,77901,28.8218362391096,-97.0006099143072,0,0,0,0,19200,361-578-6281,https://www.vcphd.org/,,03/08/2021      ,08:18:57        ,-97.00061,28.821836
76,Hospice Austin,Other,,Spicewood Springs Road,Austin,Travis,4107 Spicewood Springs Rd.,78759,30.368749,-97.754353,0,0,0,0,400,5123424700,hospiceaustin.org,,03/08/2021      ,05:28:42        ,-97.754353,30.368749
77,Hope Community Medicine-Tenaha,Community Clinic,,Wall St,Tenaha,Shelby,157 Wall Street,75974,31.94432,-94.245076,0,0,0,0,300,(936) 248-4673,,,03/08/2021      ,05:20:39        ,-94.245076,31.94432
78,Joe Arrington Cancer Center,Hospital,,4015 22nd Pl,Lubbock,Lubbock,"4015 22nd Place, Lubbock, TX, USA",79410,33.5738671,-101.9004506,0,0,0,0,200,8067254451,,,03/08/2021      ,06:06:33        ,-101.900451,33.573867
79,Highland Village Fire Department,Other,,1200 Highland Village Rd,Lewisville,Denton,1200 Highland Village Rd,75077,33.0846339804514,-97.0545395822518,0,0,0,0,200,(972) 317-0890,http://www.highlandvillage.org/,,03/08/2021      ,11:08:42        ,-97.05454,33.084634
80,Hope Community Medicine - Carthage,Community Clinic,,820 West Panola St,Carthage,Panola,820 West Panola St,75633,32.1579272868848,-94.3533861238292,0,0,0,0,800,(936) 248-4630,https://hope-medical-community-medicine.business.site/,,03/08/2021      ,07:53:48        ,-94.353386,32.157927
81,HCA HOUSTON HEALTHCARE TOMBALL,Hospital,Q,605 Holderreith Blvd,Tomball,Harris,605 Holderreith Blvd,77375,30.0873949891363,-95.6207209991388,0,0,0,0,1600,(281) 401-7500,https://hcahoustonhealthcare.com/locations/tomball?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,03/01/2021      ,09:43:16        ,-95.620721,30.087395
82,Wilson County ESD #3,Other,,West Wheeler St,Stockdale,Wilson,656 West Wheeler St,78160,29.1407,-97.5818,0,0,0,0,500,,,,03/03/2021      ,17:33:55        ,-97.5818,29.1407
83,Hope Community Medicine - San Augustine,Community Clinic,,109 E Main St,San Augustine,San Augustine,109 E Main St,75972,31.5293677810251,-94.1092439154672,0,0,0,0,800,(936) 275-4420,http://www.hcmtx.org/,,03/08/2021      ,07:24:10        ,-94.109244,31.529368
84,LAKE GRANBURY MEDICAL CENTER,Hospital,E,1310 Paluxy Rd,Granbury,Hood,1310 Paluxy Rd,76048,32.4319227330535,-97.8026383546194,0,0,0,0,1400,(817) 573-2273,https://www.lakegranburymedicalcenter.com/?utm_campaign=biz-listings&utm_source=chs-web&utm_medium=gmb,,02/25/2021      ,16:00:00        ,-97.802638,32.431923
85,Hometown Healthcare Orange Grove,Other,U,101 S Eugenia St,Orange Grove,Jim Wells,101 S Eugenia St Orange Grove 78372,78372,27.957496,-97.938573,0,0,0,0,200,,,,03/08/2021      ,11:17:05        ,-97.938573,27.957496
86,Salfiti Canton Pharmacy Inc,Other,,300 S Buffalo,Canton,Van Zandt,300 S Buffalo St,75051,,,0,0,0,0,100,(903)567-4129,,,,,,
87,Hometown Drug Inc,Pharmacy,,718 W Lampasas St,Ennis,Ellis,718 W Lampasas St,75119,32.3201573883744,-96.6312284938206,0,0,0,0,200,(972) 875-6798,https://www.hometowndrugennis.com/,,03/08/2021      ,11:15:02        ,-96.631228,32.320157
88,Highland Park Emergency Center Llc,Other,E,5150 Lemmon Ave,Dallas,Dallas,5150 Lemmon Ave,75209,32.8250446699912,-96.8206848076126,0,0,0,0,200,(214) 891-5579,http://highlandparker.com/,,03/05/2021      ,08:48:09        ,-96.820685,32.825045
89,Hormazd Sanjana Md,Medical Practice,,2277 Nwmilitary 100,San Antonio,Bexar,2277 Nwmilitary 100,78213,29.5388506816416,-98.5267245669507,0,0,0,0,1000,(210) 342-7300,http://www.castlehillsfamilypractice.com/,,03/08/2021      ,11:07:53        ,-98.526725,29.538851
90,LIFECARE HOSPITAL - FORT WORTH,Hospital,E,6201 Overton Ridge Blvd, Fort Worth,Tarrant,"6201 Overton Ridge Blvd, Fort Worth, TX, 76132",76132,32.6793,-97.42126,0,60,0,60,100,(817) 222-8300,http://www.lifecare-health.com/,,03/04/2021      ,15:48:09        ,-97.42126,32.6793
