OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE,MODERNA_AVAILABLE2,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,Total_Available,Total_Shipped,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
36,CARROLLTON SPRINGS,Hospital,E,2225 PARKER RD, Carrollton,Denton,"2225 Parker Rd., Carrollton, TX, 75010",75010,33.045618,-96.868486,0,0,320,0,320,0,320,400,(972) 382-5855,https://carrolltonsprings.com/,,01/27/2021      ,09:35:28        ,-96.868486,33.045618
37,SWISHER MEMORIAL HOSPITAL,Community Clinic,A,539 Se 2nd St,Tulia,Swisher,539 Se 2nd St,79088,34.5356300587467,-101.756016631497,0,0,0,80,0,80,80,200,(806) 995-3581,http://www.swisherhospital.com/,,01/27/2021      ,09:01:04        ,-101.756017,34.53563
38,Settegast Health Center,Medical Practice,,9105 N WAYSIDE DR,HOUSTON,Harris,9105 N WAYSIDE DR,77028,29.8456858404539,-95.2863488166492,0,0,0,0,0,0,0,100,(713)633-2020,http://www.harriscountytx.gov/,,,,-95.286349,29.845686
39,Sugar Lakes Family Practice,Medical Practice,,16902 Southwest Fwy,Sugar Land,Fort Bend,16902 Southwest Fwy,77479,29.5886256968681,-95.6368574270811,0,0,0,0,0,0,0,1000,(281) 565-2800,https://sugarlakesfamilypractice.com/,,,,-95.636857,29.588626
40,Healthville Pharmacy,Pharmacy,,7215 Mcpherson Rd,Laredo,Webb,7215 Mcpherson Rd,78041,27.5697923440345,-99.4727406089531,0,0,0,0,0,0,0,1800,(956) 701-3349,https://www.mygnp.com/pharmacies/healthville-pharmacy-laredo-tx-78041/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=5919925,,,,-99.472741,27.569792
41,South Tx Rural Health Services - Carrizo Springs,Community Clinic,,902 S 5TH ST,CARRIZO SPRINGS,Dimmit,902 S 5TH ST,78834,,,0,0,0,0,0,0,0,100,(830)876-5263,http://southtexasruralhealth.com/,,,,,
42,Carousel Pediatrics - William Cannon,Community Clinic,O,6425 S IH 35 Frontage Rd,Austin,Travis,"6425 S IH 35 Ste. 100, Austin, TX, USA",78744,30.1904423,-97.767747,0,0,0,0,0,0,0,100,,,,,,-97.767747,30.190442
43,Brookshire Brothers Pharmacy 74,Pharmacy,,1514 N Texana St,Hallettsville,Lavaca,1514 N Texana St,77964,29.4593505093173,-96.9398284596108,0,0,0,260,0,260,260,600,(361) 798-3229,https://www.brookshirebrothers.com/store-location/store-74,,01/27/2021      ,09:03:17        ,-96.939828,29.459351
44,UTSW-WILLIAM P. CLEMENTS JR. UNIVERSITY,Pharmacy,E,6201 Harry Hines Blvd, Dallas,Dallas,"6201 Harry Hines Blvd, Dallas, TX, 75390",75390,32.817851,-96.844782,9750,5135,0,1560,9750,6695,16445,0,(214) 633-5555,https://utswmed.org/locations/clements/?utm_campaign=directory_listing,,01/27/2021      ,07:50:13        ,-96.844782,32.817851
45,Hacs-Bautista Pediatric Health Center,Community Clinic,,902 Frostwood Dr.,Houston,,"902 Frostwood Dr. Houston, TX 77024",77024,29.77998,-95.54776,0,0,0,0,0,0,0,100,(713) 827-8266,,,,,-95.54776,29.77998
46,HEREFORD REGIONAL MEDICAL CENTER,Hospital,A,540 W 15th St,Hereford,Deaf Smith,540 W 15th St,79045,34.8389580169874,-102.413711968071,0,0,0,0,0,0,0,300,(806) 364-2141,http://dschd.org/,,01/27/2021      ,09:01:52        ,-102.413712,34.838958
47,Dept of Public Health - Nolan County / Sweetwater,Local Health Department,,301 E 12th Street,Sweetwater,Nolan,301 E 12th Street,79556,32.4785188124139,-100.409836151067,0,0,460,0,460,0,460,300,(325) 235-5463 ext. 1009,https://nolancountyhealth.com/,,01/21/2021      ,14:17:46        ,-100.409836,32.478519
48,STRATFORD WIC,Other,,1220 Purnell,Stratford,Sherman,1220 Purnell,79084,36.337253,-102.072473,0,0,0,0,0,0,0,100,(903) 366-3253,,,,,-102.072473,36.337253
49,Uhs Harlandale Clinic,Other,,834 W Southcross Blvd Ste 1,San Antonio,Bexar,834 W Southcross Blvd Ste 1,78211,29.3681125293336,-98.5242379915548,0,0,0,0,0,0,0,100,(210) 358-7020,http://www.universityhealthsystem.com/locations/harlandale-school-based-clinic,,01/27/2021      ,08:47:10        ,-98.524238,29.368113
50,HEALTHBRIDGE CHILDREN'S HOSPITAL,Hospital,Q,2929 Woodland Park Dr, Houston,Harris,"2929 Woodland Park Dr, Houston, TX, 77082",77082,29.732026,-95.580577,0,0,0,0,0,0,0,100,(281) 293-7774,http://www.nexuscontinuum.com/,,01/27/2021      ,08:51:57        ,-95.580577,29.732026
51,Emergency Care of East Houston,Hospital,,15119 Wallisville Rd,Houston,Harris,"15119 Wallisville Road, Houston, Texas, USA",77049,29.807213,-95.1720049,0,0,0,0,0,0,0,100,,,,01/18/2021      ,11:45:51        ,-95.172005,29.807213
52,Roma Family Health Clinic Roma 1,Community Clinic,,640 E Bravo Blvd 110397,Roma,Starr,640 E Bravo Blvd 110397,78584,26.4078810235521,-99.0099920793483,0,0,0,90,0,90,90,200,(956) 849-2176,http://www.starrcountyhospital.com/,,01/21/2021      ,18:33:35        ,-99.009992,26.407881
53,Seton Family Of Doctors Stone Hill,Other,,1512 Town Center Dr,Pflugerville,Travis,1512 Town Center Dr,78660,30.4661380315508,-97.5994756061581,0,0,0,0,0,0,0,300,(512) 324-4875,https://healthcare.ascension.org/Locations/Texas/TXAUS/Pflugerville-Seton-Family-of-Doctors-at-Stone-Hill,,01/27/2021      ,08:43:09        ,-97.599476,30.466138
54,CHRISTUS ST. ELIZABETH HOSPITAL,Hospital,R,2830 Calder St,Beaumont,Jefferson,"2830 Calder St, Beaumont, TX, 77702",77702,30.085112,-94.12607,0,3020,0,300,0,3320,3320,6450,(409) 892-7171,https://www.christushealth.org/southeast-texas/st-elizabeth?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTUzNzY1NTgtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,01/27/2021      ,08:44:47        ,-94.12607,30.085112
55,Star Wellness,Other,,451 Westpark Way Ste 1,Euless,Tarrant,451 Westpark Way Ste 1,76040,32.8322661719446,-97.1198031159812,0,0,0,0,0,0,0,300,(484) 526-3555,http://www.starwellness.org/,,01/27/2021      ,08:40:34        ,-97.119803,32.832266
56,Park Plaza Pediatrics,Medical Practice,,1213 Hermann Dr Ste 770,Houston,Harris,1213 Hermann Dr Ste 770,77004,29.7230494770782,-95.3890409290406,0,0,100,100,100,100,200,300,(713) 807-8921,https://parkplazapediatrics.org/,,01/22/2021      ,17:24:40        ,-95.389041,29.723049
57,Brookshire Brothers Pharmacy 71,Pharmacy,,14981 Old Trinity Rd,Onalaska,Polk,14981 Old Trinity Rd,77360,30.8117601609383,-95.1201258994879,0,0,0,200,0,200,200,400,936-646-2488,,,01/23/2021      ,08:26:11        ,-95.120126,30.81176
58,The Health Center Of Helping Hands,Community Clinic,,401 W Rusk,Rockwall,Rockwall,401 W Rusk,75087,32.9307938561837,-96.4630472607273,0,0,140,0,140,0,140,400,,,,01/27/2021      ,08:37:53        ,-96.463047,32.930794
59,Combest Central Health Center,Community Clinic,,2424 50th St,Lubbock,Lubbock,2424 50th St,79412,33.5488075174154,-101.869748999304,0,0,0,270,0,270,270,600,(806) 743-9355,https://www.ttuhsc.edu/nursing/combest/,,01/26/2021      ,15:59:50        ,-101.869749,33.548808
60,DSHS - Marlin,Other,,,Marlin,,217 Williams St. ,76661,31.30435924,-96.89939391,0,0,180,0,180,0,180,300,254-883-9206,,,01/26/2021      ,15:56:49        ,-96.899394,31.304359
61,Healthpoint Abc,Community Clinic,,1602 Rock Prairie Rd,College Station,Brazos,1602 Rock Prairie Rd,77845,30.5812089892948,-96.2883290258648,0,0,0,0,0,0,0,100,(979) 695-3400,http://www.healthpoint-tx.com/Locations/ABCCollegeStation,,01/21/2021      ,21:56:41        ,-96.288329,30.581209
62,Hendrick Provider Network Abilene 1,Medical Practice,,1210 North 18th St,Abilene,Taylor,1210 North 18th St,79601,32.4700391024678,-99.7338461129618,0,0,0,0,0,0,0,300,(325) 670-4220,http://www.hpnphysicians.com/,,01/20/2021      ,08:59:47        ,-99.733846,32.470039
63,Karnes Community Health Center,Community Clinic,,757 S Panna Maria,Karnes City,Karnes,757 S Panna Maria,78118,28.8755595982338,-97.9012299542576,0,0,0,0,0,0,0,100,(830) 780-3100,http://atascosahealthcenter.org/,,01/26/2021      ,08:22:49        ,-97.90123,28.87556
64,Laredo Emergency Room,Hospital,,7510 Mcpherson Rd,Laredo,Webb,7510 Mcpherson Rd,78041,27.5722280412783,-99.4726142936725,0,0,0,4190,0,4190,4190,12500,(956) 242-6790,http://www.laredoemergency.com/,,01/26/2021      ,15:10:09        ,-99.472614,27.572228
65,Healthpoint Memorial,Community Clinic,,1301 Memorial Drive,Bryan,Brazos,1301 Memorial Drive,77802,30.6513750323334,-96.3453914301215,0,0,0,0,0,0,0,100,(979) 695-3400,http://www.healthpoint-tx.com/,,01/21/2021      ,21:57:41        ,-96.345391,30.651375
66,Super 1 Pharmacy 642,Pharmacy,,172 Centennial Pkwy,Tyler,Smith,172 Centennial Pkwy,75703,32.2528732531952,-95.3058547225342,0,0,0,50,0,50,50,200,(903) 525-6923,https://www.brookshires.com/covid-19-information,,01/26/2021      ,19:39:17        ,-95.305855,32.252873
67,Super 1 Pharmacy 632,Pharmacy,,1800 South High,Longview,Gregg,1800 South High,75602,32.4714412840319,-94.7412054594648,0,0,0,90,0,90,90,200,(903) 234-2785,https://www.brookshires.com/covid-19-information,,01/25/2021      ,18:35:49        ,-94.741205,32.471441
68,Super 1 Pharmacy 631,Pharmacy,,207 E End Blvd N,Marshall,Harrison,207 E End Blvd N,75670,32.5463575970202,-94.3501721156636,0,0,6,20,6,20,26,300,(903) 938-3096,https://www.brookshires.com/covid-19-information,,01/26/2021      ,17:48:47        ,-94.350172,32.546358
69,Super 1 Pharmacy 630,Pharmacy,,100 N 15th St,Corsicana,Navarro,100 N 15th St,75110,32.0913726706482,-96.4693651425045,0,0,0,70,0,70,70,200,(903) 874-2152,https://www.brookshires.com/covid-19-information,,01/26/2021      ,14:45:47        ,-96.469365,32.091373
70,Super 1 Pharmacy 625,Pharmacy,,113 N Northwest Loop 323,Tyler,Smith,113 N Northwest Loop 323,75702,32.3539564071009,-95.3434021283605,0,0,0,60,0,60,60,200,(903) 593-5369,https://www.brookshires.com/covid-19-information,,01/26/2021      ,17:52:24        ,-95.343402,32.353956
71,Linos Pharmacy 2,Pharmacy,,201 N Fm 3167 Ste 101102,Rio Grande City,Starr,201 N Fm 3167 Ste 101102,78582,26.3990970082669,-98.8527659845164,0,0,0,0,0,0,0,100,(956) 488-1811,,,01/27/2021      ,08:18:05        ,-98.852766,26.399097
72,Super 1 Pharmacy 618,Pharmacy,,2610 Richmond Rd,Texarkana,Bowie,2610 Richmond Rd,75503,33.4584581448972,-94.0887693567612,0,0,0,90,0,90,90,200,(903) 832-2258,https://www.brookshires.com/covid-19-information,,01/20/2021      ,18:03:48        ,-94.088769,33.458458
73,Super 1 Pharmacy 615,Pharmacy,,4811 Wesley St,Greenville,Hunt,4811 Wesley St,75401,33.1218196652465,-96.1092525143683,0,0,0,60,0,60,60,200,(903) 454-8701,https://www.brookshires.com/covid-19-information,,01/26/2021      ,19:43:32        ,-96.109253,33.12182
74,Super 1 Pharmacy 612,Pharmacy,,1217 E Marshall Ave,Longview,Gregg,1217 E Marshall Ave,75601,32.5046716595556,-94.7224978146714,0,0,0,40,0,40,40,1300,(903) 753-1964,https://www.brookshires.com/covid-19-information,,01/26/2021      ,18:42:02        ,-94.722498,32.504672
75,Freeport Community Health Network 061447,Community Clinic,,905 N Gulf Blvd Ste 100,Freeport,Brazoria,905 N Gulf Blvd Ste 100,77541,28.9679284009058,-95.3685244255647,0,0,0,30,0,30,30,200,(281) 824-1480,https://mychn.org/freeport-community-health-center/,,01/27/2021      ,08:14:26        ,-95.368524,28.967928
76,Super 1 Pharmacy 611,Pharmacy,,602 S Jefferson Ave,Mount Pleasant,Titus,602 S Jefferson Ave,75455,33.1518012719003,-94.9694802309246,0,0,0,70,0,70,70,300,(903) 575-1610,https://www.brookshires.com/covid-19-information,,01/26/2021      ,17:19:41        ,-94.96948,33.151801
77,Super 1 Pharmacy 610,Pharmacy,,1105 E Gentry Pkwy,Tyler,Smith,1105 E Gentry Pkwy,75702,32.3620327479958,-95.2916686028666,0,0,0,90,0,90,90,200,(903) 535-9467,https://www.brookshires.com/covid-19-information,,01/26/2021      ,17:08:12        ,-95.291669,32.362033
78,Nuestra Clinica Del Valle - Rio Grande,Other,,600 N Garza St,Rio Grande,Starr,600 N Garza St,78582,26.3817640190777,-98.8143586865433,0,0,50,50,50,50,100,100,,,,01/27/2021      ,07:45:33        ,-98.814359,26.381764
79,LIBERTY-DAYTON REGIONAL MEDICAL CENTER,Hospital,R,1353 N Travis St,Liberty,Liberty,1353 N Travis St,77575,30.0684996228984,-94.7978916926302,0,0,0,200,0,200,200,400,(936) 336-9175,http://www.libertydaytonrmc.com/,,01/27/2021      ,07:43:43        ,-94.797892,30.0685
80,VALLEY BAPTIST MED CENTER - BROWNSVILLE,Hospital,V,1040 W Jefferson,Brownsville,Cameron,1040 W Jefferson,78520,25.9177439966788,-97.5117389566785,0,0,0,650,0,650,650,1800,(956) 698-5400,https://www.valleybaptist.net/locations/detail/vbmc-brownsville?utm_campaign=gmb_listings_mgmt&utm_source=gmb-vbmc-brownsville&utm_medium=google-local,,01/27/2021      ,08:31:45        ,-97.511739,25.917744
81,Lone Star Circle Of Care Ben White,Other,,,Austin,Travis,1221 W Ben White Blvd B100,78704,30.22374,-97.76396,0,0,0,0,0,0,0,100,(877) 800-5722,,,01/27/2021      ,06:13:20        ,-97.76396,30.22374
82,Family Care Clinic of Boys Ranch,Community Clinic,,74 Patterson Circle,Boys Ranch,TX - TEXAS,74 Patterson Circle,79010,35.53002951,-102.2564613,0,0,0,0,0,0,0,100,,,,01/26/2021      ,23:02:15        ,-102.256461,35.53003
83,CHRISTUS Healthy Living Mobile Clinics,Other,,2615 Fannin St,Houston,Harris,2615 Fannin St,77002,29.74462716,-95.3733329,0,0,0,450,0,450,450,0,7138031880,,,01/27/2021      ,07:45:14        ,-95.373333,29.744627
84,Family Care Clinic Of Bushland,Medical Practice,,1600 S Fm 2381,Amarillo,Potter,1600 S Fm 2381,79124,35.1963033178804,-102.063955097489,0,0,0,0,0,0,0,100,(806) 310-9855,http://www.familycarepanhandle.com/,,01/26/2021      ,22:30:54        ,-102.063955,35.196303
85,BELTERRA HEALTH & REHAB,Other,E,2170 NORTH LAKE FOREST DRIVE,MCKINNEY,Collin,,75071,33.2211,-96.677,69,61,0,0,69,61,130,100,(972) 542-5500,,,01/22/2021      ,11:18:08        ,-96.677,33.2211
86,Driven Md Pllc,Medical Practice,,,Frisco,Collin,5729 Lebanon Rd Ste 144,75034,33.1171882446469,-96.8389548532847,0,0,0,42,0,42,42,400,2144940177,,,01/27/2021      ,00:12:24        ,-96.838955,33.117188
87,"Emergency Hospital Systems, LLC",Vaccine Hub,,,Cleveland,Liberty,300 E. Crockett Street,77327,30.3419162,-95.085492,575,0,0,0,575,0,575,1950,281-592-5410     281-592-5400,www.emergencyhospitals.care,,01/26/2021      ,20:24:00        ,-95.085492,30.341916
88,Zapata Primary Care - Zapata 1,Medical Practice,,US Hwy 83,Zapata,Zapata,105 S US 83,78076,26.896284,-99.263914,0,0,70,0,70,0,70,100,956-750-3429,,,01/26/2021      ,21:28:22        ,-99.263914,26.896284
89,Su Clinica - Harlingen Adults,Other,,1706 Treasure Hills Blvd,Harlingen,Cameron,1706 Treasure Hills Blvd,78550,26.171616581301,-97.6679206593892,0,0,0,0,0,0,0,100,,,,,,-97.667921,26.171617
90,Nuestra Clinica del Valle -Alton,Community Clinic,,201 S Los Ebanos Blvd,Alton,Hidalgo,201 South Los Ebanos Boulevard,78574,26.288246,-98.330362,0,0,0,0,0,0,0,100,956-519-1800,,,,,-98.330362,26.288246
91,Fort Bend Family Health Center Access Health Center - Richmond,Community Clinic,Q,400 Austin St,Richmond,Fort Bend,"400 Austin St, Richmond, TX 77469",77469,29.5786836,-95.7624621,0,0,0,0,0,0,0,100,281-342-4530, https://www.myaccesshealth.org,,01/27/2021      ,07:04:08        ,-95.762462,29.578684
92,MARTIN LUTHER KING JR HEALTH (WIC),Community Clinic,,2922B MARTIN LUTHER KING JR BLVD,DALLAS,Dallas,2922B MARTIN LUTHER KING JR BLVD,75215,32.7707378201658,-96.7659588533232,0,0,0,0,0,0,0,100,(214)426-3645,http://www.mlkfamilyclinic.org/,,,,-96.765959,32.770738
93,Nuestra Clinica Del Valle - Roma,Medical Practice,,2891 e grant st ,ROMA,STARR,2891 E GRANT ST,78584,26.4075827053678,-98.9793912586779,0,0,0,0,0,0,0,100,,,,,,-98.979391,26.407583
94,TRAVIS COUNTY EMPLOYEES WELLNESS AND HEALTH CLINIC DEL VALLE,Community Clinic,,3518 FM 973 STE A,DEL VALLE,Travis,3518 FM 973 STE A,78617,30.1989652916468,-97.6422345896543,0,0,0,0,0,0,0,100,(512)978-9760,http://www.communitycaretx.org/,,,,-97.642235,30.198965
