OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,JJ_AVAILABLE,VACCINES_AVAILABLE,Total_Shipped,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
28,Alexa Pharmacy,Other,,,Keller,,967 Keller Pwky Ste C,76248,,,0,0,0,0,100,,,,,,,
29,Longview Drugs,Pharmacy,,,Longview,,1751 West Loop 281,75604,,,0,0,0,0,100,,,,,,,
30,PharmCare USA of Lubbock,Other,,45th St,Lubbock,Lubbock,6102 45th St,79407,33.5534861,-101.9478639,0,0,0,0,100,,,,,,-101.947864,33.553486
31,MULESHOE MEDICAL CENTER,Vaccine Hub,B,708 S 1st St,Muleshoe,Bailey,708 S 1st St,79347,34.2211138471444,-102.728460537533,500,0,0,500,18725,(806) 272-7544,https://muleshoehospital.com,,03/29/2021      ,07:03:16        ,-102.728461,34.221114
32,Fresenius Medical Care of Burleson,Other,,,Fort Worth,Tarrant,200 MCPHERSON RD ,76140,,,0,0,25,25,200,,,,03/29/2021      ,05:32:36        ,,
33,Coastal Pharmacy,Other,,2334 Tx Hwy 361,Ingleside,,2334 TX HWY 361 Ingleside 78362,78362,27.87909,-97.20355,0,100,0,100,200,,,,03/28/2021      ,17:20:50        ,-97.20355,27.87909
34,Vip Pharmacy,Other,,,,,,,,,0,0,0,0,100,,,,,,,
35,Kroger Pharmacy 431,Pharmacy,,325 E Spring St,Palestine,Anderson,325 E Spring St,75801,31.7617474551135,-95.6276390029246,1170,0,0,1170,2740,(903) 729-5362,http://www.kroger.com/stores/details/011/00431?cid=loc_01100431PP_gmb,,03/26/2021      ,08:05:00        ,-95.627639,31.761747
36,Rodger's Pharmacy,Other,,,,,,,,,0,0,0,0,100,,,,,,,
37,YOAKUM COUNTY HOSPITAL,Hospital,B,412 Mustang Ave,Denver City,Yoakum,412 Mustang Ave,79323,32.9686499819945,-102.836367256397,0,0,0,0,1500,,,,03/28/2021      ,22:04:16        ,-102.836367,32.96865
38,Yoakum Discount Pharmacy,Other,,,,,,,,,0,0,0,0,100,,,,,,,
39,Vina Pharmacy,Pharmacy,,11207 N LAMAR BLVD,Austin,,11207 N LAMAR BLVD # A Austin 78753,78753,30.3812461372579,-97.6862578878872,0,0,0,0,100,,,,03/27/2021      ,12:42:47        ,-97.686258,30.381246
40,Elgin Medicine Shop,Other,,199 Us Hwy 290 E,Elgin,Bastrop,199 Us Hwy 290 E,78621,30.3382585531022,-97.3692061578276,0,0,0,0,100,+15122856308,http://www.medicineshoptx.com/,,03/26/2021      ,09:46:13        ,-97.369206,30.338259
41,Apogee Pharmacy,Other,,,,,,,,,0,0,0,0,100,,,,,,,
42,"MLDP OF TEXAS, LP dba Legends Pharmacy",Pharmacy,,,San Antonio,Bexar,6601 Blanco Rd Suite 250 ,78216,29.5162436,-98.5072945,0,0,0,0,200,,,,03/26/2021      ,06:55:22        ,-98.507294,29.516244
43,Moore Than Medicine,Other,,,,,,,,,0,0,0,0,100,,,,,,,
44,Costco Wholesale 1284,Other,,,Mckinny,Collin,3650 W University Dr,75071,33.21747,-96.6606,0,0,0,0,100,,,,,,-96.6606,33.21747
45,CARL R. DARNALL ARMY MEDICAL CENTER,Hospital,L,36065 Santa Fe Ave, FT Hood,Bell,"36065 Santa Fe Ave, FT Hood, TX, 76544",76544,31.1269,-97.77617,0,0,0,0,45825,(254) 288-8000,https://www.crdamc.amedd.army.mil/Default.aspx,,,,-97.77617,31.1269
46,The Friendly Pharmacy ,Pharmacy,,,Brownsville,,"3302 Boca Chica Blvd STE 107, Brownsville, TX 78521",78521,,,0,0,0,0,100,(956) 544-1200,https://www.unitedfriendlypharmacy.com/,,,,,
47,OK Pharmacy Inc,Pharmacy,,,DONNA,,"122 S Main St, Donna, TX 78537",78537,,,0,0,0,0,100,(956) 464-2200,http://www.okpharmacydonna.com/,,,,,
48,Pharmacy Plus #2,Pharmacy,,,Groesbeck,N Ellis St,209 N Ellis St,76642,31.52556,-96.53397,0,0,0,0,200,354-729-3375,,,03/24/2021      ,10:17:01        ,-96.53397,31.52556
49,Pharmacy Plus #1,Pharmacy,,,Teague,,600 MAIN ST ,75860,31.62685,-96.28138,0,0,0,0,200,254-739-2585,mygnp.com,,03/19/2021      ,14:31:40        ,-96.28138,31.62685
50,PHARMCARE USA OF HOUSTON,Other,,420 CHESTNUT BUSINESS PARK DR STE C,TOMBALL,,420 CHESTNUT BUSINESS PARK DR STE C,77375,30.09699,-95.60635,0,0,0,0,200,,,,03/28/2021      ,11:30:17        ,-95.60635,30.09699
51,Sams Club Pharmacy 4702,Pharmacy,,155 W El Dorado Blvd,Friendswood,Galveston,,77546,29.5500227611393,-95.1567505963777,0,0,0,0,2300,+1 281 286 4517,,,03/18/2021      ,10:00:17        ,-95.156751,29.550023
52,Sams Club Pharmacy 8245,Pharmacy,,325 E Richey Rd,Houston,Harris,,77073,30.0000658346414,-95.4221251144225,0,0,0,0,2300,+1 281 821 1096,,,03/18/2021      ,09:28:01        ,-95.422125,30.000066
53,Gibson Prescription Pharmacy,Pharmacy,,Henderson,Henderson ,Athens,600 South Palestine Street,75751,,,0,0,0,0,100,,,,,,,
54,Heb Pharmacy 497,Other,,,,,,,,,0,0,0,0,100,,,,,,,
55,Rogers Pharmacy 6,Other,,1013 S Wells St,Edna,Jackson,1013 S Wells St,77957,28.9692467790127,-96.6357273578484,0,0,0,0,200,+13617827822,https://www.mygnp.com/pharmacies/rogers-pharmacy-6-edna-tx-77957/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=5916816,,03/24/2021      ,13:20:46        ,-96.635727,28.969247
56,Rogers Pharmacy #1,Other,,,,,,,,,0,0,0,0,100,,,,,,,
57,Veterans Health Corpus Cristi,Other,,S Enterprize Parkway,Corpus Cristi,Nueces,205 S Enterprize Parkway,78405,27.7624596527631,-97.4647432437424,0,0,0,0,300,,,,,,-97.464743,27.76246
58,CVS PHARMACY 6736,Other,,, Galveston,harris,2326 61st St 77551,77551,,,0,0,0,0,2340,,,,,,,
59,CVS PHARMACY 6319,Other,,,Texas City,,2902 Palmer Hwy , 77590,,,0,0,0,0,2340,,,,,,,
60,CVS PHARMACY 5519,Other,,,League City,,1295 E League City Pkwy,77573,,,0,0,0,0,2340,,,,,,,
61,CVS Pharmacy 16933 ,Other,,,TEXARKANA,,102 RICHMOND RANCH RD ,75503,,,0,0,0,0,1170,,,,,,,
62,CVS PHARMACY 10337,Other,,,ELGIN,,1205 HIGHWAY 290 ,78621,,,0,0,0,0,800,,,,,,,
63,CVS PHARMACY 8963,Other,,,Harlingen,,124 E Harrison Ave Harlingen 78550,78550,,,0,0,0,0,1300,,,,,,,
64,Bi-wize Pharmacy,Other,,,Friona,,902 Main Street,79035,,,0,0,0,0,100,,,,,,,
65,Medical Arts Pharmacy,Other,,,Kerrville,Kerr,200 Wesley Dr Unit A Phase 1,78028,,,0,0,0,0,100,,,,,,,
66,Fresenius Medical Care Alvin Dialysis Center,Community Clinic,,2625 S BYPASS 35 ,ALVIN,,2625 S BYPASS 35 STE 154,77511,29.40029,-95.24232,0,0,0,0,200,,,,03/29/2021      ,06:49:22        ,-95.24232,29.40029
67,Gatesville Drug Company,Other,,,Gatesville,Coryell,2513 S State Hwy 36,76528,31.431812335547,-97.727497861363,0,0,0,0,200,,,,03/27/2021      ,12:36:55        ,-97.727498,31.431812
68,CK Pharmacy,Other,,KINGWOOD DR # 108 ,Kingwood ,Harris,1110 KINGWOOD DR # 108 ,77339,30.0491710582397,-95.2396892313064,0,0,0,0,100,,,,,,-95.239689,30.049171
69,"TRUMED PHARMACY, LLC",Other,,East Sam Houston Parkway N,Houston,Harris,5620 East Sam Houston Parkway N,77015,29.8061269851602,-95.1623587177599,0,0,0,0,100,,,,03/26/2021      ,14:34:25        ,-95.162359,29.806127
70,Eagle Pharmacy Holliday,Pharmacy,,700 S College Ave,Holliday,Archer,700 S College Ave,76366,33.809524638497,-98.689818259104,0,0,0,0,900,940-583-4376,https://www.hollidayeaglepharmacy.com/,,03/26/2021      ,15:30:23        ,-98.689818,33.809525
71,A-class Pharmacy Llc,Other,,,Mcallen,hildalgo,3600 N 23rd St Suite #102,78501,,,0,0,0,0,1170,,,,,,,
72,Hale Center Clinical Pharmacy LLC,Pharmacy,,Avenue G,Hale Center,Hale,601 Ave G,79041,34.0637171273523,-101.846828716671,0,7,2,9,200,8068392466,,,03/26/2021      ,18:26:08        ,-101.846829,34.063717
73,Rio Grande Pharmacy LLC,Pharmacy,,Doniphan,El Paso,El Paso,5500 Doniphan Dr. Ste 201,79932,31.8589024,-106.5856162,0,0,0,0,100,(915) 260-8555,riograndepharmacy-ep@outlook.com,,03/13/2021      ,19:07:38        ,-106.585616,31.858902
74,COSTCO PHARMACY 1097,Pharmacy,,,Frisco,,11220 Dallas Parkway,75033,33.1720711433504,-96.8370014108434,0,0,0,0,300,(469) 200-7108,,,,,-96.837001,33.172071
75,COSTCO PHARMACY 1167,Pharmacy,,,Katy,,23645 katy freeway,77494,29.7827448517317,-95.7810557177295,0,0,0,0,300,(281) 347-9910,,,,,-95.781056,29.782745
76,COSTCO PHARMACY 1221,Pharmacy,,,Pearland,,3500 Business Center Drive,77584,29.5442255223944,-95.39039907482,0,0,0,0,300,(281) 707-7011,,,,,-95.390399,29.544226
77,COSTCO PHARMACY 1266,Pharmacy,,,Dallas,,8055 Churchll Way,75251,32.9193837488727,-96.7679216452639,0,0,0,0,300,(469) 680-7556,,,,,-96.767922,32.919384
78,COSTCO PHARMACY 489,Pharmacy,,,Fort Worth,,5300 Overton Ridge Blvd,76132,32.6778266007108,-97.4086599812541,0,0,0,0,300,(817) 210-0002,,,,,-97.40866,32.677827
79,Dawson County Hosp District/ Medical Arts Hosp - Lamesa,Pharmacy,B,2200 North Bryan Avenue,Lamesa,Dawson,2200 North Bryan Avenue,79331,32.7496007190782,-101.96629083807,0,450,0,450,1300,(806) 872-2183,http://medicalartshospital.org/foundation/,,03/28/2021      ,09:00:46        ,-101.966291,32.749601
80,Kroger Pharmacy 03500592,Other,,,,,,,,,0,0,0,0,2340,,,,,,,
81,Kroger Pharmacy 03400748,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
82,Kroger Pharmacy 03400150,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
83,Kroger Pharmacy 03400346,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
84,Kroger Pharmacy 03400743,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
85,Kroger Pharmacy 03500536,Other,,,,,,,,,0,0,0,0,2340,,,,,,,
86,Kroger Pharmacy 03400364,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
87,Kroger Pharmacy 03400320,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
88,Kroger Pharmacy 03500460,Other,,,,,,,,,0,0,0,0,1170,,,,,,,
89,Community Pharmacy Waller ,Pharmacy,,745 Austin Street Suite B,Hempstead,,"745 Austin Street Suite B Hempstead, TX 77445",77445,30.09733,-96.07578,0,100,0,100,200,,,,03/24/2021      ,17:28:11        ,-96.07578,30.09733
90,CODE 4 EMERGENCY- Austin,Other,,1901 E 51st Street,Austin,Travis,1901 E 51st Street,78723,30.301718367404,-97.6958657324761,0,0,0,0,2900,(888) 912-6334,https://www.wearecode4.com/,,03/19/2021      ,10:07:40        ,-97.695866,30.301718
91,CHI ST. LUKE'S SUGAR LAND HOSPITAL,Pharmacy,Q,1317 Lake Pointe Prkwy,Sugar Land,Fort Bend,1317 Lake Pointe Prkwy,77478,29.6036730937677,-95.6212008630954,0,0,0,0,3000,(281) 637-7000,https://www.stlukeshealth.org/locations/sugar-land-hospital?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=CHITexas&utm_term=CHIStLukesHealthSugarLandHospital&y_source=1_MTUxNjI3NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,03/29/2021      ,06:16:11        ,-95.621201,29.603673
92,Brookshires Pharmacy 127,Pharmacy,,11205 N State Hwy 289,Pottsboro,Grayson,11205 N State Hwy 289,75076,33.7655343895984,-96.6808347617677,0,0,0,0,1200,(903) 786-3150,https://www.brookshires.com/covid-19-information,,03/27/2021      ,17:58:30        ,-96.680835,33.765534
93,GREENVILLE PHARMACY LLC,Pharmacy,,4209 Wesley St,Greenville,Hunt,"4209 Wesley Street, Greenville, TX, USA",75401,33.1269938,-96.1091506,0,70,0,70,100,,,,03/27/2021      ,14:28:30        ,-96.109151,33.126994
94,Omni Medical Center,Community Clinic,,4666 MCDERMOTT RD,Plano,Collin,4666 MCDERMOTT RD # 100 Plano 75024,75024,33.0937901370929,-96.7936367436707,0,0,0,0,100,,,,03/10/2021      ,18:52:31        ,-96.793637,33.09379
95,Oakdell Pharmacy,Other,,Louis Pasteur Dr,San Antonio,Bexar,7220 Louis Pasteur Dr,78229,29.5010608723744,-98.5766816569822,0,0,0,0,100,,,,03/19/2021      ,18:39:56        ,-98.576682,29.501061
96,Lynns Lavega Pharmacy,Pharmacy,,2401 E Waco Dr,Waco,McLennan,2401 E Waco Dr,76705,31.5857457190685,-97.1053641741654,0,0,0,0,700,(254) 799-4949,http://www.lynnspharmacywaco.com/,,03/28/2021      ,17:46:56        ,-97.105364,31.585746
97,Eubank Drug Llc,Other,,-,Whitney,Hill,1510 N Brazos St,76692,31.96948731,-97.32801468,0,0,0,0,600,,,,03/24/2021      ,17:20:43        ,-97.328015,31.969487
98,The Medicine Shoppe Pharmacy 0939,Pharmacy,,903 W Frank Ave,Lufkin,Angelina,903 W Frank Ave,75904,31.3385996904812,-94.7384533152426,0,0,0,0,500,936-634-3006,http://kansascity.medicineshoppe.com/,,03/26/2021      ,15:57:15        ,-94.738453,31.3386
99,Moores Pharmacy,Pharmacy,,,Sinton,,200 S Rachal St ,78387,28.0356091102913,-97.5108176014718,0,0,0,0,200,361-364-1416,https://www.mygnp.com/pharmacies/moores-pharmacy-sinton-tx-78387/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=4531794,,03/19/2021      ,16:33:36        ,-97.510818,28.035609
100,New Dimension Pharmacy,Pharmacy,,1102 Pinemont Dr,Houston,Harris,"1102 Pinemont Drive, Houston, TX, USA",77018,29.8413834,-95.4239229,0,0,0,0,100,,,,03/26/2021      ,11:39:13        ,-95.423923,29.841383
101,CHANNELVIEW PHARMACY LLC,Other,,441 Sheldon Rd,Channelview,Harris,441 Sheldon Rd,77530,29.7804658446621,-95.1256404308501,0,0,5,5,300,+12814570523,http://mychannelviewpharmacy.com/,,03/29/2021      ,05:57:25        ,-95.12564,29.780466
102,ALPHINA INC DBA Oasis Pharmacy,Pharmacy,,DAIRY ASHFORD,SUGAR LAND,FORT BEND,12946 DAIRY ASHFORD RD STE 460,777478,29.6291552,-95.5997648,0,0,0,0,400,(281) 240-8111,MYOASISRX@OASISLTCRX.COM,,03/27/2021      ,13:48:18        ,-95.599765,29.629155
103,Heb Pharmacy 647,Pharmacy,,8300 Floyd Curl Dr Ste 105,San Antonio,Bexar,8300 Floyd Curl Dr Ste 105,78229,29.5147048384676,-98.580613826506,0,0,0,0,2600,(210) 593-0291,https://www.heb.com/pharmacy?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,03/26/2021      ,16:34:26        ,-98.580614,29.514705
104,Vaxanation Mobile Vaccination Clinic,Other,,14655 North West Fwy,Houston,Harris,14655 North West Fwy,77040,29.8657613340139,-95.5393335574956,0,0,0,0,1200,8324609003,,,03/15/2021      ,13:06:39        ,-95.539334,29.865761
105,Kroger Pharmacy 739,Other,,,Houston,,9125 W Sam Houston Pkwy ,77064,29.9032281,-95.5535627,0,0,0,0,100,281-447-0701,,,03/26/2021      ,08:05:00        ,-95.553563,29.903228
106,Kroger Pharmacy 737,Pharmacy,,12400 Fm 1960 Rd W,Houston,Harris,12400 Fm 1960 Rd W,77065,29.9224241310373,-95.6036239283178,0,0,0,0,200,(832) 237-4890,https://www.kroger.com/stores/details/034/00737?cid=loc_03400737_gmb,,03/26/2021      ,08:05:00        ,-95.603624,29.922424
107,Kroger Pharmacy 735,Pharmacy,,12555 Briar Forest Dr,Houston,Harris,12555 Briar Forest Dr,77077,29.7538125094739,-95.6053060086469,48,0,0,48,200,(281) 496-1092,http://www.kroger.com/stores/details/021/00735?cid=loc_02100735PP_gmb,,03/26/2021      ,08:05:00        ,-95.605306,29.753813
108,Kroger Pharmacy 733,Pharmacy,,1550 W Grand Pkwy S,Katy,Fort Bend,1550 W Grand Pkwy S,77494,29.758022068887,-95.7768191098131,0,0,0,0,200,(281) 693-0606,http://www.kroger.com/stores/details/034/00733?cid=loc_03400733PP_gmb,,03/26/2021      ,08:05:00        ,-95.776819,29.758022
109,Kroger Pharmacy 607,Pharmacy,,2300 Gessner Rd,Houston,Harris,2300 Gessner Rd,77080,29.8140439855932,-95.5451625006016,0,0,0,0,200,(713) 467-9425,http://www.kroger.com/stores/details/034/00607?cid=loc_03400607PP_gmb,,03/26/2021      ,08:05:00        ,-95.545163,29.814044
110,Kroger Pharmacy 396,Pharmacy,,6350 N Eldridge Pkwy,Houston,Harris,6350 N Eldridge Pkwy,77041,29.8651947173594,-95.6082534210792,0,0,0,0,300,(713) 896-8487,http://www.kroger.com/stores/details/034/00396?cid=loc_03400396PP_gmb,,03/26/2021      ,08:05:00        ,-95.608253,29.865195
111,Kroger Pharmacy 392,Pharmacy,,6425 Fm 1464 Rd,Richmond,Fort Bend,6425 Fm 1464 Rd,77407,29.7082364557815,-95.6880609577931,0,0,0,0,400,(281) 277-2242,http://www.kroger.com/stores/details/034/00392?cid=loc_03400392PP_gmb,,03/26/2021      ,08:05:00        ,-95.688061,29.708236
112,Kroger Pharmacy 378,Pharmacy,,6055 Fry Rd,Katy,Harris,6055 Fry Rd,77449,29.8605707566535,-95.7202358989608,0,0,0,0,200,(281) 858-7613,http://www.kroger.com/stores/details/034/00378?cid=loc_03400378PP_gmb,,03/26/2021      ,08:05:00        ,-95.720236,29.860571
113,Kroger Pharmacy 374,Pharmacy,,8550 Highway 6 N,Houston,Harris,8550 Highway 6 N,77095,29.9014360131237,-95.6315950097663,0,0,0,0,200,(281) 463-2409,http://www.kroger.com/stores/details/034/00374?cid=loc_03400374PP_gmb,,03/26/2021      ,08:05:00        ,-95.631595,29.901436
114,Kroger Pharmacy 363,Pharmacy,,9919 Westheimer Elmside,Houston,Harris,9919 Westheimer Elmside,77042,29.7369941369336,-95.5446733327325,42,0,0,42,200,(713) 532-5858,http://www.kroger.com/stores/details/011/00363?cid=loc_01100363PP_gmb,,03/26/2021      ,08:05:00        ,-95.544673,29.736994
115,Kroger Pharmacy 362,Pharmacy,,17455 Spring Cypress Rd,Cypress,Harris,17455 Spring Cypress Rd,77429,29.9724810244384,-95.6906127443958,0,0,0,0,300,(281) 304-0971,http://www.kroger.com/stores/details/034/00362?cid=loc_03400362PP_gmb,,03/26/2021      ,08:05:00        ,-95.690613,29.972481
116,Kroger Pharmacy 356,Pharmacy,,,Houston,,1352 W 43rd St ,77018,29.8288181,-95.4320766,30,0,0,30,100,,,,03/26/2021      ,08:05:00        ,-95.432077,29.828818
117,Kroger Pharmacy 355,Pharmacy,,1938 W Gray St,Houston,Harris,1938 W Gray St,77019,29.7531311445653,-95.4054996256742,0,0,0,0,200,(713) 521-2317,http://www.kroger.com/stores/details/034/00355?cid=loc_03400355PP_gmb,,03/26/2021      ,08:05:00        ,-95.4055,29.753131
118,Kroger Pharmacy 352,Pharmacy,,18030 Fm 529 Rd,Cypress,Harris,18030 Fm 529 Rd,77433,29.8799374792169,-95.6855909785654,0,0,0,0,200,(281) 550-6942,http://www.kroger.com/stores/details/034/00352?cid=loc_03400352PP_gmb,,03/26/2021      ,08:05:00        ,-95.685591,29.879937
119,Kroger Pharmacy 349,Pharmacy,,1520 Eldridge Pkwy,Houston,Harris,1520 Eldridge Pkwy,77077,29.7575360023219,-95.6254174633075,60,0,0,60,300,(281) 496-7719,https://www.kroger.com/stores/details/034/00349?cid=loc_03400349_gmb,,03/26/2021      ,08:05:00        ,-95.625417,29.757536
120,Kroger Pharmacy 336,Pharmacy,,22150 Westheimer Pkwy,Katy,Harris,22150 Westheimer Pkwy,77450,29.7341873728367,-95.7544985207516,0,0,0,0,500,(281) 828-8778,http://www.kroger.com/stores/details/034/00136?cid=loc_03400136PP_gmb,,03/26/2021      ,08:05:00        ,-95.754499,29.734187
121,Kroger Pharmacy 314,Pharmacy,,5150 Buffalo Speedway,Houston,Harris,"5150 Buffalo Speedway, Houston, TX, USA",77005,29.7267894,-95.4295452,0,0,0,0,100,,,,03/26/2021      ,08:05:00        ,-95.429545,29.726789
122,Kroger Pharmacy 312,Pharmacy,,1035 N Shepherd Dr,Houston,Harris,1035 N Shepherd Dr,77008,29.7893450315061,-95.409885288873,0,0,0,0,200,(713) 880-4661,,,03/26/2021      ,08:05:00        ,-95.409885,29.789345
123,Kroger Pharmacy 311,Pharmacy,,9330 Jones Rd,Houston,Harris,9330 Jones Rd,77065,29.9078861809838,-95.5845082437545,0,0,0,0,300,(281) 894-4859,http://www.kroger.com/stores/details/034/00311?cid=loc_03400311PP_gmb,,03/26/2021      ,08:05:00        ,-95.584508,29.907886
124,Kroger Pharmacy 309,Pharmacy,,1801 S Voss Rd,Houston,Harris,1801 S Voss Rd,77057,29.7484707225806,-95.5009583549111,24,0,0,24,300,(713) 780-7643,http://www.kroger.com/stores/details/029/00572P?cid=loc_02900572PP_gmb,,03/26/2021      ,08:05:00        ,-95.500958,29.748471
