County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Throckmorton,2/3,0,3,3,0,1187,400,68,0
Titus,4/5N,800,295,295,0,25312,5155,2112,633
Tom Green,9/10,6025,2330,2330,0,93428,18529,7802,1606
Travis,7,40325,13294,13294,0,1016090,126607,72623,8271
Trinity,4/5N,400,38,38,0,12118,3960,400,241
Tyler,4/5N,0,34,34,0,18704,5080,627,238
Upshur,4/5N,0,208,208,0,33211,7910,852,567
Upton,9/10,100,95,95,0,2790,680,189,30
Uvalde,8,600,451,451,0,20809,4433,1687,459
Val Verde,8,600,93,93,0,38039,7591,3134,490
Van Zandt,4/5N,900,245,245,0,45144,12228,1691,711
Victoria,8,2375,673,673,0,72004,14413,6748,1008
Walker,6/5S,1400,249,249,0,64302,10281,2415,400
Waller,6/5S,800,119,119,0,44163,7506,1476,466
Ward,9/10,100,101,101,0,8544,1608,180,92
Washington,7,400,134,134,0,28737,7674,2867,1018
Webb,11,12900,2649,2649,0,205887,27759,14457,1766
Wharton,6/5S,200,128,128,0,31964,7399,1057,615
Wheeler,1,100,21,21,0,4018,1136,230,114
Wichita,2/3,5925,2151,2151,0,106550,21428,10503,2088
Wilbarger,2/3,700,550,550,0,9933,2483,540,304
Willacy,11,0,101,101,0,16823,3062,269,557
Williamson,7,9050,5388,5388,0,457170,74290,20968,4643
Wilson,8,1000,649,649,0,42030,9149,1516,615
Winkler,9/10,0,13,13,0,5798,967,135,0
Wise,2/3,1075,986,986,0,55570,11830,4112,552
Wood,4/5N,500,227,227,0,37205,12511,1107,790
Yoakum,1,0,116,116,0,6336,1174,251,60
Young,2/3,700,224,224,0,15028,4183,1057,431
Zapata,11,100,70,70,0,10088,1870,270,143
Zavala,8,0,79,79,0,8768,1675,58,60
NULL,,0,22432,22432,0,,,,
