County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Carson,1,1800,3701,2015,1767,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,
Cass,4/5N,5100,18286,10433,8951,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,
Castro,1,3100,5939,3290,2669,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,
Chambers,6/5S,37400,38858,21298,18029,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,
Cherokee,4/5N,18070,36423,20688,17469,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,
Childress,1,5000,6037,3537,3238,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,
Clay,2/3,14645,8327,4437,4032,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,
Cochran,1,1400,1887,1102,960,2361,2188,468,57,0,956,0,,,,,,,,,,,,
Coke,9/10,0,2391,1293,1113,2889,2756,947,47,130,899,0,,,,,,,,,,,,
Coleman,2/3,3700,5585,3098,2703,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,
Collin,2/3,763700,1274521,680724,606060,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,
Collingsworth,1,2200,1616,951,799,2432,2263,555,80,92,847,0,,,,,,,,,,,,
Colorado,6/5S,12600,20035,11441,9992,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,
Comal,8,94530,173039,94825,83605,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,
Comanche,2/3,6890,11025,6120,5428,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,
Concho,9/10,2000,2468,1406,1146,2382,2288,689,76,66,815,0,,,,,,,,,,,,
Cooke,2/3,18500,28835,16270,13607,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,
Coryell,7,38595,54491,29915,25628,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,
Cottle,2/3,0,942,528,468,1181,1123,339,5,0,446,0,,,,,,,,,,,,
Crane,9/10,3550,3424,2015,1396,3834,3554,594,71,110,1353,0,,,,,,,,,,,,
Crockett,9/10,0,2879,1563,1314,2885,2694,612,31,56,1031,0,,,,,,,,,,,,
Crosby,1,4050,4843,2569,2299,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,
Culberson,9/10,2000,2246,1198,1058,1824,1746,480,67,0,722,0,,,,,,,,,,,,
Dallam,1,28810,5990,3519,2565,5706,5217,857,40,0,2067,0,,,,,,,,,,,,
Dallas,2/3,1962805,2846958,1560829,1328864,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,
Dawson,9/10,4600,7677,4485,3723,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,
DeWitt,8,7100,16649,9158,8107,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,
Deaf Smith,1,5000,13878,7804,6742,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,
Delta,4/5N,1700,3397,1825,1573,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,
Denton,2/3,567070,1001550,534139,480902,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,
Dickens,1,0,1292,722,642,1943,1858,525,21,0,689,0,,,,,,,,,,,,
Dimmit,8,23265,14104,8323,5707,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,
Donley,1,1400,2289,1264,1062,2837,2716,804,27,65,918,0,,,,,,,,,,,,
Duval,11,3800,13749,7396,6132,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,
Eastland,2/3,7340,11706,6718,5630,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,
Ector,9/10,117100,130594,71435,60286,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,
Edwards,8,0,1366,739,646,1648,1555,561,24,0,528,0,,,,,,,,,,,,
El Paso,9/10,713000,1114489,606773,523209,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,
Ellis,2/3,130520,174757,96211,82421,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,
Erath,2/3,24600,28528,15841,13660,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,
Falls,7,30755,14305,7898,6637,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,
Fannin,2/3,37695,25481,14270,12360,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,
Fayette,7,8700,24111,13714,11589,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,
Fisher,2/3,2200,2448,1424,1213,3277,3088,961,101,28,1061,0,,,,,,,,,,,,
Floyd,1,2300,4506,2492,2197,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,
Foard,2/3,1700,963,557,434,1003,962,315,7,80,332,0,,,,,,,,,,,,
Fort Bend,6/5S,528850,1056355,565155,501107,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,
Franklin,4/5N,3200,7000,4004,3361,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,
Freestone,7,4400,13587,7685,6643,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,
Frio,8,13450,17562,10768,9256,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,
Gaines,9/10,5100,8140,4637,3956,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,
Galveston,6/5S,310560,388852,201090,182025,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,
Garza,1,4200,4852,3070,2859,5587,5325,719,33,75,2197,0,,,,,,,,,,,,
Gillespie,8,31400,27537,14879,13151,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,
Glasscock,9/10,0,1112,609,522,1170,1099,210,23,0,426,0,,,,,,,,,,,,
Goliad,8,2400,6089,3300,2933,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,
Gonzales,8,11700,18276,10433,9146,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,
Gray,1,5500,15024,8460,7374,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,
Grayson,2/3,67740,102973,59167,50496,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,
Gregg,4/5N,124925,107058,57989,49941,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,
Grimes,7,4700,27618,15509,13126,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,
Guadalupe,8,91395,161090,89816,79486,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,
Hale,1,14000,23692,13485,11855,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,
Hall,1,0,2276,1272,1135,2552,2406,711,27,72,978,0,,,,,,,,,,,,
Hamilton,7,6100,7447,4206,3684,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,
Hansford,1,3400,3965,2252,2024,4355,3987,812,139,84,1616,295,,,,,,,,,,,,
Hardeman,2/3,3800,3213,1767,1592,3383,3190,912,102,16,1146,0,,,,,,,,,,,,
Hardin,6/5S,11800,40725,22356,19052,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,
Harris,6/5S,3395220,5337505,2949357,2522027,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,
Harrison,4/5N,16870,46259,26032,22324,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,
Hartley,1,1475,4976,2828,2315,4854,4561,861,196,94,1669,253,,,,,,,,,,,,
Haskell,2/3,3200,3856,2200,1818,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,
Hays,7,170240,261251,143659,123416,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,
Hemphill,1,3100,2765,1645,1461,3122,2827,606,104,98,1066,0,,,,,,,,,,,,
Henderson,4/5N,23170,59903,33436,28650,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,
Hidalgo,11,641140,1164161,629457,537159,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,
Hill,7,10400,25880,15101,12710,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,
Hockley,1,5500,17618,9915,8584,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,
Hood,2/3,31570,55776,29907,26598,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,
Hopkins,4/5N,14810,27063,14896,12728,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,
Houston,4/5N,6800,17468,9791,8444,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,
Howard,9/10,7900,22259,12818,11007,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,
Hudspeth,9/10,2000,5560,3215,2880,4139,3979,775,33,0,1778,145,,,,,,,,,,,,
Hunt,2/3,39410,74476,41025,35179,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,
Hutchinson,1,4900,13184,7238,6223,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,
Irion,9/10,0,1219,642,572,1292,1234,328,15,0,429,0,,,,,,,,,,,,
Jack,2/3,3900,6136,3432,2972,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,
Jackson,8,11060,12089,6495,5682,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,
Jasper,4/5N,15270,23619,13185,11424,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,
Jeff Davis,9/10,1400,2289,1220,1080,2246,2180,812,28,0,685,0,,,,,,,,,,,,
Jefferson,6/5S,241300,230516,124043,105292,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,
Jim Hogg,11,1400,5956,3272,2588,4107,3791,890,14,60,1572,0,,,,,,,,,,,,
Jim Wells,11,35525,44610,23762,20025,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,
Johnson,2/3,105100,144942,79158,68565,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,
Jones,2/3,3300,14831,9008,7596,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,
Karnes,8,14520,14474,8128,7320,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,
Kaufman,2/3,65950,126233,69579,59373,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,
Kendall,8,19400,54280,29391,26006,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,
Kenedy,11,0,465,236,207,333,321,68,1,0,139,0,,,,,,,,,,,,
Kent,2/3,0,527,298,257,646,615,201,13,60,198,0,,,,,,,,,,,,
Kerr,8,20100,46903,25871,22613,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,
Kimble,9/10,2900,3533,1961,1687,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,
King,1,0,86,53,40,215,205,51,7,0,69,0,,,,,,,,,,,,
Kinney,8,2400,3086,1745,1390,3211,3050,910,11,0,1171,0,,,,,,,,,,,,
Kleberg,11,59725,38029,19642,16961,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,
Knox,2/3,2300,2519,1398,1246,3024,2808,736,95,127,976,182,,,,,,,,,,,,
La Salle,8,24535,8505,4867,4222,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,
Lamar,4/5N,28200,36041,19287,16682,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,
Lamb,1,2400,9663,5429,4673,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,
Lampasas,7,5000,16974,9651,8233,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,
Lavaca,8,8700,15754,8891,7985,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,
Lee,7,5900,14576,8163,7049,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,
Leon,7,3800,11797,6960,5825,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,
Liberty,6/5S,42565,69279,38738,32473,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,
Limestone,7,8100,15904,9259,7859,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,
Lipscomb,1,1300,1755,956,875,2698,2520,617,24,61,919,190,,,,,,,,,,,,
Live Oak,11,3400,7662,4149,3580,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,
Llano,7,6800,20473,11387,10028,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,
Loving,9/10,0,72,40,31,130,129,23,0,0,50,0,,,,,,,,,,,,
Lubbock,1,239890,271764,149291,129562,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,
Lynn,1,1800,4331,2376,2061,4851,4496,974,191,40,1838,328,,,,,,,,,,,,
Madison,7,4100,10528,6043,5055,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,
Marion,4/5N,1300,7217,4048,3560,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,
Martin,9/10,2400,3371,1943,1526,4473,4136,659,165,0,1624,0,,,,,,,,,,,,
Mason,9/10,2000,3864,2071,1866,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,
Matagorda,6/5S,16950,31910,17735,14918,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,
Maverick,8,46700,82607,50658,37212,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,
McCulloch,9/10,4400,5567,3105,2667,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,
McLennan,7,153530,229967,129526,110455,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,
McMullen,11,1200,592,330,301,640,616,189,10,0,202,0,,,,,,,,,,,,
Medina,8,18100,50125,27621,24575,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,
Menard,9/10,1400,1946,1074,979,1888,1790,699,9,40,550,0,,,,,,,,,,,,
Midland,9/10,135835,142643,76749,65377,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,
Milam,7,11200,20705,11239,9846,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,
Mills,7,2600,3788,2080,1787,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,
Mitchell,2/3,4000,5478,3074,2719,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,
Montague,2/3,4950,12888,7270,6116,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,
Montgomery,6/5S,404890,613949,338173,288977,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,
Moore,1,7240,17103,9741,7573,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,
Morris,4/5N,2100,9494,5415,4583,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,
Motley,1,0,682,420,277,1051,994,368,22,50,319,0,,,,,,,,,,,,
Nacogdoches,4/5N,33100,51436,29848,24741,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,
Navarro,2/3,33100,42507,23388,19945,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,
Newton,4/5N,2900,6202,3424,2961,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,
Nolan,2/3,9000,10701,6344,5622,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,
Nueces,11,289725,386929,208737,179213,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,
Ochiltree,1,4700,6767,3750,3244,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,
Oldham,1,1600,1354,747,633,1894,1728,316,18,0,654,227,,,,,,,,,,,,
Orange,6/5S,5300,55920,30867,26031,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,
Palo Pinto,2/3,6500,20230,11064,9624,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,
Panola,4/5N,3900,14542,8314,7086,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,
Parker,2/3,73730,117885,63830,56496,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,
Parmer,1,2600,6785,3792,3324,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,
Pecos,9/10,6700,16908,9484,8067,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,
Polk,4/5N,10200,39672,22003,18884,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,
Potter,1,194195,93838,52319,43031,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,
Presidio,9/10,5300,11455,6271,5299,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,
Rains,4/5N,2000,8244,4525,3903,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,
Randall,1,16170,113039,61941,53438,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,
Reagan,9/10,1400,2809,1616,1382,3078,2841,427,52,42,1173,0,,,,,,,,,,,,
Real,8,2000,3146,1684,1483,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,
Red River,4/5N,3500,8566,4831,4158,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,
Reeves,9/10,31075,18995,12543,6419,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,
Refugio,11,2900,7068,3768,3374,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,
Roberts,1,0,482,263,240,730,672,193,16,0,227,0,,,,,,,,,,,,
Robertson,7,4200,13373,7707,6554,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,
Rockwall,2/3,59095,111864,61635,52349,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,
Runnels,2/3,7600,8228,4541,4060,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,
Rusk,4/5N,11670,37483,21213,18100,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,
Sabine,4/5N,3900,7057,3930,3430,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,
San Augustine,4/5N,3700,6595,3648,3089,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,
San Jacinto,4/5N,4500,17599,9886,8505,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,
San Patricio,11,20170,70075,38675,32624,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,
San Saba,7,2100,4020,2256,1905,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,
Schleicher,9/10,1800,2397,1282,1163,2399,2218,559,65,34,793,0,,,,,,,,,,,,
Scurry,2/3,7395,14191,8213,6753,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,
Shackelford,2/3,1700,2184,1190,1036,2804,2612,691,52,0,937,119,,,,,,,,,,,,
Shelby,4/5N,10050,16626,9574,7707,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,
Sherman,1,1800,1852,1097,830,2478,2294,462,24,42,868,0,,,,,,,,,,,,
Smith,4/5N,209370,198398,107154,92797,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,
Somervell,2/3,5100,7028,3915,3443,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,
Starr,11,43780,87647,49015,43530,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,
Stephens,2/3,3400,5666,3317,2905,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,
Sterling,9/10,700,948,510,426,1042,975,186,10,44,375,0,,,,,,,,,,,,
Stonewall,2/3,1700,1026,571,508,1164,1095,361,63,53,369,0,,,,,,,,,,,,
Sutton,9/10,2400,3096,1665,1453,3139,2992,723,91,0,1051,0,,,,,,,,,,,,
Swisher,1,2600,4717,2868,2516,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,
Tarrant,2/3,1449310,2156447,1160765,1019838,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,
Taylor,2/3,94735,114199,62719,54047,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,
Terrell,9/10,0,777,437,355,678,639,255,10,0,207,0,,,,,,,,,,,,
Terry,1,8590,9252,5299,4533,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,
Throckmorton,2/3,2100,1191,652,555,1314,1247,445,64,0,399,0,,,,,,,,,,,,
Titus,4/5N,25200,24242,13757,11076,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,
Tom Green,9/10,95140,104621,55132,48952,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,
Travis,7,2165090,1630556,885343,776879,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,
Trinity,4/5N,5050,11263,6305,5372,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,
Tyler,4/5N,9300,14550,7933,6922,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,
Upshur,4/5N,5300,25811,14305,12251,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,
Upton,9/10,3200,3009,1545,1305,2953,2730,537,170,30,1105,0,,,,,,,,,,,,
Uvalde,8,31145,26118,14382,12263,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,
Val Verde,8,43030,57895,33560,26865,39580,36546,7003,2610,490,14417,104,,,,,,,,,,,,
Van Zandt,4/5N,13100,37590,20978,18143,48037,45216,11495,1280,711,16861,1783,,,,,,,,,,,,
Victoria,8,60590,84781,45331,40077,76348,71388,15242,5624,1030,27119,241,,,,,,,,,,,,
Walker,6/5S,36770,64175,35842,30607,66420,63471,10049,1526,400,24628,1438,,,,,,,,,,,,
Waller,6/5S,15640,42828,23804,20324,46544,43350,6546,1182,466,16819,1813,,,,,,,,,,,,
Ward,9/10,4940,8261,4640,3950,9651,8921,1629,137,92,3551,0,,,,,,,,,,,,
Washington,7,63100,34322,18580,16327,30940,29086,7889,2581,1018,10662,72,,,,,,,,,,,,
Webb,11,206550,409137,230852,192244,215919,196916,26921,12073,1646,88397,11668,,,,,,,,,,,,
Wharton,6/5S,18490,38019,21457,18147,34591,32110,7239,1438,615,12933,1328,,,,,,,,,,,,
Wheeler,1,3000,3508,2012,1757,4211,3915,1002,200,114,1459,243,,,,,,,,,,,,
Wichita,2/3,76520,106636,58514,51637,111604,105631,19854,8664,2030,42031,3508,,,,,,,,,,,,
Wilbarger,2/3,10600,11265,6408,5690,10971,10361,2421,457,304,4240,27,,,,,,,,,,,,
Willacy,11,8300,24900,13927,11907,18065,16897,3057,325,557,7612,775,,,,,,,,,,,,
Williamson,7,449190,716701,388663,344046,493204,458433,73202,14404,4639,146388,19090,,,,,,,,,,,,
Wilson,8,23300,46477,25712,22733,43258,40488,8411,1224,615,13986,1510,,,,,,,,,,,,
Winkler,9/10,2000,5428,3060,2642,6466,5954,964,102,0,2445,0,,,,,,,,,,,,
Wise,2/3,29680,48524,26781,23621,58448,54722,10598,3589,552,22459,1533,,,,,,,,,,,,
Wood,4/5N,6700,35168,19580,17272,39990,38005,12527,1046,880,13019,1130,,,,,,,,,,,,
Yoakum,1,3400,6112,3582,3041,6743,6135,1033,225,60,2367,0,,,,,,,,,,,,
Young,2/3,8500,13020,7402,6441,15127,14219,3774,862,431,5296,626,,,,,,,,,,,,
Zapata,11,8400,15955,8904,7706,10966,9981,1866,195,202,4642,0,,,,,,,,,,,,
Zavala,8,2200,11444,6140,5330,9644,8840,1723,25,60,4035,458,,,,,,,,,,,,
Other, ,,542465,363758,250338,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
