County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Frio,8,13450,17442,10728,9208,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,
Gaines,9/10,5100,8058,4615,3902,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,
Galveston,6/5S,310560,385861,200623,181315,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,
Garza,1,4200,4839,3063,2853,5587,5325,719,33,75,2197,0,,,,,,,,,,,,
Gillespie,8,31400,27352,14832,13066,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,
Glasscock,9/10,0,1099,607,519,1170,1099,210,23,0,426,0,,,,,,,,,,,,
Goliad,8,2400,6056,3289,2922,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,
Gonzales,8,11700,18155,10400,9073,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,
Gray,1,5500,14930,8417,7327,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,
Grayson,2/3,67740,102133,58910,50175,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,
Gregg,4/5N,124925,106090,57773,49575,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,
Grimes,7,4700,27430,15443,13027,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,
Guadalupe,8,91395,160046,89503,79180,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,
Hale,1,14000,23580,13435,11795,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,
Hall,1,0,2268,1271,1129,2552,2406,711,27,72,978,0,,,,,,,,,,,,
Hamilton,7,6100,7371,4185,3646,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,
Hansford,1,3400,3964,2253,2022,4355,3987,812,139,84,1616,295,,,,,,,,,,,,
Hardeman,2/3,3800,3127,1766,1583,3383,3190,912,102,16,1146,0,,,,,,,,,,,,
Hardin,6/5S,11800,40488,22285,18915,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,
Harris,6/5S,3395220,5300285,2937001,2508938,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,
Harrison,4/5N,16870,45947,25964,22190,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,
Hartley,1,1475,4965,2828,2308,4854,4561,861,196,94,1669,253,,,,,,,,,,,,
Haskell,2/3,3200,3841,2196,1812,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,
Hays,7,170240,259441,143231,122872,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,
Hemphill,1,3100,2750,1643,1446,3122,2827,606,104,98,1066,0,,,,,,,,,,,,
Henderson,4/5N,23170,59310,33264,28364,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,
Hidalgo,11,641140,1158172,627868,535083,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,
Hill,7,10400,25643,15024,12594,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,
Hockley,1,5500,17505,9894,8521,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,
Hood,2/3,31570,55425,29844,26479,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,
Hopkins,4/5N,14810,26900,14855,12637,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,
Houston,4/5N,6800,17375,9770,8389,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,
Howard,9/10,7900,22105,12779,10938,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,
Hudspeth,9/10,2000,5545,3210,2875,4139,3979,775,33,0,1778,145,,,,,,,,,,,,
Hunt,2/3,39410,73705,40849,34910,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,
Hutchinson,1,4900,13111,7213,6187,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,
Irion,9/10,0,1195,639,566,1292,1234,328,15,0,429,0,,,,,,,,,,,,
Jack,2/3,3900,6049,3393,2929,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,
Jackson,8,11060,11954,6484,5625,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,
Jasper,4/5N,15270,23488,13158,11329,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,
Jeff Davis,9/10,1400,2285,1217,1081,2246,2180,812,28,0,685,0,,,,,,,,,,,,
Jefferson,6/5S,241300,228765,123582,104509,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,
Jim Hogg,11,1400,5944,3266,2583,4107,3791,890,14,60,1572,0,,,,,,,,,,,,
Jim Wells,11,35525,44223,23700,19892,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,
Johnson,2/3,105100,143920,78863,68101,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,
Jones,2/3,3300,14714,8960,7538,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,
Karnes,8,14520,14342,8095,7232,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,
Kaufman,2/3,65950,125129,69249,58880,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,
Kendall,8,19400,53851,29302,25887,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,
Kenedy,11,0,461,235,206,333,321,68,1,0,139,0,,,,,,,,,,,,
Kent,2/3,0,524,298,255,646,615,201,13,60,198,0,,,,,,,,,,,,
Kerr,8,20100,46577,25793,22514,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,
Kimble,9/10,2900,3487,1953,1654,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,
King,1,0,86,53,40,215,205,51,7,0,69,0,,,,,,,,,,,,
Kinney,8,2400,3016,1711,1367,3211,3050,910,11,0,1171,0,,,,,,,,,,,,
Kleberg,11,59725,37803,19608,16914,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,
Knox,2/3,2300,2500,1392,1233,3024,2808,736,95,127,976,182,,,,,,,,,,,,
La Salle,8,24535,8487,4862,4215,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,
Lamar,4/5N,28200,35708,19190,16575,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,
Lamb,1,2400,9617,5411,4649,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,
Lampasas,7,5000,16826,9614,8169,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,
Lavaca,8,8700,15658,8868,7927,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,
Lee,7,5900,14504,8144,7009,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,
Leon,7,3800,11713,6947,5770,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,
Liberty,6/5S,42565,68751,38562,32240,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,
Limestone,7,8100,15737,9189,7787,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,
Lipscomb,1,1300,1749,957,869,2698,2520,617,24,61,919,190,,,,,,,,,,,,
Live Oak,11,3400,7589,4137,3546,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,
Llano,7,6800,20378,11365,9990,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,
Loving,9/10,0,70,40,31,130,129,23,0,0,50,0,,,,,,,,,,,,
Lubbock,1,239890,270696,149038,129046,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,
Lynn,1,1800,4284,2357,2032,4851,4496,974,191,40,1838,328,,,,,,,,,,,,
Madison,7,4100,10488,6028,5033,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,
Marion,4/5N,1300,7151,4034,3528,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,
Martin,9/10,2400,3344,1932,1514,4473,4136,659,165,0,1624,0,,,,,,,,,,,,
Mason,9/10,2000,3837,2066,1859,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,
Matagorda,6/5S,16950,31699,17697,14788,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,
Maverick,8,46700,82169,50513,36935,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,
McCulloch,9/10,4400,5480,3077,2618,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,
McLennan,7,153530,227773,128996,109339,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,
McMullen,11,1200,595,332,303,640,616,189,10,0,202,0,,,,,,,,,,,,
Medina,8,18100,49699,27521,24447,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,
Menard,9/10,1400,1921,1073,965,1888,1790,699,9,40,550,0,,,,,,,,,,,,
Midland,9/10,135835,140961,76499,64917,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,
Milam,7,11200,20510,11181,9726,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,
Mills,7,2600,3704,2065,1752,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,
Mitchell,2/3,4000,5454,3070,2708,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,
Montague,2/3,4950,12775,7239,6080,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,
Montgomery,6/5S,404890,610822,337429,287813,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,
Moore,1,7240,16984,9683,7524,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,
Morris,4/5N,2100,9438,5393,4557,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,
Motley,1,0,682,420,277,1051,994,368,22,50,319,0,,,,,,,,,,,,
Nacogdoches,4/5N,33100,51058,29765,24549,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,
Navarro,2/3,33100,42228,23308,19769,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,
Newton,4/5N,2900,6170,3413,2944,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,
Nolan,2/3,9000,10629,6326,5581,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,
Nueces,11,289725,384849,208208,178321,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,
Ochiltree,1,4700,6729,3744,3214,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,
Oldham,1,1600,1348,745,629,1894,1728,316,18,0,654,227,,,,,,,,,,,,
Orange,6/5S,5300,55560,30775,25816,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,
Palo Pinto,2/3,6500,20076,11040,9574,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,
Panola,4/5N,3900,14383,8264,6999,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,
Parker,2/3,73730,116841,63642,56173,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,
Parmer,1,2600,6718,3780,3282,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,
Pecos,9/10,6700,16770,9456,8010,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,
Polk,4/5N,10200,39372,21905,18770,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,
Potter,1,194195,93383,52159,42785,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,
Presidio,9/10,5300,11445,6265,5297,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,
Rains,4/5N,2000,8188,4511,3881,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,
Randall,1,16170,112556,61784,53185,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,
Reagan,9/10,1400,2765,1602,1365,3078,2841,427,52,42,1173,0,,,,,,,,,,,,
Real,8,2000,3109,1682,1477,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,
Red River,4/5N,3500,8499,4814,4122,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,
Reeves,9/10,31075,18556,12330,6326,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,
Refugio,11,2900,7017,3754,3346,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,
Roberts,1,0,479,263,237,730,672,193,16,0,227,0,,,,,,,,,,,,
Robertson,7,4200,13256,7677,6488,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,
Rockwall,2/3,59095,111062,61467,52030,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,
Runnels,2/3,7600,8136,4525,4014,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,
Rusk,4/5N,11670,37196,21150,17984,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,
Sabine,4/5N,3900,7000,3908,3401,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,
San Augustine,4/5N,3700,6534,3635,3047,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,
San Jacinto,4/5N,4500,17451,9841,8441,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,
San Patricio,11,20170,69573,38577,32420,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,
San Saba,7,2100,3984,2249,1884,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,
Schleicher,9/10,1800,2377,1281,1155,2399,2218,559,65,34,793,0,,,,,,,,,,,,
Scurry,2/3,7395,13962,8143,6651,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,
Shackelford,2/3,1700,2160,1185,1021,2804,2612,691,52,0,937,119,,,,,,,,,,,,
Shelby,4/5N,10050,16434,9533,7579,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,
Sherman,1,1800,1846,1093,828,2478,2294,462,24,42,868,0,,,,,,,,,,,,
Smith,4/5N,209370,196566,106671,92057,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,
Somervell,2/3,5100,6958,3898,3410,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,
Starr,11,43780,87027,48908,43346,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,
Stephens,2/3,3400,5654,3319,2896,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,
Sterling,9/10,700,938,507,422,1042,975,186,10,44,375,0,,,,,,,,,,,,
Stonewall,2/3,1700,1007,570,494,1164,1095,361,63,53,369,0,,,,,,,,,,,,
Sutton,9/10,2400,3072,1660,1442,3139,2992,723,91,0,1051,0,,,,,,,,,,,,
Swisher,1,2600,4694,2860,2504,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,
Tarrant,2/3,1449310,2143258,1157274,1015096,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,
Taylor,2/3,94735,113341,62579,53721,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,
Terrell,9/10,0,771,435,354,678,639,255,10,0,207,0,,,,,,,,,,,,
Terry,1,8590,9182,5285,4513,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,
Throckmorton,2/3,2100,1184,650,552,1314,1247,445,64,0,399,0,,,,,,,,,,,,
Titus,4/5N,25200,24133,13717,11025,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,
Tom Green,9/10,95140,102819,54893,48488,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,
Travis,7,2165090,1622370,883436,774283,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,
Trinity,4/5N,5050,11121,6283,5328,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,
Tyler,4/5N,9300,14444,7908,6859,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,
Upshur,4/5N,5300,25517,14251,12119,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,
Upton,9/10,3200,2926,1529,1291,2953,2730,537,170,30,1105,0,,,,,,,,,,,,
Uvalde,8,31145,25869,14346,12192,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,
Val Verde,8,43030,57448,33455,26693,39580,36546,7003,2610,490,14417,104,,,,,,,,,,,,
Van Zandt,4/5N,13100,37234,20870,17968,48037,45216,11495,1280,711,16861,1783,,,,,,,,,,,,
Victoria,8,60590,84324,45222,39861,76348,71388,15242,5624,1030,27119,241,,,,,,,,,,,,
Walker,6/5S,36770,63683,35668,30382,66420,63471,10049,1526,400,24628,1438,,,,,,,,,,,,
Waller,6/5S,15640,42627,23757,20223,46544,43350,6546,1182,466,16819,1813,,,,,,,,,,,,
Ward,9/10,4940,8179,4615,3911,9651,8921,1629,137,92,3551,0,,,,,,,,,,,,
Washington,7,63100,34128,18535,16225,30940,29086,7889,2581,1018,10662,72,,,,,,,,,,,,
Webb,11,206550,407295,230196,191501,215919,196916,26921,12073,1646,88397,11668,,,,,,,,,,,,
Wharton,6/5S,18490,37635,21345,17933,34591,32110,7239,1438,615,12933,1328,,,,,,,,,,,,
Wheeler,1,3000,3485,2005,1742,4211,3915,1002,200,114,1459,243,,,,,,,,,,,,
Wichita,2/3,76520,105467,58278,51375,111604,105631,19854,8664,2030,42031,3508,,,,,,,,,,,,
Wilbarger,2/3,10600,11220,6386,5678,10971,10361,2421,457,304,4240,27,,,,,,,,,,,,
Willacy,11,8300,24758,13857,11819,18065,16897,3057,325,557,7612,775,,,,,,,,,,,,
Williamson,7,449190,713246,387837,342862,493204,458433,73202,14404,4639,146388,19090,,,,,,,,,,,,
Wilson,8,23300,46095,25621,22591,43258,40488,8411,1224,615,13986,1510,,,,,,,,,,,,
Winkler,9/10,2000,5335,3047,2587,6466,5954,964,102,0,2445,0,,,,,,,,,,,,
Wise,2/3,29680,48056,26655,23411,58448,54722,10598,3589,552,22459,1533,,,,,,,,,,,,
Wood,4/5N,6700,34878,19524,17162,39990,38005,12527,1046,880,13019,1130,,,,,,,,,,,,
Yoakum,1,3400,6037,3567,2986,6743,6135,1033,225,60,2367,0,,,,,,,,,,,,
Young,2/3,8500,12855,7359,6340,15127,14219,3774,862,431,5296,626,,,,,,,,,,,,
Zapata,11,8400,15905,8884,7681,10966,9981,1866,195,202,4642,0,,,,,,,,,,,,
Zavala,8,2200,11372,6118,5306,9644,8840,1723,25,60,4035,458,,,,,,,,,,,,
Other, ,,536129,359922,247403,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
