County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",
Dickens,1,0,925,535,448,1858,525,21,0,689,0,
Dimmit,8,23065,7007,4034,2997,7539,1749,238,175,3179,48,
Donley,1,1400,1389,849,581,2716,804,27,65,918,0,
Duval,11,3200,6991,4159,3237,8600,2031,69,150,3541,482,
Eastland,2/3,6070,7538,4642,3497,14970,4054,860,389,5393,591,
Ector,9/10,109350,71623,41516,31807,120896,15970,5303,1016,50679,428,
Edwards,8,0,948,549,415,1555,561,24,0,528,0,
El Paso,9/10,524630,511473,325005,203297,640180,105175,35065,8383,245567,27330,
Ellis,2/3,98780,85685,53949,35322,141665,24288,3985,1994,54463,6578,
Erath,2/3,20300,16049,9665,7013,34875,6256,1250,481,12564,1079,
Falls,7,26945,6047,3780,2577,14049,3226,328,187,5671,486,
Fannin,2/3,31145,13056,7834,6118,28874,6588,962,614,10987,1108,
Fayette,7,6600,11207,7139,4994,20879,6679,998,647,6844,671,
Fisher,2/3,2100,1510,890,699,3088,961,101,28,1061,0,
Floyd,1,2200,2972,1716,1357,4371,1070,132,68,1723,0,
Foard,2/3,1600,752,448,336,962,315,7,80,332,0,
Fort Bend,6/5S,418980,492070,300462,206354,616413,93851,24721,4977,175581,19047,
Franklin,4/5N,3000,3572,2141,1588,8554,2367,169,163,2871,0,
Freestone,7,3700,5505,3531,2473,15808,3996,553,261,6319,689,
Frio,8,11050,7312,4476,3485,16121,2499,186,166,6797,28,
Gaines,9/10,4500,4489,2704,2118,14548,1907,323,95,6156,717,
Galveston,6/5S,240360,199707,119660,83638,269280,50987,11784,2830,96486,10219,
Garza,1,3400,2238,1441,1210,5325,719,33,75,2197,0,
Gillespie,8,28400,15494,9533,6265,22307,8110,1175,706,6815,681,
Glasscock,9/10,0,910,563,471,1099,210,23,0,426,0,
Goliad,8,2300,3509,2016,1713,6281,1832,39,135,2282,0,
Gonzales,8,8700,9422,6106,4345,15937,3572,550,256,6356,693,
Gray,1,4600,8055,4982,3460,16924,3531,689,315,6978,42,
Grayson,2/3,56930,51781,33334,24003,107521,24182,9338,2131,40586,4254,
Gregg,4/5N,99295,51608,29734,22696,95544,19451,7025,2324,37362,3988,
Grimes,7,4300,11211,7262,4585,23245,5134,234,311,9653,771,
Guadalupe,8,75785,67352,43260,31214,130517,23614,3801,1225,49282,3850,
Hale,1,11500,12661,7925,5579,25476,4604,873,399,10561,1177,
Hall,1,0,1646,976,791,2406,711,27,72,978,0,
Hamilton,7,5000,4553,2812,2217,6832,2146,481,296,2427,10,
Hansford,1,3200,2760,1662,1475,3987,812,139,84,1616,295,
Hardeman,2/3,3200,2279,1308,1160,3190,912,102,16,1146,0,
Hardin,6/5S,11000,22326,13308,9504,45112,9762,1003,527,16190,1814,
Harris,6/5S,2669720,2329463,1517829,906806,3601939,514167,225769,27623,1408024,148273,
Harrison,4/5N,15370,20256,12353,9532,51900,11607,3063,608,20509,2169,
Hartley,1,1475,2781,1690,1104,4561,861,196,94,1669,253,
Haskell,2/3,2600,2986,1772,1352,4831,1266,123,68,1872,187,
Hays,7,141540,111012,72087,45107,183380,26187,5488,1907,61462,6431,
Hemphill,1,2900,1951,1174,1062,2827,606,104,98,1066,0,
Henderson,4/5N,20170,28676,17507,12562,67238,18534,2043,998,26544,1787,
Hidalgo,11,500890,490910,311375,197332,620824,98328,54962,17074,286328,36161,
Hill,7,8200,15095,9126,7191,29198,7684,862,523,11381,1209,
Hockley,1,5200,9623,5582,4503,17799,3453,483,263,6829,887,
Hood,2/3,26970,33883,19949,14658,50193,15416,1720,867,16867,147,
Hopkins,4/5N,10670,12523,7732,5304,29175,6887,1192,620,11166,1299,
Houston,4/5N,6100,8317,5242,3775,18929,5176,634,538,7399,631,
Howard,9/10,7600,10184,5810,4803,29544,4813,1456,454,12143,858,
Hudspeth,9/10,1700,2151,1245,956,3979,775,33,0,1778,145,
Hunt,2/3,34970,32643,19737,14163,77878,15810,4112,947,31096,2723,
Hutchinson,1,4200,7967,4560,3560,16258,3581,504,246,6098,741,
Irion,9/10,0,795,457,351,1234,328,15,0,429,0,
Jack,2/3,3700,3613,2137,1710,7230,1515,198,149,2732,284,
Jackson,8,9290,6789,4193,2828,11425,2720,380,237,4205,674,
Jasper,4/5N,14000,14029,8075,6507,28056,7187,1597,374,11687,1173,
Jeff Davis,9/10,1400,1826,1029,844,2180,812,28,0,685,0,
Jefferson,6/5S,211590,104415,64462,41013,197382,37595,13127,2431,90120,6898,
Jim Hogg,11,1400,3775,2167,1632,3791,890,14,60,1572,0,
Jim Wells,11,30045,24252,13762,11061,30579,6358,3897,985,12474,1370,
Johnson,2/3,84210,66127,39522,28352,135345,25151,3559,1471,53224,5814,
Jones,2/3,2800,5682,3470,2678,17011,3188,337,254,6981,525,
Karnes,8,11680,6399,4130,3048,12669,2211,370,244,5177,505,
Kaufman,2/3,51050,52532,33473,21186,102341,16113,2857,1189,40613,4498,
Kendall,8,15100,26961,16813,11256,37890,9152,1091,801,12702,160,
Kenedy,11,0,311,172,143,321,68,1,0,139,0,
Kent,2/3,0,386,223,187,615,201,13,60,198,0,
Kerr,8,16500,23679,14680,9869,43793,14769,2805,1022,13990,1087,
Kimble,9/10,2500,2379,1367,1119,3651,1288,90,0,1243,0,
King,1,0,98,70,32,205,51,7,0,69,0,
Kinney,8,2200,1676,1092,614,3050,910,11,0,1171,0,
Kleberg,11,50045,21363,11778,9913,24188,4046,1401,341,9265,870,
Knox,2/3,2100,1933,1077,964,2808,736,95,127,976,182,
La Salle,8,23835,4966,2842,2287,6212,1018,22,60,2410,0,
Lamar,4/5N,24800,21115,12285,9651,39402,9726,3115,745,14986,1612,
Lamb,1,2300,5854,3500,2702,9740,2240,454,226,3968,536,
Lampasas,7,4400,7392,4653,3251,17366,4322,348,284,6457,0,
Lavaca,8,7800,8862,5423,4246,16004,4775,820,612,5435,476,
Lee,7,4500,6989,4406,2926,13993,3219,334,226,5333,494,
Leon,7,3500,6300,4078,2930,13946,4334,155,74,4662,603,
Liberty,6/5S,33845,24154,15368,10232,66868,11399,1398,614,28567,2987,
Limestone,7,6700,7075,4456,3212,18871,4670,2332,1060,7512,702,
Lipscomb,1,1300,1309,755,611,2520,617,24,61,919,190,
Live Oak,11,2900,4619,2658,2075,10055,2533,35,100,3769,300,
Llano,7,5700,10483,6560,4559,18908,8119,277,358,5362,15,
Loving,9/10,0,56,32,24,129,23,0,0,50,0,
Lubbock,1,207750,163962,98229,69862,244992,39476,20974,4093,83028,9242,
Lynn,1,1700,2573,1571,1074,4496,974,191,40,1838,328,
Madison,7,3000,4043,2694,1663,11595,2264,299,258,4451,17,
Marion,4/5N,1300,3490,2087,1675,8277,2697,351,158,3058,0,
Martin,9/10,2000,2279,1364,1017,4136,659,165,0,1624,0,
Mason,9/10,1900,2612,1472,1220,3521,1250,104,0,1147,0,
Matagorda,6/5S,14850,14847,9856,5613,28247,6391,1113,369,11409,1164,
Maverick,8,40400,31513,22811,10896,42606,7003,2970,1198,18727,152,
McCulloch,9/10,4000,3086,1865,1364,6435,1792,212,122,2275,260,
McLennan,7,124810,100272,62188,44363,200781,37728,11153,3621,71906,8718,
McMullen,11,1000,384,227,188,616,189,10,0,202,0,
Medina,8,15000,23533,15060,10361,41263,8757,899,536,16090,1720,
Menard,9/10,1300,1339,798,670,1790,699,9,40,550,0,
Midland,9/10,130425,79465,46504,34371,131025,18438,5950,1288,49538,4151,
Milam,7,8400,10365,6082,4586,19689,5245,532,297,7641,827,
Mills,7,2400,2442,1437,1087,4006,1416,149,152,1305,265,
Mitchell,2/3,3600,2333,1458,918,6958,1259,265,96,2753,254,
Montague,2/3,4350,7963,4687,3627,15872,4444,560,383,5668,702,
Montgomery,6/5S,339000,226500,143256,90673,467232,81457,20255,3836,157396,17330,
Moore,1,6740,11559,6720,5039,14986,2372,448,176,6143,27,
Morris,4/5N,1900,4281,2665,1980,9830,2730,77,179,3692,0,
Motley,1,0,533,345,198,994,368,22,50,319,0,
Nacogdoches,4/5N,27600,28129,18445,13227,51773,9953,2530,755,19948,1728,
Navarro,2/3,32800,23186,14083,9571,38360,8651,1720,869,15775,1772,
Newton,4/5N,2700,3982,2237,1833,11298,2878,55,113,4648,354,
Nolan,2/3,7500,6260,4073,3201,11321,2737,519,251,4249,719,
Nueces,11,225855,179703,104098,79599,284366,54069,25582,4100,113767,9771,
Ochiltree,1,4200,4398,2504,2100,7106,1148,200,114,2812,0,
Oldham,1,1500,743,432,336,1728,316,18,0,654,227,
Orange,6/5S,4300,26024,15728,11021,65087,13729,1456,548,26244,2692,
Palo Pinto,2/3,4800,10608,6362,4738,23207,5893,864,283,8796,816,
Panola,4/5N,3800,6353,4154,2877,18462,4589,473,377,7117,661,
Parker,2/3,61730,59464,35605,25942,111686,22331,2890,1301,40567,3773,
Parmer,1,2400,4739,2698,2294,7222,1366,161,174,2910,525,
Pecos,9/10,5900,9138,5028,4321,12317,2141,400,120,5047,517,
Polk,4/5N,9100,18177,10620,8435,42276,9733,1184,574,17118,1025,
Potter,1,170495,49398,29641,20684,88673,15203,10224,1770,35559,518,
Presidio,9/10,5000,7450,4243,3270,5069,1601,27,0,2039,0,
Rains,4/5N,1900,4055,2391,1766,10277,3123,163,68,3649,0,
Randall,1,15270,69813,40376,31546,108431,21424,2812,869,34803,519,
Reagan,9/10,1400,1487,899,758,2841,427,52,42,1173,0,
Real,8,1700,2175,1211,994,2943,1053,25,86,1051,0,
Red River,4/5N,3300,4956,3028,2330,9965,3044,420,252,3717,477,
Reeves,9/10,26235,8247,4495,3824,12781,1878,281,89,5277,0,
Refugio,11,2600,4116,2401,1796,5583,1617,228,154,2031,313,
Roberts,1,0,313,172,151,672,193,16,0,227,0,
Robertson,7,3700,6789,4234,3167,13474,3412,252,252,4991,690,
Rockwall,2/3,50685,50691,31138,21931,80325,13395,3750,1347,27575,3321,
Runnels,2/3,6400,5202,2918,2566,8184,2153,405,312,2979,430,
Rusk,4/5N,10470,15397,9484,6856,43777,9197,1501,759,17428,1859,
Sabine,4/5N,3500,4763,2731,2258,8871,3267,572,186,3077,0,
San Augustine,4/5N,3300,3677,2220,1558,6811,2227,415,337,2590,0,
San Jacinto,4/5N,4000,8967,5381,4255,23444,6488,132,190,9275,40,
San Patricio,11,17570,30444,18677,13202,51116,10209,975,347,19063,2379,
San Saba,7,2000,1736,1194,608,5000,1465,33,72,1828,197,
Schleicher,9/10,1700,1383,767,662,2218,559,65,34,793,0,
Scurry,2/3,6895,6740,3878,3099,13000,2566,399,128,5165,0,
Shackelford,2/3,1700,1495,855,676,2612,691,52,0,937,119,
Shelby,4/5N,8680,7117,4287,3235,19449,4532,540,369,7876,948,
Sherman,1,1800,1314,793,590,2294,462,24,42,868,0,
Smith,4/5N,184920,98107,59214,40604,182283,39337,19690,3030,62467,7172,
Somervell,2/3,4000,4390,2658,2020,7386,1770,457,220,2741,479,
Starr,11,32000,45520,28059,21519,45765,7370,4479,1999,21117,3311,
Stephens,2/3,3000,3313,2084,1600,7542,1890,168,92,2928,22,
Sterling,9/10,700,537,332,207,975,186,10,44,375,0,
Stonewall,2/3,1600,694,386,342,1095,361,63,53,369,0,
Sutton,9/10,1900,2035,1159,899,2992,723,91,0,1051,0,
Swisher,1,2200,2924,1772,1485,5764,1305,114,61,2381,323,
Tarrant,2/3,1167770,913120,549862,386903,1617160,244511,86106,18386,590239,56668,
Taylor,2/3,85425,67513,39058,30097,107257,20131,11065,2465,36680,4185,
Terrell,9/10,0,612,362,269,639,255,10,0,207,0,
Terry,1,8490,5986,3518,2838,9307,1858,345,178,3985,416,
Throckmorton,2/3,2000,939,517,435,1247,445,64,0,399,0,
Titus,4/5N,17150,9360,5754,3954,24323,4845,1811,633,9797,1297,
Tom Green,9/10,83510,61063,34937,27019,93752,18625,6702,1601,33131,3815,
Travis,7,1212100,717459,462261,287426,1032386,129553,51820,8264,311477,32884,
Trinity,4/5N,4650,5790,3409,2653,12104,3956,347,241,4400,427,
Tyler,4/5N,8300,7156,4102,3198,17963,4895,476,238,6926,722,
Upshur,4/5N,5000,12459,7306,5681,33011,7825,714,567,12366,1404,
Upton,9/10,3100,1991,1064,934,2730,537,170,30,1105,0,
Uvalde,8,27805,15165,9192,6442,20379,4508,1498,515,8253,985,
Val Verde,8,34410,20680,13698,7956,36546,7003,2610,490,14417,104,
Van Zandt,4/5N,11200,19024,11797,8293,45216,11495,1280,711,16861,1783,
Victoria,8,51750,36125,22238,14921,71388,15242,5624,1030,27119,241,
Walker,6/5S,30770,23277,15701,9534,63471,10049,1526,400,24628,1438,
Waller,6/5S,12270,15776,9987,6626,43350,6546,1182,466,16819,1813,
Ward,9/10,4640,5978,3365,2859,8921,1629,137,92,3551,0,
Washington,7,59400,16329,9541,7214,29086,7889,2581,1018,10662,72,
Webb,11,160400,175498,114290,70366,196916,26921,12073,1646,88397,11668,
Wharton,6/5S,15450,14970,10189,6085,32110,7239,1438,615,12933,1328,
Wheeler,1,2800,2178,1278,1081,3915,1002,200,114,1459,243,
Wichita,2/3,62970,56433,34699,25377,105631,19854,8664,2030,42031,3508,
Wilbarger,2/3,9600,7530,4472,3846,10361,2421,457,304,4240,27,
Willacy,11,5500,12420,7358,5299,16897,3057,325,557,7612,775,
Williamson,7,322350,305703,197063,123838,458433,73202,14404,4639,146388,19090,
Wilson,8,17400,20421,13078,8631,40488,8411,1224,615,13986,1510,
Winkler,9/10,2000,3420,2033,1622,5954,964,102,0,2445,0,
Wise,2/3,23870,25149,15356,11211,54722,10598,3589,552,22459,1533,
Wood,4/5N,6300,18797,11324,8751,38005,12527,1046,880,13019,1130,
Yoakum,1,3000,3313,2247,1494,6135,1033,225,60,2367,0,
Young,2/3,7900,8040,4676,3979,14219,3774,862,431,5296,626,
Zapata,11,7400,9193,5939,3967,9981,1866,195,202,4642,0,
Zavala,8,1700,7049,4097,3001,8840,1723,25,60,4035,458,
Other, ,,968558,775680,243899,,,,,,,
