County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Eastland,2/3,240,239,1,14718,4181,1021,405,7102
Ector,9/10,1877,1835,42,123303,16788,6730,1016,54750
Edwards,8,35,34,1,1605,586,27,0,792
El Paso,9/10,25447,24639,808,640715,111036,46429,8546,281334
Ellis,2/3,2724,2621,103,146536,26120,5259,1781,61039
Erath,2/3,409,405,4,34869,6466,1793,481,14817
Falls,7,129,129,0,14306,3332,413,187,7192
Fannin,2/3,813,807,6,29681,7609,1161,693,13661
Fayette,7,505,505,0,21209,6683,1251,647,9754
Fisher,2/3,15,15,0,3139,996,184,28,1509
Floyd,1,45,45,0,4283,1207,156,68,2228
Foard,2/3,29,29,0,937,323,9,80,489
Fort Bend,6/5S,12441,12029,412,626861,97435,33263,4965,192056
Franklin,4/5N,158,158,0,8327,2189,181,163,3820
Freestone,7,80,80,0,16551,4068,718,261,8172
Frio,8,409,409,0,15133,2573,226,270,7605
Gaines,9/10,258,258,0,14875,2237,348,95,6531
Galveston,6/5S,9172,8964,208,267032,50119,15388,2824,113161
Garza,1,36,34,2,5021,727,52,75,2607
Gillespie,8,666,665,1,22728,8108,1453,706,10293
Glasscock,9/10,6,6,0,1108,296,28,0,491
Goliad,8,108,105,3,6615,2077,59,135,3059
Gonzales,8,292,292,0,15931,3700,626,256,7818
Gray,1,422,419,3,17050,3428,927,315,8475
Grayson,2/3,2373,2357,16,107568,25224,10711,1989,49725
Gregg,4/5N,2084,2074,10,97771,19676,10046,2328,45063
Grimes,7,323,322,1,23692,5592,422,311,11724
Guadalupe,8,2423,2412,11,130156,24014,5123,1292,56504
Hale,1,669,660,9,25066,4629,1308,399,12481
Hall,1,65,65,0,2399,745,42,72,1348
Hamilton,7,494,494,0,6957,2150,503,296,3427
Hansford,1,212,210,2,3992,874,163,84,1970
Hardeman,2/3,173,171,2,3017,769,118,16,1552
Hardin,6/5S,621,616,5,47640,10521,1237,527,19766
Harris,6/5S,82420,78924,3496,3573784,490810,281834,27084,1572384
Harrison,4/5N,632,631,1,53015,11647,3586,608,25401
Hartley,1,35,35,0,4850,899,203,94,2001
Haskell,2/3,61,61,0,4635,1242,136,68,2483
Hays,7,3870,3856,14,183387,29281,7680,1557,67042
Hemphill,1,221,221,0,2788,547,113,98,1271
Henderson,4/5N,729,722,7,67614,18942,2628,932,35206
Hidalgo,11,11950,11887,63,649795,102347,62827,16918,319830
Hill,7,463,459,4,29221,8003,1219,523,14733
Hockley,1,425,410,15,17482,3513,795,263,8124
Hood,2/3,758,750,8,50235,15761,2493,862,23089
Hopkins,4/5N,329,329,0,29578,7446,1680,620,13891
Houston,4/5N,432,431,1,19208,5038,1114,426,9989
Howard,9/10,523,520,3,28821,4493,1826,454,14072
Hudspeth,9/10,48,48,0,2968,818,35,0,2097
Hunt,2/3,1986,1965,21,77702,16832,4485,947,36713
Hutchinson,1,344,343,1,15984,3458,545,246,7583
Irion,9/10,20,20,0,1345,412,19,0,563
Jack,2/3,181,178,3,7488,1604,226,149,3304
Jackson,8,356,354,2,11172,2670,422,237,5354
Jasper,4/5N,262,261,1,28248,7271,1952,374,15256
Jeff Davis,9/10,21,21,0,2146,846,29,0,1042
Jefferson,6/5S,1602,1598,4,198728,36802,16838,2497,109233
Jim Hogg,11,61,61,0,3764,898,35,60,1972
Jim Wells,11,627,624,3,29988,6423,4090,1033,15173
Johnson,2/3,2227,2119,108,135188,26669,5142,1260,61261
Jones,2/3,169,169,0,16827,3127,400,340,8290
Karnes,8,172,171,1,12523,2489,396,244,6085
Kaufman,2/3,2023,1921,102,104736,19164,4062,1176,43786
Kendall,8,1102,1090,12,38074,9979,2094,801,15516
Kenedy,11,5,5,0,315,94,1,0,176
Kent,2/3,11,11,0,633,235,14,60,275
Kerr,8,697,697,0,43611,14400,3557,1022,20395
Kimble,9/10,63,63,0,3844,1379,104,0,1891
King,1,5,5,0,233,60,5,0,93
Kinney,8,12,12,0,2931,889,19,0,1673
Kleberg,11,438,437,1,25862,4574,1835,341,10851
Knox,2/3,117,117,0,2861,823,117,127,1265
La Salle,8,53,52,1,6105,1224,37,60,2810
Lamar,4/5N,941,937,4,40212,10314,3737,745,19135
Lamb,1,212,208,4,9647,2400,541,226,5028
Lampasas,7,175,175,0,17275,4497,436,284,8188
Lavaca,8,545,544,1,16041,4537,881,620,7426
Lee,7,217,216,1,13837,3373,363,226,6632
Leon,7,176,175,1,14066,4292,256,74,6485
Liberty,6/5S,485,473,12,70912,13765,2505,614,32693
Limestone,7,156,156,0,19033,4691,2488,1060,9655
Lipscomb,1,56,56,0,2496,636,31,61,1202
Live Oak,11,61,61,0,9966,2656,55,100,4881
Llano,7,200,198,2,18642,7523,340,358,9093
Loving,9/10,1,1,0,83,34,1,0,47
Lubbock,1,12495,11734,761,243899,41235,24699,4151,94573
Lynn,1,108,100,8,4820,1113,212,40,2246
Madison,7,150,150,0,11353,2256,314,258,5423
Marion,4/5N,64,63,1,8117,2491,372,158,4457
Martin,9/10,131,126,5,4306,880,184,0,1849
Mason,9/10,121,120,1,3567,1322,126,0,1710
Matagorda,6/5S,286,285,1,28353,6359,1540,369,14206
Maverick,8,560,559,1,42357,7656,3716,1198,21160
McCulloch,9/10,43,43,0,6675,2024,303,122,3045
McLennan,7,3864,3858,6,198642,37827,14401,3591,84638
McMullen,11,5,5,0,640,256,13,0,288
Medina,8,781,780,1,42991,9239,1165,811,19399
Menard,9/10,50,50,0,1759,687,15,40,887
Midland,9/10,1883,1583,300,132357,17262,7414,1391,54263
Milam,7,218,218,0,19805,5508,693,254,10021
Mills,7,159,159,0,3970,1369,186,152,1970
Mitchell,2/3,240,240,0,7087,1476,310,96,3086
Montague,2/3,204,200,4,15803,4504,678,383,7509
Montgomery,6/5S,6296,6086,210,470846,84212,25684,3769,177437
Moore,1,460,457,3,15513,2464,477,176,7114
Morris,4/5N,196,196,0,9938,2901,146,179,4953
Motley,1,19,19,0,1016,403,20,50,504
Nacogdoches,4/5N,1629,1625,4,52561,10458,3380,851,24062
Navarro,2/3,616,613,3,40888,9624,2099,869,19328
Newton,4/5N,101,101,0,11070,2715,101,113,6051
Nolan,2/3,230,230,0,10998,2627,692,251,5398
Nueces,11,9406,9270,136,282299,51768,30463,4100,135074
Ochiltree,1,203,203,0,7508,1186,218,114,3211
Oldham,1,79,77,2,1714,417,20,0,743
Orange,6/5S,307,307,0,65680,14828,2217,554,32089
Palo Pinto,2/3,230,228,2,23268,5869,1093,283,11269
Panola,4/5N,121,121,0,19325,4774,784,377,9112
Parker,2/3,2097,2014,83,112329,24963,4236,1301,47252
Parmer,1,205,202,3,7111,1387,171,174,3503
Pecos,9/10,506,505,1,11723,2090,458,120,5876
Polk,4/5N,394,391,3,41511,10157,1578,574,20999
Potter,1,6904,6715,189,89806,16187,12650,1877,41999
Presidio,9/10,43,43,0,5092,1503,38,0,3005
Rains,4/5N,165,160,5,10262,3084,221,68,4960
Randall,1,10587,10257,330,109144,21784,4683,869,41519
Reagan,9/10,39,38,1,2900,544,62,42,1287
Real,8,25,25,0,2882,1135,27,86,1608
Red River,4/5N,116,116,0,9511,2902,490,252,5235
Reeves,9/10,156,155,1,13004,2131,308,89,5885
Refugio,11,331,331,0,5497,1635,242,64,2785
Roberts,1,21,21,0,673,210,20,0,323
Robertson,7,150,150,0,14216,3542,273,252,6514
Rockwall,2/3,1567,1530,37,81869,14227,4867,1327,30252
Runnels,2/3,401,397,4,7992,2310,499,312,3905
Rusk,4/5N,338,338,0,44061,9463,1914,749,21319
Sabine,4/5N,111,111,0,9116,3288,790,186,4721
San Augustine,4/5N,75,75,0,6982,2335,413,337,3730
San Jacinto,4/5N,194,192,2,23713,6477,230,190,12311
San Patricio,11,823,804,19,51382,10700,1409,396,22807
San Saba,7,17,17,0,5108,1536,95,72,2501
Schleicher,9/10,75,74,1,2184,564,71,34,1028
Scurry,2/3,172,172,0,12956,2503,560,128,6242
Shackelford,2/3,30,30,0,2694,694,122,0,1223
Shelby,4/5N,244,244,0,18618,4285,754,369,9951
Sherman,1,25,24,1,2368,524,34,42,1047
Smith,4/5N,5487,5450,37,181426,38833,24195,2911,75818
Somervell,2/3,124,116,8,7769,2079,263,220,3417
Starr,11,1289,1289,0,46042,7973,5154,1966,23826
Stephens,2/3,33,33,0,7614,1989,282,92,3830
Sterling,9/10,31,31,0,1019,306,9,44,445
Stonewall,2/3,47,47,0,1136,425,66,80,533
Sutton,9/10,34,34,0,2909,758,102,0,1326
Swisher,1,213,212,1,5843,1484,146,61,2985
Tarrant,2/3,29679,28941,738,1596169,246738,117603,18366,660059
Taylor,2/3,4158,4150,8,108531,20790,13362,2443,43683
Terrell,9/10,25,25,0,652,245,13,0,356
Terry,1,481,479,2,9564,1942,478,178,4766
Throckmorton,2/3,47,47,0,1187,400,68,0,605
Titus,4/5N,509,508,1,25312,5155,2112,633,11794
Tom Green,9/10,3160,2960,200,93428,18529,7802,1606,39665
Travis,7,25558,25215,343,1016090,126607,72623,8271,337286
Trinity,4/5N,153,153,0,12118,3960,400,241,6368
Tyler,4/5N,309,309,0,18704,5080,627,238,9278
Upshur,4/5N,374,371,3,33211,7910,852,567,15425
Upton,9/10,146,146,0,2790,680,189,30,1304
Uvalde,8,645,645,0,20809,4433,1687,459,10179
Val Verde,8,696,696,0,38039,7591,3134,490,17165
Van Zandt,4/5N,683,662,21,45144,12228,1691,711,21537
Victoria,8,2249,2207,42,72004,14413,6748,1008,33178
Walker,6/5S,712,708,4,64302,10281,2415,400,28400
Waller,6/5S,366,359,7,44163,7506,1476,466,18373
Ward,9/10,165,164,1,8544,1608,180,92,4073
Washington,7,470,470,0,28737,7674,2867,1018,13829
Webb,11,5363,5359,4,205887,27759,14457,1766,96319
Wharton,6/5S,322,320,2,31964,7399,1057,615,16049
Wheeler,1,89,89,0,4018,1136,230,114,1950
Wichita,2/3,3378,3132,246,106550,21428,10503,2088,50159
Wilbarger,2/3,764,760,4,9933,2483,540,304,5328
Willacy,11,214,214,0,16823,3062,269,557,9035
Williamson,7,11211,11162,49,457170,74290,20968,4643,160153
Wilson,8,1288,1279,9,42030,9149,1516,615,16633
Winkler,9/10,20,20,0,5798,967,135,0,2663
Wise,2/3,2169,2153,16,55570,11830,4112,552,26139
Wood,4/5N,543,537,6,37205,12511,1107,790,18613
Yoakum,1,231,230,1,6336,1174,251,60,2690
Young,2/3,446,446,0,15028,4183,1057,431,6955
Zapata,11,101,100,1,10088,1870,270,143,5427
Zavala,8,141,141,0,8768,1675,58,60,4807
NULL,Null,38444,36897,1547,0,0,0,0,0
