County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Parmer,1,167,166,1,7111,1387,171,174
Pecos,9/10,487,487,0,11723,2090,458,120
Polk,4/5N,357,355,2,41511,10157,1578,574
Potter,1,5927,5869,58,89806,16187,12650,1877
Presidio,9/10,42,42,0,5092,1503,38,0
Rains,4/5N,144,141,3,10262,3084,221,68
Randall,1,9185,9081,104,109144,21784,4683,869
Reagan,9/10,22,22,0,2900,544,62,42
Real,8,22,22,0,2882,1135,27,86
Red River,4/5N,120,120,0,9511,2902,490,252
Reeves,9/10,109,109,0,13004,2131,308,89
Refugio,11,315,315,0,5497,1635,242,64
Roberts,1,20,20,0,673,210,20,0
Robertson,7,127,127,0,14216,3542,273,252
Rockwall,2/3,1434,1417,17,81869,14227,4867,1327
Runnels,2/3,375,375,0,7992,2310,499,312
Rusk,4/5N,303,303,0,44061,9463,1914,749
Sabine,4/5N,89,89,0,9116,3288,790,186
San Augustine,4/5N,67,67,0,6982,2335,413,337
San Jacinto,4/5N,172,172,0,23713,6477,230,190
San Patricio,11,731,712,19,51382,10700,1409,396
San Saba,7,16,16,0,5108,1536,95,72
Schleicher,9/10,61,61,0,2184,564,71,34
Scurry,2/3,86,86,0,12956,2503,560,128
Shackelford,2/3,29,29,0,2694,694,122,0
Shelby,4/5N,223,223,0,18618,4285,754,369
Sherman,1,23,22,1,2368,524,34,42
Smith,4/5N,5176,5172,4,181426,38833,24195,2911
Somervell,2/3,116,108,8,7769,2079,263,220
Starr,11,1191,1191,0,46042,7973,5154,1966
Stephens,2/3,29,29,0,7614,1989,282,92
Sterling,9/10,31,31,0,1019,306,9,44
Stonewall,2/3,35,35,0,1136,425,66,80
Sutton,9/10,32,32,0,2909,758,102,0
Swisher,1,195,194,1,5843,1484,146,61
Tarrant,2/3,26756,26449,307,1596169,246738,117603,18366
Taylor,2/3,4072,4069,3,108531,20790,13362,2443
Terrell,9/10,23,23,0,652,245,13,0
Terry,1,469,467,2,9564,1942,478,178
Throckmorton,2/3,36,36,0,1187,400,68,0
Titus,4/5N,498,497,1,25312,5155,2112,633
Tom Green,9/10,2895,2893,2,93428,18529,7802,1606
Travis,7,24018,23966,52,1016090,126607,72623,8271
Trinity,4/5N,122,122,0,12118,3960,400,241
Tyler,4/5N,221,221,0,18704,5080,627,238
Upshur,4/5N,343,343,0,33211,7910,852,567
Upton,9/10,145,145,0,2790,680,189,30
Uvalde,8,498,498,0,20809,4433,1687,459
Val Verde,8,520,520,0,38039,7591,3134,490
Van Zandt,4/5N,598,588,10,45144,12228,1691,711
Victoria,8,2131,2129,2,72004,14413,6748,1008
Walker,6/5S,598,595,3,64302,10281,2415,400
Waller,6/5S,300,296,4,44163,7506,1476,466
Ward,9/10,138,138,0,8544,1608,180,92
Washington,7,365,365,0,28737,7674,2867,1018
Webb,11,4946,4942,4,205887,27759,14457,1766
Wharton,6/5S,276,274,2,31964,7399,1057,615
Wheeler,1,72,72,0,4018,1136,230,114
Wichita,2/3,2947,2907,40,106550,21428,10503,2088
Wilbarger,2/3,676,676,0,9933,2483,540,304
Willacy,11,194,194,0,16823,3062,269,557
Williamson,7,10644,10622,22,457170,74290,20968,4643
Wilson,8,1170,1161,9,42030,9149,1516,615
Winkler,9/10,20,20,0,5798,967,135,0
Wise,2/3,1817,1806,11,55570,11830,4112,552
Wood,4/5N,493,490,3,37205,12511,1107,790
Yoakum,1,217,216,1,6336,1174,251,60
Young,2/3,438,438,0,15028,4183,1057,431
Zapata,11,95,95,0,10088,1870,270,143
Zavala,8,117,117,0,8768,1675,58,60
NULL,,34427,33674,753,,,,
