County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Fort Bend,6/5S,12650,8558,8558,0,626861,97435,33263,4965
Franklin,4/5N,200,112,112,0,8327,2189,181,163
Freestone,7,500,50,50,0,16551,4068,718,261
Frio,8,800,326,326,0,15133,2573,226,270
Gaines,9/10,400,172,172,0,14875,2237,348,95
Galveston,6/5S,12925,6136,6136,0,267032,50119,15388,2824
Garza,1,0,22,22,0,5021,727,52,75
Gillespie,8,900,503,503,0,22728,8108,1453,706
Glasscock,9/10,0,4,4,0,1108,296,28,0
Goliad,8,0,86,86,0,6615,2077,59,135
Gonzales,8,400,184,184,0,15931,3700,626,256
Gray,1,200,148,148,0,17050,3428,927,315
Grayson,2/3,7650,1546,1546,0,107568,25224,10711,1989
Gregg,4/5N,5225,1683,1683,0,97771,19676,10046,2328
Grimes,7,300,199,199,0,23692,5592,422,311
Guadalupe,8,2200,1854,1854,0,130156,24014,5123,1292
Hale,1,1400,443,443,0,25066,4629,1308,399
Hall,1,0,35,35,0,2399,745,42,72
Hamilton,7,400,180,180,0,6957,2150,503,296
Hansford,1,200,141,141,0,3992,874,163,84
Hardeman,2/3,100,128,128,0,3017,769,118,16
Hardin,6/5S,1600,439,439,0,47640,10521,1237,527
Harris,6/5S,192600,53880,53880,0,3573784,490810,281834,27084
Harrison,4/5N,1200,371,371,0,53015,11647,3586,608
Hartley,1,200,16,16,0,4850,899,203,94
Haskell,2/3,0,49,49,0,4635,1242,136,68
Hays,7,4075,2790,2790,0,183387,29281,7680,1557
Hemphill,1,400,139,139,0,2788,547,113,98
Henderson,4/5N,1400,523,523,0,67614,18942,2628,932
Hidalgo,11,28025,7699,7699,0,649795,102347,62827,16918
Hill,7,200,288,288,0,29221,8003,1219,523
Hockley,1,200,347,347,0,17482,3513,795,263
Hood,2/3,1100,568,568,0,50235,15761,2493,862
Hopkins,4/5N,600,265,265,0,29578,7446,1680,620
Houston,4/5N,700,234,234,0,19208,5038,1114,426
Howard,9/10,800,299,299,0,28821,4493,1826,454
Hudspeth,9/10,0,32,32,0,2968,818,35,0
Hunt,2/3,3325,1201,1201,0,77702,16832,4485,947
Hutchinson,1,300,195,195,0,15984,3458,545,246
Irion,9/10,0,12,12,0,1345,412,19,0
Jack,2/3,0,58,58,0,7488,1604,226,149
Jackson,8,600,125,125,0,11172,2670,422,237
Jasper,4/5N,800,143,143,0,28248,7271,1952,374
Jeff Davis,9/10,0,11,11,0,2146,846,29,0
Jefferson,6/5S,8350,1243,1243,0,198728,36802,16838,2497
Jim Hogg,11,0,53,53,0,3764,898,35,60
Jim Wells,11,400,448,448,0,29988,6423,4090,1033
Johnson,2/3,1100,1695,1695,0,135188,26669,5142,1260
Jones,2/3,0,156,156,0,16827,3127,400,340
Karnes,8,200,65,65,0,12523,2489,396,244
Kaufman,2/3,1775,1317,1317,0,104736,19164,4062,1176
Kendall,8,1100,830,830,0,38074,9979,2094,801
Kenedy,11,0,1,1,0,315,94,1,0
Kent,2/3,0,3,3,0,633,235,14,60
Kerr,8,1300,648,648,0,43611,14400,3557,1022
Kimble,9/10,100,63,63,0,3844,1379,104,0
King,1,0,4,4,0,233,60,5,0
Kinney,8,0,4,4,0,2931,889,19,0
Kleberg,11,400,251,251,0,25862,4574,1835,341
Knox,2/3,100,65,65,0,2861,823,117,127
La Salle,8,0,34,34,0,6105,1224,37,60
Lamar,4/5N,1800,978,978,0,40212,10314,3737,745
Lamb,1,200,153,153,0,9647,2400,541,226
Lampasas,7,0,139,139,0,17275,4497,436,284
Lavaca,8,900,380,380,0,16041,4537,881,620
Lee,7,300,149,149,0,13837,3373,363,226
Leon,7,200,137,137,0,14066,4292,256,74
Liberty,6/5S,500,259,259,0,70912,13765,2505,614
Limestone,7,200,97,97,0,19033,4691,2488,1060
Lipscomb,1,0,40,40,0,2496,636,31,61
Live Oak,11,0,41,41,0,9966,2656,55,100
Llano,7,0,171,171,0,18642,7523,340,358
Loving,9/10,0,0,0,0,83,34,1,0
Lubbock,1,25500,7947,7947,0,243899,41235,24699,4151
Lynn,1,0,74,74,0,4820,1113,212,40
Madison,7,200,108,108,0,11353,2256,314,258
Marion,4/5N,0,48,48,0,8117,2491,372,158
Martin,9/10,300,47,47,0,4306,880,184,0
Mason,9/10,100,106,106,0,3567,1322,126,0
Matagorda,6/5S,1100,105,105,0,28353,6359,1540,369
Maverick,8,600,537,537,0,42357,7656,3716,1198
McCulloch,9/10,100,16,16,0,6675,2024,303,122
McLennan,7,4550,2739,2739,0,198642,37827,14401,3591
McMullen,11,0,3,3,0,640,256,13,0
Medina,8,200,491,491,0,42991,9239,1165,811
Menard,9/10,0,49,49,0,1759,687,15,40
Midland,9/10,2650,875,875,0,132357,17262,7414,1391
Milam,7,300,125,125,0,19805,5508,693,254
Mills,7,100,103,103,0,3970,1369,186,152
Mitchell,2/3,300,160,160,0,7087,1476,310,96
Montague,2/3,200,130,130,0,15803,4504,678,383
Montgomery,6/5S,18500,3091,3091,0,470846,84212,25684,3769
Moore,1,200,254,254,0,15513,2464,477,176
Morris,4/5N,200,150,150,0,9938,2901,146,179
Motley,1,0,12,12,0,1016,403,20,50
Nacogdoches,4/5N,2400,912,912,0,52561,10458,3380,851
Navarro,2/3,300,385,385,0,40888,9624,2099,869
Newton,4/5N,200,37,37,0,11070,2715,101,113
Nolan,2/3,200,155,155,0,10998,2627,692,251
Nueces,11,16500,6595,6595,0,282299,51768,30463,4100
Ochiltree,1,200,145,145,0,7508,1186,218,114
Oldham,1,0,40,40,0,1714,417,20,0
Orange,6/5S,400,239,239,0,65680,14828,2217,554
Palo Pinto,2/3,0,135,135,0,23268,5869,1093,283
Panola,4/5N,500,84,84,0,19325,4774,784,377
Parker,2/3,2100,1101,1101,0,112329,24963,4236,1301
Parmer,1,200,116,116,0,7111,1387,171,174
Pecos,9/10,600,456,456,0,11723,2090,458,120
Polk,4/5N,1200,212,212,0,41511,10157,1578,574
Potter,1,11925,3868,3868,0,89806,16187,12650,1877
Presidio,9/10,0,27,27,0,5092,1503,38,0
Rains,4/5N,100,100,100,0,10262,3084,221,68
Randall,1,2100,6177,6177,0,109144,21784,4683,869
Reagan,9/10,0,14,14,0,2900,544,62,42
Real,8,0,18,18,0,2882,1135,27,86
Red River,4/5N,0,108,108,0,9511,2902,490,252
Reeves,9/10,200,106,106,0,13004,2131,308,89
Refugio,11,300,313,313,0,5497,1635,242,64
Roberts,1,0,13,13,0,673,210,20,0
Robertson,7,200,79,79,0,14216,3542,273,252
Rockwall,2/3,600,1079,1079,0,81869,14227,4867,1327
Runnels,2/3,400,220,220,0,7992,2310,499,312
Rusk,4/5N,400,266,266,0,44061,9463,1914,749
Sabine,4/5N,600,55,55,0,9116,3288,790,186
San Augustine,4/5N,300,33,33,0,6982,2335,413,337
San Jacinto,4/5N,300,113,113,0,23713,6477,230,190
San Patricio,11,400,595,595,0,51382,10700,1409,396
San Saba,7,0,15,15,0,5108,1536,95,72
Schleicher,9/10,0,44,44,0,2184,564,71,34
Scurry,2/3,400,63,63,0,12956,2503,560,128
Shackelford,2/3,0,27,27,0,2694,694,122,0
Shelby,4/5N,700,79,79,0,18618,4285,754,369
Sherman,1,0,13,13,0,2368,524,34,42
Smith,4/5N,12525,4200,4200,0,181426,38833,24195,2911
Somervell,2/3,0,87,87,0,7769,2079,263,220
Starr,11,1200,1050,1050,0,46042,7973,5154,1966
Stephens,2/3,0,29,29,0,7614,1989,282,92
Sterling,9/10,0,6,6,0,1019,306,9,44
Stonewall,2/3,100,21,21,0,1136,425,66,80
Sutton,9/10,0,29,29,0,2909,758,102,0
Swisher,1,0,141,141,0,5843,1484,146,61
Tarrant,2/3,89325,19292,19292,0,1596169,246738,117603,18366
Taylor,2/3,4825,3961,3961,0,108531,20790,13362,2443
Terrell,9/10,0,21,21,0,652,245,13,0
Terry,1,500,373,373,0,9564,1942,478,178
Throckmorton,2/3,0,3,3,0,1187,400,68,0
Titus,4/5N,900,360,360,0,25312,5155,2112,633
Tom Green,9/10,6025,2757,2757,0,93428,18529,7802,1606
Travis,7,49750,16932,16932,0,1016090,126607,72623,8271
Trinity,4/5N,400,63,63,0,12118,3960,400,241
Tyler,4/5N,0,98,98,0,18704,5080,627,238
Upshur,4/5N,0,306,306,0,33211,7910,852,567
Upton,9/10,100,124,124,0,2790,680,189,30
Uvalde,8,1100,484,484,0,20809,4433,1687,459
Val Verde,8,1200,447,447,0,38039,7591,3134,490
Van Zandt,4/5N,900,479,479,0,45144,12228,1691,711
Victoria,8,2375,1765,1765,0,72004,14413,6748,1008
Walker,6/5S,1400,386,386,0,64302,10281,2415,400
Waller,6/5S,800,175,175,0,44163,7506,1476,466
Ward,9/10,100,102,102,0,8544,1608,180,92
Washington,7,800,237,237,0,28737,7674,2867,1018
Webb,11,13000,3396,3396,0,205887,27759,14457,1766
Wharton,6/5S,400,209,209,0,31964,7399,1057,615
Wheeler,1,100,46,46,0,4018,1136,230,114
Wichita,2/3,6125,2446,2446,0,106550,21428,10503,2088
Wilbarger,2/3,700,587,587,0,9933,2483,540,304
Willacy,11,0,156,156,0,16823,3062,269,557
Williamson,7,11325,7492,7492,0,457170,74290,20968,4643
Wilson,8,1900,965,965,0,42030,9149,1516,615
Winkler,9/10,0,16,16,0,5798,967,135,0
Wise,2/3,1175,1051,1051,0,55570,11830,4112,552
Wood,4/5N,900,400,400,0,37205,12511,1107,790
Yoakum,1,0,169,169,0,6336,1174,251,60
Young,2/3,700,359,359,0,15028,4183,1057,431
Zapata,11,100,80,80,0,10088,1870,270,143
Zavala,8,0,109,109,0,8768,1675,58,60
NULL,,0,30316,30316,0,,,,
