County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Houston,4/5N,6800,17295,9745,8340,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,
Howard,9/10,7900,21992,12768,10877,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,
Hudspeth,9/10,2000,5528,3208,2868,4139,3979,775,33,0,1778,145,,,,,,,,,,,,
Hunt,2/3,39410,73211,40750,34761,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,
Hutchinson,1,4900,13078,7204,6167,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,
Irion,9/10,0,1191,641,564,1292,1234,328,15,0,429,0,,,,,,,,,,,,
Jack,2/3,3900,6032,3390,2916,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,
Jackson,8,11060,11797,6466,5589,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,
Jasper,4/5N,15270,23280,13098,11186,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,
Jeff Davis,9/10,1400,2283,1219,1081,2246,2180,812,28,0,685,0,,,,,,,,,,,,
Jefferson,6/5S,241300,227819,123352,103988,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,
Jim Hogg,11,1400,5934,3260,2579,4107,3791,890,14,60,1572,0,,,,,,,,,,,,
Jim Wells,11,35525,43993,23650,19819,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,
Johnson,2/3,105100,143424,78726,67878,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,
Jones,2/3,3300,14648,8925,7518,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,
Karnes,8,14520,14304,8077,7213,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,
Kaufman,2/3,65950,124633,69099,58656,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,
Kendall,8,19400,53534,29218,25792,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,
Kenedy,11,0,461,235,206,333,321,68,1,0,139,0,,,,,,,,,,,,
Kent,2/3,0,524,298,255,646,615,201,13,60,198,0,,,,,,,,,,,,
Kerr,8,20100,46361,25746,22432,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,
Kimble,9/10,2900,3475,1949,1648,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,
King,1,0,86,53,40,215,205,51,7,0,69,0,,,,,,,,,,,,
Kinney,8,2400,3007,1707,1365,3211,3050,910,11,0,1171,0,,,,,,,,,,,,
Kleberg,11,59725,37692,19589,16866,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,
Knox,2/3,2300,2499,1391,1233,3024,2808,736,95,127,976,182,,,,,,,,,,,,
La Salle,8,24535,8466,4859,4207,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,
Lamar,4/5N,28200,35549,19130,16510,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,
Lamb,1,2400,9599,5406,4635,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,
Lampasas,7,5000,16719,9582,8131,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,
Lavaca,8,8700,15585,8839,7893,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,
Lee,7,5900,14448,8122,6981,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,
Leon,7,3800,11678,6935,5749,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,
Liberty,6/5S,42565,68466,38495,32088,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,
Limestone,7,8100,15645,9167,7731,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,
Lipscomb,1,1300,1744,954,864,2698,2520,617,24,61,919,190,,,,,,,,,,,,
Live Oak,11,3400,7540,4129,3512,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,
Llano,7,6800,20306,11342,9953,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,
Loving,9/10,0,70,40,31,130,129,23,0,0,50,0,,,,,,,,,,,,
Lubbock,1,239890,270024,148829,128691,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,
Lynn,1,1800,4271,2354,2028,4851,4496,974,191,40,1838,328,,,,,,,,,,,,
Madison,7,4100,10402,5992,4990,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,
Marion,4/5N,1300,7115,4020,3510,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,
Martin,9/10,2400,3329,1926,1508,4473,4136,659,165,0,1624,0,,,,,,,,,,,,
Mason,9/10,2000,3825,2063,1855,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,
Matagorda,6/5S,16950,31557,17673,14706,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,
Maverick,8,46700,81988,50445,36835,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,
McCulloch,9/10,4400,5457,3076,2599,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,
McLennan,7,153530,226239,128564,108476,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,
McMullen,11,1200,591,333,299,640,616,189,10,0,202,0,,,,,,,,,,,,
Medina,8,18100,49435,27458,24349,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,
Menard,9/10,1400,1918,1073,964,1888,1790,699,9,40,550,0,,,,,,,,,,,,
Midland,9/10,135835,140456,76378,64684,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,
Milam,7,11200,20391,11150,9646,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,
Mills,7,2600,3697,2061,1750,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,
Mitchell,2/3,4000,5436,3065,2699,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,
Montague,2/3,4950,12720,7223,6067,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,
Montgomery,6/5S,404890,608506,336822,286893,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,
Moore,1,7240,16923,9655,7499,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,
Morris,4/5N,2100,9367,5373,4521,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,
Motley,1,0,682,420,277,1051,994,368,22,50,319,0,,,,,,,,,,,,
Nacogdoches,4/5N,33100,50931,29726,24481,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,
Navarro,2/3,33100,42056,23252,19668,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,
Newton,4/5N,2900,6110,3404,2896,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,
Nolan,2/3,9000,10565,6307,5538,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,
Nueces,11,289725,383326,207887,177660,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,
Ochiltree,1,4700,6718,3741,3207,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,
Oldham,1,1600,1348,746,628,1894,1728,316,18,0,654,227,,,,,,,,,,,,
Orange,6/5S,5300,55381,30737,25705,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,
Palo Pinto,2/3,6500,19986,11019,9539,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,
Panola,4/5N,3900,14315,8240,6963,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,
Parker,2/3,73730,116138,63498,55950,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,
Parmer,1,2600,6711,3778,3277,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,
Pecos,9/10,6700,16705,9436,7989,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,
Polk,4/5N,10200,39142,21828,18673,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,
Potter,1,194195,93186,52101,42677,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,
Presidio,9/10,5300,11276,6204,5255,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,
Rains,4/5N,2000,8134,4498,3865,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,
Randall,1,16170,112328,61726,53046,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,
Reagan,9/10,1400,2741,1591,1360,3078,2841,427,52,42,1173,0,,,,,,,,,,,,
Real,8,2000,3092,1681,1470,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,
Red River,4/5N,3500,8460,4802,4100,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,
Reeves,9/10,31075,18438,12240,6317,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,
Refugio,11,2900,6994,3747,3339,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,
Roberts,1,0,471,257,231,730,672,193,16,0,227,0,,,,,,,,,,,,
Robertson,7,4200,13221,7666,6470,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,
Rockwall,2/3,59095,110624,61373,51876,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,
Runnels,2/3,7600,8102,4515,3994,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,
Rusk,4/5N,11670,36949,21041,17893,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,
Sabine,4/5N,3900,6939,3900,3350,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,
San Augustine,4/5N,3700,6518,3631,3038,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,
San Jacinto,4/5N,4500,17389,9824,8410,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,
San Patricio,11,20170,69307,38507,32289,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,
San Saba,7,2100,3945,2227,1873,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,
Schleicher,9/10,1800,2363,1281,1149,2399,2218,559,65,34,793,0,,,,,,,,,,,,
Scurry,2/3,7395,13921,8132,6627,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,
Shackelford,2/3,1700,2156,1181,1021,2804,2612,691,52,0,937,119,,,,,,,,,,,,
Shelby,4/5N,10050,16147,9482,7474,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,
Sherman,1,1800,1839,1093,822,2478,2294,462,24,42,868,0,,,,,,,,,,,,
Smith,4/5N,209370,195717,106401,91707,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,
Somervell,2/3,5100,6895,3882,3369,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,
Starr,11,43780,86362,48736,43123,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,
Stephens,2/3,3400,5643,3315,2888,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,
Sterling,9/10,700,928,503,418,1042,975,186,10,44,375,0,,,,,,,,,,,,
Stonewall,2/3,1700,1006,569,494,1164,1095,361,63,53,369,0,,,,,,,,,,,,
Sutton,9/10,2400,3063,1655,1440,3139,2992,723,91,0,1051,0,,,,,,,,,,,,
Swisher,1,2600,4688,2861,2499,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,
Tarrant,2/3,1449310,2136880,1155639,1012776,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,
Taylor,2/3,94735,112866,62452,53561,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,
Terrell,9/10,0,770,434,354,678,639,255,10,0,207,0,,,,,,,,,,,,
Terry,1,8590,9179,5282,4513,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,
Throckmorton,2/3,2100,1183,649,552,1314,1247,445,64,0,399,0,,,,,,,,,,,,
Titus,4/5N,25200,23911,13647,10883,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,
Tom Green,9/10,95140,102107,54785,48241,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,
Travis,7,2165090,1617334,882120,772266,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,
Trinity,4/5N,5050,11043,6262,5288,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,
Tyler,4/5N,9300,14387,7881,6836,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,
Upshur,4/5N,5300,25262,14178,12006,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,
Upton,9/10,3200,2902,1526,1287,2953,2730,537,170,30,1105,0,,,,,,,,,,,,
Uvalde,8,31145,25707,14322,12130,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,
Val Verde,8,43030,57220,33406,26611,39580,36546,7003,2610,490,14417,104,,,,,,,,,,,,
Van Zandt,4/5N,13100,37061,20813,17891,48037,45216,11495,1280,711,16861,1783,,,,,,,,,,,,
Victoria,8,60590,84000,45124,39682,76348,71388,15242,5624,1030,27119,241,,,,,,,,,,,,
Walker,6/5S,36770,63470,35598,30275,66420,63471,10049,1526,400,24628,1438,,,,,,,,,,,,
Waller,6/5S,15640,42480,23712,20149,46544,43350,6546,1182,466,16819,1813,,,,,,,,,,,,
Ward,9/10,4940,8141,4582,3907,9651,8921,1629,137,92,3551,0,,,,,,,,,,,,
Washington,7,63100,33988,18494,16134,30940,29086,7889,2581,1018,10662,72,,,,,,,,,,,,
Webb,11,206550,405854,229644,190909,215919,196916,26921,12073,1646,88397,11668,,,,,,,,,,,,
Wharton,6/5S,18490,37187,21143,17730,34591,32110,7239,1438,615,12933,1328,,,,,,,,,,,,
Wheeler,1,3000,3467,1998,1732,4211,3915,1002,200,114,1459,243,,,,,,,,,,,,
Wichita,2/3,76520,105149,58177,51260,111604,105631,19854,8664,2030,42031,3508,,,,,,,,,,,,
Wilbarger,2/3,10600,11194,6378,5664,10971,10361,2421,457,304,4240,27,,,,,,,,,,,,
Willacy,11,8300,24706,13847,11793,18065,16897,3057,325,557,7612,775,,,,,,,,,,,,
Williamson,7,449190,710970,387281,341904,493204,458433,73202,14404,4639,146388,19090,,,,,,,,,,,,
Wilson,8,23300,45823,25550,22471,43258,40488,8411,1224,615,13986,1510,,,,,,,,,,,,
Winkler,9/10,2000,5318,3038,2581,6466,5954,964,102,0,2445,0,,,,,,,,,,,,
Wise,2/3,29680,47833,26595,23316,58448,54722,10598,3589,552,22459,1533,,,,,,,,,,,,
Wood,4/5N,6700,34679,19462,17085,39990,38005,12527,1046,880,13019,1130,,,,,,,,,,,,
Yoakum,1,3400,6025,3564,2978,6743,6135,1033,225,60,2367,0,,,,,,,,,,,,
Young,2/3,8500,12801,7347,6306,15127,14219,3774,862,431,5296,626,,,,,,,,,,,,
Zapata,11,8400,15872,8873,7670,10966,9981,1866,195,202,4642,0,,,,,,,,,,,,
Zavala,8,2200,11324,6106,5294,9644,8840,1723,25,60,4035,458,,,,,,,,,,,,
Other, ,,533558,358224,246249,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
