County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Ellis,2/3,11300,9668,7478,2190,140959,26556,3985,1994,53083
Erath,2/3,1800,1997,1645,352,34043,6437,1250,481,12119
Falls,7,3625,1259,1145,114,13589,3260,328,187,5412
Fannin,2/3,6325,3198,2452,746,28488,7569,962,614,10313
Fayette,7,1400,1309,1158,151,21033,6884,998,647,6820
Fisher,2/3,400,291,278,13,3226,1064,101,28,1079
Floyd,1,600,483,443,40,4468,1287,132,68,1660
Foard,2/3,300,200,182,18,1016,352,7,80,341
Fort Bend,6/5S,84475,68531,55397,13134,681745,114245,24721,4977,190680
Franklin,4/5N,900,601,488,113,8474,2221,169,163,2901
Freestone,7,1200,748,686,62,15926,4038,553,261,6360
Frio,8,3475,1994,1661,333,16062,2760,186,166,6638
Gaines,9/10,1200,932,714,218,16010,2446,323,95,6606
Galveston,6/5S,45700,37868,29452,8416,284584,55792,11784,2830,101126
Garza,1,400,186,163,23,5585,812,33,75,2277
Gillespie,8,5500,2819,2354,465,21871,7882,1175,706,6715
Glasscock,9/10,0,95,90,5,1120,311,23,0,388
Goliad,8,100,722,630,92,6430,2076,39,135,2234
Gonzales,8,1600,1194,1001,193,16466,3941,550,256,6438
Gray,1,1400,1464,1323,141,19064,3822,689,315,7941
Grayson,2/3,22500,10681,8092,2589,105377,25679,9338,2131,38813
Gregg,4/5N,20375,7567,5697,1870,97920,20416,7025,2324,38054
Grimes,7,1400,1209,1002,207,23414,5855,234,311,9359
Guadalupe,8,14650,8003,5675,2328,136431,26026,3801,1225,50897
Hale,1,2900,2373,1942,431,24936,4790,873,399,10194
Hall,1,0,338,299,39,2606,834,27,72,1022
Hamilton,7,1600,2115,1646,469,6553,2009,481,296,2354
Hansford,1,600,687,502,185,4417,1003,139,84,1738
Hardeman,2/3,1000,641,516,125,3008,791,102,16,1115
Hardin,6/5S,5400,3167,2804,363,45896,10632,1003,527,16151
Harris,6/5S,666700,374236,297094,77142,3866923,553323,225769,27623,1511002
Harrison,4/5N,3800,2667,2197,470,52923,12077,3063,608,20791
Hartley,1,1475,351,334,17,5042,947,196,94,1847
Haskell,2/3,500,516,457,59,5119,1387,123,68,1959
Hays,7,21575,16478,12931,3547,196828,33403,5488,1907,63899
Hemphill,1,1300,547,415,132,3429,657,104,98,1331
Henderson,4/5N,4100,4024,3253,771,66406,19050,2043,998,25809
Hidalgo,11,123725,60488,47338,13150,650228,105784,54962,17074,298355
Hill,7,1900,2227,1880,347,28116,7909,862,523,10690
Hockley,1,1200,1520,1199,321,18921,3934,483,263,7134
Hood,2/3,4000,2723,2115,608,48946,15808,1720,867,16072
Hopkins,4/5N,2800,2108,1784,324,29544,7770,1192,620,10909
Houston,4/5N,2000,1529,1283,246,18491,4958,634,538,7281
Howard,9/10,2900,1600,1187,413,33215,5245,1456,454,13733
Hudspeth,9/10,100,200,173,27,2771,816,33,0,1085
Hunt,2/3,7150,6681,4509,2172,76397,17197,4112,947,29659
Hutchinson,1,800,1416,1219,197,16691,3716,504,246,6241
Irion,9/10,0,93,79,14,1280,406,15,0,414
Jack,2/3,1100,465,395,70,7087,1558,198,149,2643
Jackson,8,2775,1441,1135,306,12317,3017,380,237,4492
Jasper,4/5N,7100,2337,2236,101,28138,7424,1597,374,11600
Jeff Davis,9/10,200,209,197,12,1854,757,28,0,550
Jefferson,6/5S,27750,9523,8384,1139,204766,39344,13127,2431,93298
Jim Hogg,11,200,607,550,57,3724,895,14,60,1533
Jim Wells,11,4725,4352,3869,483,32000,7047,3897,985,12851
Johnson,2/3,4700,9317,7476,1841,134667,27809,3559,1471,51612
Jones,2/3,500,932,779,153,16850,3192,337,254,6897
Karnes,8,1800,1046,971,75,12394,2550,370,244,4873
Kaufman,2/3,4750,7094,5283,1811,99179,18986,2857,1189,37771
Kendall,8,2300,4069,2971,1098,38571,10233,1091,801,12525
Kenedy,11,0,101,100,1,385,124,1,0,143
Kent,2/3,0,80,76,4,664,255,13,60,196
Kerr,8,4700,3319,2395,924,43315,14517,2805,1022,13881
Kimble,9/10,500,368,302,66,3576,1316,90,0,1189
King,1,0,20,16,4,267,81,7,0,84
Kinney,8,200,275,273,2,2809,858,11,0,1067
Kleberg,11,7225,4662,4379,283,25029,4585,1401,341,9404
Knox,2/3,700,416,350,66,3076,900,95,127,1025
La Salle,8,3425,1393,1356,37,6950,1386,22,60,2582
Lamar,4/5N,4400,4296,3218,1078,39931,10627,3115,745,14799
Lamb,1,400,1331,1168,163,9751,2528,454,226,3821
Lampasas,7,800,858,745,113,17203,4698,348,284,6190
Lavaca,8,2100,1581,1276,305,16378,4631,820,612,5686
Lee,7,800,728,600,128,14026,3604,334,226,5159
Leon,7,700,664,531,133,14157,4371,155,74,4746
Liberty,6/5S,7225,3140,2716,424,67078,13667,1398,614,27507
Limestone,7,1700,1009,911,98,18913,4908,2332,1060,7409
Lipscomb,1,200,289,229,60,2873,747,24,61,1027
Live Oak,11,300,810,761,49,9816,2652,35,100,3589
Llano,7,1200,979,836,143,16584,6791,277,358,4867
Loving,9/10,0,21,21,0,79,37,0,0,20
Lubbock,1,84600,47371,37687,9684,254605,44436,20974,4093,84908
Lynn,1,400,559,462,97,4386,1038,191,40,1748
Madison,7,700,484,376,108,11642,2357,299,258,4429
Marion,4/5N,0,289,216,73,8491,2651,351,158,3200
Martin,9/10,600,414,341,73,4655,970,165,0,1721
Mason,9/10,200,372,252,120,3218,1203,104,0,1018
Matagorda,6/5S,2800,1550,1341,209,28934,6734,1113,369,11588
Maverick,8,6200,3153,2659,494,44442,8269,2970,1198,19027
McCulloch,9/10,1000,360,334,26,6974,2195,212,122,2342
McLennan,7,27950,19543,16509,3034,198197,39227,11153,3621,70106
McMullen,11,100,74,71,3,671,301,10,0,175
Medina,8,1900,3152,2493,659,40921,9080,899,536,15761
Menard,9/10,100,264,208,56,1807,731,9,40,542
Midland,9/10,22525,11619,9236,2383,144930,18663,5950,1288,55557
Milam,7,2200,1530,1407,123,19423,5617,532,297,7303
Mills,7,200,492,385,107,3922,1415,149,152,1264
Mitchell,2/3,900,415,316,99,8166,1762,265,96,3093
Montague,2/3,1375,1781,1656,125,15356,4484,560,383,5393
Montgomery,6/5S,67950,28116,22211,5905,494493,92118,20255,3836,164169
Moore,1,1300,1658,1415,243,16000,2666,448,176,6494
Morris,4/5N,500,601,442,159,9910,3028,77,179,3579
Motley,1,0,138,123,15,986,405,22,50,296
Nacogdoches,4/5N,7300,6607,5501,1106,52134,10807,2530,755,19713
Navarro,2/3,5500,3580,3101,479,37845,9298,1720,869,15158
Newton,4/5N,900,663,633,30,11330,2852,55,113,4680
Nolan,2/3,2100,1764,1586,178,12129,2951,519,251,4543
Nueces,11,57300,29960,21661,8299,301743,57203,25582,4100,120803
Ochiltree,1,1000,841,662,179,8466,1395,200,114,3338
Oldham,1,300,252,214,38,1797,467,18,0,616
Orange,6/5S,1600,2141,1917,224,68992,16237,1456,548,26958
Palo Pinto,2/3,1700,1222,1050,172,22350,5885,864,283,8364
Panola,4/5N,1500,1007,916,91,19380,4947,473,377,7404
Parker,2/3,11450,9842,8271,1571,109678,25748,2890,1301,38104
Parmer,1,800,749,648,101,6852,1400,161,174,2710
Pecos,9/10,1900,1566,1112,454,12932,2367,400,120,5240
Polk,4/5N,3700,2154,1894,260,40850,10352,1184,574,16042
Potter,1,69025,16882,13479,3403,95716,18233,10224,1770,37502
Presidio,9/10,700,688,665,23,4516,1352,27,0,1860
Rains,4/5N,200,543,426,117,9415,2857,163,68,3345
Randall,1,6000,25761,20227,5534,110179,22818,2812,869,34944
Reagan,9/10,200,231,218,13,3272,649,52,42,1275
Real,8,0,354,331,23,2778,1138,25,86,912
Red River,4/5N,500,1079,963,116,10218,3201,420,252,3768
Reeves,9/10,3725,2257,2152,105,12796,2118,281,89,5168
Refugio,11,600,1079,727,352,6038,1861,228,154,2139
Roberts,1,0,66,54,12,794,256,16,0,254
Robertson,7,800,774,614,160,13592,3465,252,252,5023
Rockwall,2/3,6275,6727,5294,1433,83981,15512,3750,1347,28209
Runnels,2/3,1500,1030,821,209,8755,2606,405,312,3038
Rusk,4/5N,1900,1913,1581,332,42667,9510,1501,759,16711
Sabine,4/5N,1300,1012,957,55,8194,3007,572,186,2848
San Augustine,4/5N,1200,507,453,54,6879,2330,415,337,2570
San Jacinto,4/5N,1600,1204,1075,129,23313,6586,132,190,9150
San Patricio,11,2100,4159,3487,672,55627,11823,975,347,20413
San Saba,7,200,106,93,13,4798,1479,33,72,1716
Schleicher,9/10,200,117,92,25,2580,684,65,34,906
Scurry,2/3,2950,1495,1447,48,14395,2797,399,128,5741
Shackelford,2/3,300,154,129,25,2713,732,52,0,967
Shelby,4/5N,1700,928,826,102,19620,4645,540,369,7907
Sherman,1,500,256,244,12,2547,600,24,42,923
Smith,4/5N,54000,24907,18580,6327,186509,41357,19690,3030,63431
Somervell,2/3,600,554,444,110,7605,2125,457,220,2674
Starr,11,5300,3888,2732,1156,47076,8375,4479,1999,21286
Stephens,2/3,800,379,348,31,7628,2031,168,92,2899
Sterling,9/10,100,74,68,6,1027,326,10,44,333
Stonewall,2/3,500,138,128,10,1256,482,63,53,389
Sutton,9/10,300,251,222,29,3494,950,91,0,1178
Swisher,1,500,685,565,120,5828,1500,114,61,2311
Tarrant,2/3,326175,133512,112310,21202,1697191,275973,86106,18386,611124
Taylor,2/3,21200,15695,11638,4057,109707,21645,11065,2465,37074
Terrell,9/10,0,219,200,19,870,342,10,0,285
Terry,1,2475,1681,1239,442,9981,2051,345,178,4243
Throckmorton,2/3,500,307,275,32,1235,419,64,0,406
Titus,4/5N,3100,1685,1217,468,24866,5311,1811,633,9836
Tom Green,9/10,19600,13077,10046,3031,99401,20091,6702,1601,34976
Travis,7,171600,99452,76329,23123,1055964,138844,51820,8264,316406
Trinity,4/5N,1775,711,637,74,11811,3976,347,241,4231
Tyler,4/5N,2000,1380,1226,154,17475,4874,476,238,6679
Upshur,4/5N,1100,1552,1206,346,33807,8366,714,567,12492
Upton,9/10,400,544,413,131,3145,797,170,30,1183
Uvalde,8,5025,3469,3037,432,21966,4682,1498,515,8988
Val Verde,8,4750,4317,3873,444,36171,7353,2610,490,14063
Van Zandt,4/5N,2600,3256,2535,721,44585,12424,1280,711,16081
Victoria,8,11475,8071,6234,1837,78170,15996,5624,1030,30030
Walker,6/5S,4600,2996,2557,439,63001,10537,1526,400,24186
Waller,6/5S,2800,1670,1413,257,41643,7343,1182,466,15675
Ward,9/10,500,756,646,110,10349,1931,137,92,4100
Washington,7,11000,2176,1864,312,28511,7822,2581,1018,10407
Webb,11,39400,20316,16075,4241,206120,29007,12073,1646,92099
Wharton,6/5S,2400,1842,1526,316,32707,7890,1438,615,12905
Wheeler,1,700,553,485,68,4507,1329,200,114,1592
Wichita,2/3,24750,15095,12260,2835,106967,22532,8664,2030,41373
Wilbarger,2/3,5400,2175,1583,592,10374,2720,457,304,4087
Willacy,11,700,1651,1462,189,17301,3242,325,557,7732
Williamson,7,55750,41661,31922,9739,476807,81282,14404,4639,150300
Wilson,8,3700,3932,2839,1093,42688,9746,1224,615,14363
Winkler,9/10,400,586,549,37,6884,1133,102,0,2818
Wise,2/3,6150,4898,3498,1400,53226,11884,3589,552,21043
Wood,4/5N,2000,2738,2285,453,37555,12788,1046,880,12656
Yoakum,1,600,766,526,240,6757,1283,225,60,2540
Young,2/3,2100,1320,1011,309,14738,4269,862,431,5308
Zapata,11,700,798,706,92,10303,1970,195,202,4766
Zavala,8,200,1142,1037,105,9244,1774,25,60,4235
*Other,N/A,9775,270455,219319,51136,,,,,
,,,,,,,,,,
