County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",
Lee,7,4500,6923,4375,2891,13993,3219,334,226,5333,494,
Leon,7,3500,6149,3995,2857,13946,4334,155,74,4662,603,
Liberty,6/5S,33845,23579,15063,9867,66868,11399,1398,614,28567,2987,
Limestone,7,6700,7024,4442,3172,18871,4670,2332,1060,7512,702,
Lipscomb,1,1300,1260,745,569,2520,617,24,61,919,190,
Live Oak,11,2900,4582,2646,2048,10055,2533,35,100,3769,300,
Llano,7,5700,10452,6551,4531,18908,8119,277,358,5362,15,
Loving,44449,0,54,31,23,129,23,0,0,50,0,
Lubbock,1,207750,162151,97149,68483,244992,39476,20974,4093,83028,9242,
Lynn,1,1700,2557,1564,1062,4496,974,191,40,1838,328,
Madison,7,3000,3865,2556,1610,11595,2264,299,258,4451,17,
Marion,4/5N,1300,3440,2049,1636,8277,2697,351,158,3058,0,
Martin,44449,2000,2265,1355,1012,4136,659,165,0,1624,0,
Mason,44449,1900,2609,1471,1219,3521,1250,104,0,1147,0,
Matagorda,6/5S,14850,14702,9783,5522,28247,6391,1113,369,11409,1164,
Maverick,8,40400,30845,22510,10457,42606,7003,2970,1198,18727,152,
McCulloch,44449,4000,3072,1856,1359,6435,1792,212,122,2275,260,
McLennan,7,124810,99443,61787,43871,200781,37728,11153,3621,71906,8718,
McMullen,11,1000,384,227,188,616,189,10,0,202,0,
Medina,8,15000,22919,14707,10071,41263,8757,899,536,16090,1720,
Menard,44449,1300,1337,797,669,1790,699,9,40,550,0,
Midland,44449,130425,78661,45985,33993,131025,18438,5950,1288,49538,4151,
Milam,7,8400,10235,6017,4505,19689,5245,532,297,7641,827,
Mills,7,2400,2415,1424,1072,4006,1416,149,152,1305,265,
Mitchell,44230,3600,2329,1455,917,6958,1259,265,96,2753,254,
Montague,44230,4350,7945,4683,3612,15872,4444,560,383,5668,702,
Montgomery,6/5S,339000,221544,139957,88595,467232,81457,20255,3836,157396,17330,
Moore,1,6740,11457,6646,5011,14986,2372,448,176,6143,27,
Morris,4/5N,1900,4190,2636,1916,9830,2730,77,179,3692,0,
Motley,1,0,530,343,197,994,368,22,50,319,0,
Nacogdoches,4/5N,27600,27980,18414,13109,51773,9953,2530,755,19948,1728,
Navarro,44230,32800,23108,14046,9513,38360,8651,1720,869,15775,1772,
Newton,4/5N,2700,3984,2238,1834,11298,2878,55,113,4648,354,
Nolan,44230,7500,6235,4063,3187,11321,2737,519,251,4249,719,
Nueces,11,225855,178296,103110,79037,284366,54069,25582,4100,113767,9771,
Ochiltree,1,4200,3810,2496,1516,7106,1148,200,114,2812,0,
Oldham,1,1500,743,433,335,1728,316,18,0,654,227,
Orange,6/5S,4300,25730,15616,10835,65087,13729,1456,548,26244,2692,
Palo Pinto,44230,4800,10458,6280,4669,23207,5893,864,283,8796,816,
Panola,4/5N,3800,6303,4135,2841,18462,4589,473,377,7117,661,
Parker,44230,61730,58569,35225,25383,111686,22331,2890,1301,40567,3773,
Parmer,1,2400,4711,2680,2272,7222,1366,161,174,2910,525,
Pecos,44449,5900,9125,5021,4313,12317,2141,400,120,5047,517,
Polk,4/5N,9100,17583,10527,7923,42276,9733,1184,574,17118,1025,
Potter,1,170495,48866,29368,20398,88673,15203,10224,1770,35559,518,
Presidio,44449,5000,7335,4234,3163,5069,1601,27,0,2039,0,
Rains,4/5N,1900,3999,2363,1735,10277,3123,163,68,3649,0,
Randall,1,15270,69257,40091,31201,108431,21424,2812,869,34803,519,
Reagan,44449,1400,1481,893,758,2841,427,52,42,1173,0,
Real,8,1700,2166,1203,989,2943,1053,25,86,1051,0,
Red River,4/5N,3300,4924,3000,2325,9965,3044,420,252,3717,477,
Reeves,44449,26235,8242,4492,3821,12781,1878,281,89,5277,0,
Refugio,11,2600,4105,2392,1789,5583,1617,228,154,2031,313,
Roberts,1,0,309,170,148,672,193,16,0,227,0,
Robertson,7,3700,6714,4179,3142,13474,3412,252,252,4991,690,
Rockwall,44230,50685,50057,30775,21616,80325,13395,3750,1347,27575,3321,
Runnels,44230,6400,5166,2907,2538,8184,2153,405,312,2979,430,
Rusk,4/5N,10470,15193,9386,6749,43777,9197,1501,759,17428,1859,
Sabine,4/5N,3500,4745,2722,2249,8871,3267,572,186,3077,0,
San Augustine,4/5N,3300,3662,2220,1542,6811,2227,415,337,2590,0,
San Jacinto,4/5N,4000,8847,5334,4178,23444,6488,132,190,9275,40,
San Patricio,11,17570,30101,18416,13012,51116,10209,975,347,19063,2379,
San Saba,7,2000,1711,1178,596,5000,1465,33,72,1828,197,
Schleicher,44449,1700,1369,759,656,2218,559,65,34,793,0,
Scurry,44230,6895,6717,3864,3089,13000,2566,399,128,5165,0,
Shackelford,44230,1700,1477,854,659,2612,691,52,0,937,119,
Shelby,4/5N,8680,7087,4272,3214,19449,4532,540,369,7876,948,
Sherman,1,1800,1313,793,589,2294,462,24,42,868,0,
Smith,4/5N,184920,96146,58901,38924,182283,39337,19690,3030,62467,7172,
Somervell,44230,4000,4322,2624,1982,7386,1770,457,220,2741,479,
Starr,11,32000,45338,27952,21422,45765,7370,4479,1999,21117,3311,
Stephens,44230,3000,3270,2053,1584,7542,1890,168,92,2928,22,
Sterling,44449,700,536,331,207,975,186,10,44,375,0,
Stonewall,44230,1600,694,388,342,1095,361,63,53,369,0,
Sutton,44449,1900,2017,1147,893,2992,723,91,0,1051,0,
Swisher,1,2200,2912,1768,1475,5764,1305,114,61,2381,323,
Tarrant,44230,1167770,899957,542840,380154,1617160,244511,86106,18386,590239,56668,
Taylor,44230,85425,66240,38832,29006,107257,20131,11065,2465,36680,4185,
Terrell,44449,0,614,364,269,639,255,10,0,207,0,
Terry,1,8490,5950,3506,2811,9307,1858,345,178,3985,416,
Throckmorton,44230,2000,940,518,435,1247,445,64,0,399,0,
Titus,4/5N,17150,9063,5646,3765,24323,4845,1811,633,9797,1297,
Tom Green,44449,83510,60308,34729,26455,93752,18625,6702,1601,33131,3815,
Travis,7,1212100,703095,452681,280948,1032386,129553,51820,8264,311477,32884,
Trinity,4/5N,4650,5737,3398,2610,12104,3956,347,241,4400,427,
Tyler,4/5N,8300,7134,4095,3183,17963,4895,476,238,6926,722,
Upshur,4/5N,5000,12357,7276,5607,33011,7825,714,567,12366,1404,
Upton,44449,3100,1957,1061,903,2730,537,170,30,1105,0,
Uvalde,8,27805,15124,9158,6425,20379,4508,1498,515,8253,985,
Val Verde,8,34410,20611,13641,7925,36546,7003,2610,490,14417,104,
Van Zandt,4/5N,11200,18797,11732,8128,45216,11495,1280,711,16861,1783,
Victoria,8,51750,35950,22100,14864,71388,15242,5624,1030,27119,241,
Walker,6/5S,30770,22791,15366,9375,63471,10049,1526,400,24628,1438,
Waller,6/5S,12270,15478,9783,6507,43350,6546,1182,466,16819,1813,
Ward,44449,4640,5966,3357,2851,8921,1629,137,92,3551,0,
Washington,7,59400,16229,9476,7177,29086,7889,2581,1018,10662,72,
Webb,11,160400,172644,112521,69027,196916,26921,12073,1646,88397,11668,
Wharton,6/5S,15450,14486,9952,5828,32110,7239,1438,615,12933,1328,
Wheeler,1,2800,2169,1271,1080,3915,1002,200,114,1459,243,
Wichita,44230,62970,56060,34402,25062,105631,19854,8664,2030,42031,3508,
Wilbarger,44230,9600,7513,4463,3838,10361,2421,457,304,4240,27,
Willacy,11,5500,12152,7184,5176,16897,3057,325,557,7612,775,
Williamson,7,322350,298742,193163,120151,458433,73202,14404,4639,146388,19090,
Wilson,8,17400,19762,12814,8222,40488,8411,1224,615,13986,1510,
Winkler,44449,2000,3423,2036,1622,5954,964,102,0,2445,0,
Wise,44230,23870,24726,15279,10852,54722,10598,3589,552,22459,1533,
Wood,4/5N,6300,18600,11228,8620,38005,12527,1046,880,13019,1130,
Yoakum,1,3000,3307,2242,1491,6135,1033,225,60,2367,0,
Young,44230,7900,7876,4654,3832,14219,3774,862,431,5296,626,
Zapata,11,7400,8964,5815,3759,9981,1866,195,202,4642,0,
Zavala,8,1700,7037,4081,3002,8840,1723,25,60,4035,458,
Other, ,,958921,769775,238702,,,,,,,
