County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Clay,2/3,100,98,98,0,8544,2430,175,60
Cochran,1,0,60,60,0,2167,497,66,0
Coke,9/10,0,14,14,0,2839,957,47,130
Coleman,2/3,200,33,33,0,6555,2051,418,162
Collin,2/3,16400,4305,4305,0,806242,118818,56174,7544
Collingsworth,1,0,12,12,0,2177,574,94,92
Colorado,6/5S,100,35,35,0,17682,5065,1057,477
Comal,8,3600,487,487,0,125758,29676,7125,1845
Comanche,2/3,100,49,49,0,11046,3438,418,292
Concho,9/10,0,13,13,0,2381,528,81,66
Cooke,2/3,0,66,66,0,32501,7977,1347,552
Coryell,7,500,193,193,0,58277,6832,1291,594
Cottle,2/3,0,422,422,0,1120,400,5,0
Crane,9/10,100,50,50,0,3483,625,95,110
Crockett,9/10,0,9,9,0,2687,716,45,56
Crosby,1,100,41,41,0,4386,1236,127,115
Culberson,9/10,100,2,2,0,1797,529,79,0
Dallam,1,100,7,7,0,5092,691,95,0
Dallas,2/3,58350,14148,14148,0,2015538,284171,183122,21354
Dawson,9/10,0,10,10,0,9997,1927,385,112
Deaf Smith,1,200,54,54,0,14288,2472,316,228
Delta,4/5N,0,11,11,0,4312,1312,437,100
Denton,2/3,7700,2318,2318,0,702429,94410,34569,5667
DeWitt,8,300,70,70,0,16610,4251,421,438
Dickens,1,0,7,7,0,1840,546,29,0
Dimmit,8,100,20,20,0,7130,1517,226,175
Donley,1,0,10,10,0,2655,798,47,74
Duval,11,0,23,23,0,8359,2073,107,150
Eastland,2/3,100,43,43,0,14718,4181,1021,405
Ector,9/10,3500,338,338,0,123303,16788,6730,1016
Edwards,8,0,15,15,0,1605,586,27,0
El Paso,9/10,26875,12411,12411,0,640715,111036,46429,8546
Ellis,2/3,1300,772,772,0,146536,26120,5259,1781
Erath,2/3,100,98,98,0,34869,6466,1793,481
Falls,7,100,19,19,0,14306,3332,413,187
Fannin,2/3,800,234,234,0,29681,7609,1161,693
Fayette,7,600,129,129,0,21209,6683,1251,647
Fisher,2/3,0,5,5,0,3139,996,184,28
Floyd,1,0,6,6,0,4283,1207,156,68
Foard,2/3,0,8,8,0,937,323,9,80
Fort Bend,6/5S,12250,3181,3181,0,626861,97435,33263,4965
Franklin,4/5N,100,30,30,0,8327,2189,181,163
Freestone,7,500,3,3,0,16551,4068,718,261
Frio,8,500,230,230,0,15133,2573,226,270
Gaines,9/10,400,50,50,0,14875,2237,348,95
Galveston,6/5S,6475,3049,3049,0,267032,50119,15388,2824
Garza,1,0,12,12,0,5021,727,52,75
Gillespie,8,900,94,94,0,22728,8108,1453,706
Glasscock,9/10,0,3,3,0,1108,296,28,0
Goliad,8,0,31,31,0,6615,2077,59,135
Gonzales,8,300,60,60,0,15931,3700,626,256
Gray,1,200,17,17,0,17050,3428,927,315
Grayson,2/3,4525,541,541,0,107568,25224,10711,1989
Gregg,4/5N,4025,892,892,0,97771,19676,10046,2328
Grimes,7,300,64,64,0,23692,5592,422,311
Guadalupe,8,2000,888,888,0,130156,24014,5123,1292
Hale,1,1200,197,197,0,25066,4629,1308,399
Hall,1,0,4,4,0,2399,745,42,72
Hamilton,7,400,19,19,0,6957,2150,503,296
Hansford,1,200,88,88,0,3992,874,163,84
Hardeman,2/3,100,74,74,0,3017,769,118,16
Hardin,6/5S,1600,147,147,0,47640,10521,1237,527
Harris,6/5S,111425,23389,23389,0,3573784,490810,281834,27084
Harrison,4/5N,400,211,211,0,53015,11647,3586,608
Hartley,1,0,5,5,0,4850,899,203,94
Haskell,2/3,0,15,15,0,4635,1242,136,68
Hays,7,3275,891,891,0,183387,29281,7680,1557
Hemphill,1,300,8,8,0,2788,547,113,98
Henderson,4/5N,1300,45,45,0,67614,18942,2628,932
Hidalgo,11,23575,2692,2692,0,649795,102347,62827,16918
Hill,7,100,70,70,0,29221,8003,1219,523
Hockley,1,0,122,122,0,17482,3513,795,263
Hood,2/3,900,104,104,0,50235,15761,2493,862
Hopkins,4/5N,300,66,66,0,29578,7446,1680,620
Houston,4/5N,700,73,73,0,19208,5038,1114,426
Howard,9/10,200,73,73,0,28821,4493,1826,454
Hudspeth,9/10,0,7,7,0,2968,818,35,0
Hunt,2/3,1275,468,468,0,77702,16832,4485,947
Hutchinson,1,100,67,67,0,15984,3458,545,246
Irion,9/10,0,3,3,0,1345,412,19,0
Jack,2/3,0,20,20,0,7488,1604,226,149
Jackson,8,600,73,73,0,11172,2670,422,237
Jasper,4/5N,800,50,50,0,28248,7271,1952,374
Jeff Davis,9/10,0,7,7,0,2146,846,29,0
Jefferson,6/5S,5800,580,580,0,198728,36802,16838,2497
Jim Hogg,11,0,35,35,0,3764,898,35,60
Jim Wells,11,300,74,74,0,29988,6423,4090,1033
Johnson,2/3,800,716,716,0,135188,26669,5142,1260
Jones,2/3,0,115,115,0,16827,3127,400,340
Karnes,8,100,8,8,0,12523,2489,396,244
Kaufman,2/3,1275,569,569,0,104736,19164,4062,1176
Kendall,8,1100,273,273,0,38074,9979,2094,801
Kenedy,11,0,1,1,0,315,94,1,0
Kent,2/3,0,0,0,0,633,235,14,60
Kerr,8,1300,242,242,0,43611,14400,3557,1022
Kimble,9/10,100,42,42,0,3844,1379,104,0
King,1,0,1,1,0,233,60,5,0
Kinney,8,0,1,1,0,2931,889,19,0
Kleberg,11,100,40,40,0,25862,4574,1835,341
Knox,2/3,0,30,30,0,2861,823,117,127
La Salle,8,0,17,17,0,6105,1224,37,60
Lamar,4/5N,1200,115,115,0,40212,10314,3737,745
Lamb,1,0,44,44,0,9647,2400,541,226
Lampasas,7,0,69,69,0,17275,4497,436,284
Lavaca,8,600,143,143,0,16041,4537,881,620
Lee,7,300,29,29,0,13837,3373,363,226
Leon,7,200,24,24,0,14066,4292,256,74
Liberty,6/5S,500,58,58,0,70912,13765,2505,614
Limestone,7,100,14,14,0,19033,4691,2488,1060
Lipscomb,1,0,4,4,0,2496,636,31,61
Live Oak,11,0,4,4,0,9966,2656,55,100
Llano,7,0,58,58,0,18642,7523,340,358
Loving,9/10,0,0,0,0,83,34,1,0
Lubbock,1,17050,5325,5325,0,243899,41235,24699,4151
Lynn,1,0,38,38,0,4820,1113,212,40
Madison,7,200,17,17,0,11353,2256,314,258
Marion,4/5N,0,23,23,0,8117,2491,372,158
Martin,9/10,0,8,8,0,4306,880,184,0
Mason,9/10,100,17,17,0,3567,1322,126,0
Matagorda,6/5S,1100,46,46,0,28353,6359,1540,369
Maverick,8,500,40,40,0,42357,7656,3716,1198
McCulloch,9/10,0,3,3,0,6675,2024,303,122
McLennan,7,4350,1470,1470,0,198642,37827,14401,3591
McMullen,11,0,0,0,0,640,256,13,0
Medina,8,100,116,115,0,42991,9239,1165,811
Menard,9/10,0,5,5,0,1759,687,15,40
Midland,9/10,2650,578,578,0,132357,17262,7414,1391
Milam,7,300,21,21,0,19805,5508,693,254
Mills,7,100,12,12,0,3970,1369,186,152
Mitchell,2/3,300,39,39,0,7087,1476,310,96
Montague,2/3,0,73,73,0,15803,4504,678,383
Montgomery,6/5S,14175,908,908,0,470846,84212,25684,3769
Moore,1,200,17,17,0,15513,2464,477,176
Morris,4/5N,100,50,50,0,9938,2901,146,179
Motley,1,0,4,4,0,1016,403,20,50
Nacogdoches,4/5N,2400,170,170,0,52561,10458,3380,851
Navarro,2/3,300,61,61,0,40888,9624,2099,869
Newton,4/5N,100,7,7,0,11070,2715,101,113
Nolan,2/3,100,55,55,0,10998,2627,692,251
Nueces,11,10850,2696,2696,0,282299,51768,30463,4100
Ochiltree,1,200,9,9,0,7508,1186,218,114
Oldham,1,0,13,13,0,1714,417,20,0
Orange,6/5S,200,110,110,0,65680,14828,2217,554
Palo Pinto,2/3,0,21,21,0,23268,5869,1093,283
Panola,4/5N,0,33,33,0,19325,4774,784,377
Parker,2/3,1600,487,487,0,112329,24963,4236,1301
Parmer,1,100,40,40,0,7111,1387,171,174
Pecos,9/10,500,176,176,0,11723,2090,458,120
Polk,4/5N,1000,32,32,0,41511,10157,1578,574
Potter,1,8925,1278,1278,0,89806,16187,12650,1877
Presidio,9/10,0,4,4,0,5092,1503,38,0
Rains,4/5N,100,31,31,0,10262,3084,221,68
Randall,1,500,2164,2164,0,109144,21784,4683,869
Reagan,9/10,0,12,12,0,2900,544,62,42
Real,8,0,6,6,0,2882,1135,27,86
Red River,4/5N,0,26,26,0,9511,2902,490,252
Reeves,9/10,0,12,12,0,13004,2131,308,89
Refugio,11,300,71,71,0,5497,1635,242,64
Roberts,1,0,0,0,0,673,210,20,0
Robertson,7,200,24,24,0,14216,3542,273,252
Rockwall,2/3,100,450,450,0,81869,14227,4867,1327
Runnels,2/3,200,66,66,0,7992,2310,499,312
Rusk,4/5N,200,110,110,0,44061,9463,1914,749
Sabine,4/5N,500,7,7,0,9116,3288,790,186
San Augustine,4/5N,300,5,5,0,6982,2335,413,337
San Jacinto,4/5N,200,18,18,0,23713,6477,230,190
San Patricio,11,200,182,182,0,51382,10700,1409,396
San Saba,7,0,9,9,0,5108,1536,95,72
Schleicher,9/10,0,21,21,0,2184,564,71,34
Scurry,2/3,0,12,12,0,12956,2503,560,128
Shackelford,2/3,0,21,21,0,2694,694,122,0
Shelby,4/5N,500,19,19,0,18618,4285,754,369
Sherman,1,0,2,2,0,2368,524,34,42
Smith,4/5N,10550,505,505,0,181426,38833,24195,2911
Somervell,2/3,0,28,28,0,7769,2079,263,220
Starr,11,700,435,435,0,46042,7973,5154,1966
Stephens,2/3,0,11,11,0,7614,1989,282,92
Sterling,9/10,0,1,1,0,1019,306,9,44
Stonewall,2/3,100,3,3,0,1136,425,66,80
Sutton,9/10,0,20,20,0,2909,758,102,0
Swisher,1,0,25,25,0,5843,1484,146,61
Tarrant,2/3,42100,8478,8478,0,1596169,246738,117603,18366
Taylor,2/3,4025,2949,2948,0,108531,20790,13362,2443
Terrell,9/10,0,11,11,0,652,245,13,0
Terry,1,0,137,137,0,9564,1942,478,178
Throckmorton,2/3,0,2,2,0,1187,400,68,0
Titus,4/5N,800,139,139,0,25312,5155,2112,633
Tom Green,9/10,3125,1816,1816,0,93428,18529,7802,1606
Travis,7,33475,7387,7387,0,1016090,126607,72623,8271
Trinity,4/5N,400,7,7,0,12118,3960,400,241
Tyler,4/5N,0,12,12,0,18704,5080,627,238
Upshur,4/5N,0,159,159,0,33211,7910,852,567
Upton,9/10,100,13,13,0,2790,680,189,30
Uvalde,8,500,264,264,0,20809,4433,1687,459
Val Verde,8,600,201,201,0,38039,7591,3134,490
Van Zandt,4/5N,800,107,107,0,45144,12228,1691,711
Victoria,8,2375,966,966,0,72004,14413,6748,1008
Walker,6/5S,800,27,27,0,64302,10281,2415,400
Waller,6/5S,800,28,28,0,44163,7506,1476,466
Ward,9/10,100,13,13,0,8544,1608,180,92
Washington,7,400,61,61,0,28737,7674,2867,1018
Webb,11,7600,1295,1295,0,205887,27759,14457,1766
Wharton,6/5S,200,38,38,0,31964,7399,1057,615
Wheeler,1,100,0,0,0,4018,1136,230,114
Wichita,2/3,3850,1565,1565,0,106550,21428,10503,2088
Wilbarger,2/3,500,305,305,0,9933,2483,540,304
Willacy,11,0,67,67,0,16823,3062,269,557
Williamson,7,9050,2429,2429,0,457170,74290,20968,4643
Wilson,8,1000,207,207,0,42030,9149,1516,615
Winkler,9/10,0,5,5,0,5798,967,135,0
Wise,2/3,1075,876,876,0,55570,11830,4112,552
Wood,4/5N,500,57,57,0,37205,12511,1107,790
Yoakum,1,0,16,16,0,6336,1174,251,60
Young,2/3,700,31,31,0,15028,4183,1057,431
Zapata,11,100,54,54,0,10088,1870,270,143
Zavala,8,0,25,25,0,8768,1675,58,60
NULL,,0,14482,14483,0,,,,
