County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Scurry,2/3,500,336,332,4,12956,2503,560,128,6242
Shackelford,2/3,0,82,65,17,2694,694,122,0,1223
Shelby,4/5N,1200,525,521,4,18618,4285,754,369,9951
Sherman,1,0,107,106,1,2368,524,34,42,1047
Smith,4/5N,34500,13691,11911,1780,181426,38833,24195,2911,75818
Somervell,2/3,0,194,181,13,7769,2079,263,220,3417
Starr,11,2300,1905,1833,72,46042,7973,5154,1966,23826
Stephens,2/3,300,215,207,8,7614,1989,282,92,3830
Sterling,9/10,0,37,36,1,1019,306,9,44,445
Stonewall,2/3,200,59,56,3,1136,425,66,80,533
Sutton,9/10,100,57,40,17,2909,758,102,0,1326
Swisher,1,100,353,348,5,5843,1484,146,61,2985
Tarrant,2/3,178725,61868,56504,5364,1596169,246738,117603,18366,660059
Taylor,2/3,11350,8864,6214,2650,108531,20790,13362,2443,43683
Terrell,9/10,0,29,28,1,652,245,13,0,356
Terry,1,1300,724,704,20,9564,1942,478,178,4766
Throckmorton,2/3,100,117,117,0,1187,400,68,0,605
Titus,4/5N,2200,756,745,11,25312,5155,2112,633,11794
Tom Green,9/10,9950,5426,3757,1669,93428,18529,7802,1606,39665
Travis,7,109650,50825,43014,7811,1016090,126607,72623,8271,337286
Trinity,4/5N,800,436,434,2,12118,3960,400,241,6368
Tyler,4/5N,1200,827,825,2,18704,5080,627,238,9278
Upshur,4/5N,400,1008,841,167,33211,7910,852,567,15425
Upton,9/10,200,155,153,2,2790,680,189,30,1304
Uvalde,8,1600,983,969,14,20809,4433,1687,459,10179
Val Verde,8,2100,1233,1221,12,38039,7591,3134,490,17165
Van Zandt,4/5N,2000,1530,1395,135,45144,12228,1691,711,21537
Victoria,8,6550,4412,3646,766,72004,14413,6748,1008,33178
Walker,6/5S,3000,1521,1491,30,64302,10281,2415,400,28400
Waller,6/5S,1600,800,736,64,44163,7506,1476,466,18373
Ward,9/10,400,316,313,3,8544,1608,180,92,4073
Washington,7,1900,1094,1045,49,28737,7674,2867,1018,13829
Webb,11,26800,9923,9438,485,205887,27759,14457,1766,96319
Wharton,6/5S,1300,633,604,29,31964,7399,1057,615,16049
Wheeler,1,400,310,310,0,4018,1136,230,114,1950
Wichita,2/3,14950,7616,6253,1363,106550,21428,10503,2088,50159
Wilbarger,2/3,2800,1149,1095,54,9933,2483,540,304,5328
Willacy,11,100,544,487,57,16823,3062,269,557,9035
Williamson,7,27575,20269,17775,2494,457170,74290,20968,4643,160153
Wilson,8,2700,2246,2102,144,42030,9149,1516,615,16633
Winkler,9/10,200,250,248,2,5798,967,135,0,2663
Wise,2/3,4350,3933,3141,792,55570,11830,4112,552,26139
Wood,4/5N,1500,1458,1374,84,37205,12511,1107,790,18613
Yoakum,1,300,366,359,7,6336,1174,251,60,2690
Young,2/3,1700,593,588,5,15028,4183,1057,431,6955
Zapata,11,200,185,182,3,10088,1870,270,143,5427
Zavala,8,100,263,262,1,8768,1675,58,60,4807
*Other,N/A,0,114849,99784,15065,,,,,
,,,,,,,,,,
