County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Knox,2/3,300,356,305,51,3076,900,95,127,1025
La Salle,8,2150,1118,1092,26,6950,1386,22,60,2582
Lamar,4/5N,3700,2720,2377,343,39931,10627,3115,745,14799
Lamb,1,400,1256,1127,129,9751,2528,454,226,3821
Lampasas,7,300,695,620,75,17203,4698,348,284,6190
Lavaca,8,1900,1292,1100,192,16378,4631,820,612,5686
Lee,7,600,645,567,78,14026,3604,334,226,5159
Leon,7,600,595,503,92,14157,4371,155,74,4746
Liberty,6/5S,5450,2680,2494,186,67078,13667,1398,614,27507
Limestone,7,1500,867,824,43,18913,4908,2332,1060,7409
Lipscomb,1,100,229,194,35,2873,747,24,61,1027
Live Oak,11,200,573,547,26,9816,2652,35,100,3589
Llano,7,100,814,706,108,16584,6791,277,358,4867
Loving,9/10,0,16,16,0,79,37,0,0,20
Lubbock,1,73900,41420,33633,7787,254605,44436,20974,4093,84908
Lynn,1,200,490,413,77,4386,1038,191,40,1748
Madison,7,700,407,333,74,11642,2357,299,258,4429
Marion,4/5N,0,230,185,45,8491,2651,351,158,3200
Martin,9/10,600,352,317,35,4655,970,165,0,1721
Mason,9/10,200,327,212,115,3218,1203,104,0,1018
Matagorda,6/5S,2500,934,889,45,28934,6734,1113,369,11588
Maverick,8,4800,3006,2522,484,44442,8269,2970,1198,19027
McCulloch,9/10,600,322,302,20,6974,2195,212,122,2342
McLennan,7,23700,15782,13971,1811,198197,39227,11153,3621,70106
McMullen,11,100,27,26,1,671,301,10,0,175
Medina,8,1400,2719,2157,562,40921,9080,899,536,15761
Menard,9/10,100,105,93,12,1807,731,9,40,542
Midland,9/10,16750,8678,6534,2144,144930,18663,5950,1288,55557
Milam,7,1800,1361,1291,70,19423,5617,532,297,7303
Mills,7,200,343,279,64,3922,1415,149,152,1264
Mitchell,2/3,600,339,293,46,8166,1762,265,96,3093
Montague,2/3,1275,1465,1379,86,15356,4484,560,383,5393
Montgomery,6/5S,47850,23389,19548,3841,494493,92118,20255,3836,164169
Moore,1,1100,1495,1309,186,16000,2666,448,176,6494
Morris,4/5N,300,546,403,143,9910,3028,77,179,3579
Motley,1,0,81,72,9,986,405,22,50,296
Nacogdoches,4/5N,6700,5495,4784,711,52134,10807,2530,755,19713
Navarro,2/3,4000,2446,2187,259,37845,9298,1720,869,15158
Newton,4/5N,400,469,453,16,11330,2852,55,113,4680
Nolan,2/3,1600,1609,1483,126,12129,2951,519,251,4543
Nueces,11,48525,25670,18628,7042,301743,57203,25582,4100,120803
Ochiltree,1,900,678,571,107,8466,1395,200,114,3338
Oldham,1,100,217,197,20,1797,467,18,0,616
Orange,6/5S,1200,1867,1708,159,68992,16237,1456,548,26958
Palo Pinto,2/3,1300,989,953,36,22350,5885,864,283,8364
Panola,4/5N,1200,920,844,76,19380,4947,473,377,7404
Parker,2/3,9200,7940,6957,983,109678,25748,2890,1301,38104
Parmer,1,500,706,637,69,6852,1400,161,174,2710
Pecos,9/10,1300,1122,701,421,12932,2367,400,120,5240
Polk,4/5N,2800,1915,1768,147,40850,10352,1184,574,16042
Potter,1,60050,14864,12664,2200,95716,18233,10224,1770,37502
Presidio,9/10,400,277,258,19,4516,1352,27,0,1860
Rains,4/5N,200,475,383,92,9415,2857,163,68,3345
Randall,1,4600,23099,19208,3891,110179,22818,2812,869,34944
Reagan,9/10,200,131,120,11,3272,649,52,42,1275
Real,8,0,328,312,16,2778,1138,25,86,912
Red River,4/5N,500,915,838,77,10218,3201,420,252,3768
Reeves,9/10,2450,1763,1736,27,12796,2118,281,89,5168
Refugio,11,600,822,661,161,6038,1861,228,154,2139
Roberts,1,0,58,53,5,794,256,16,0,254
Robertson,7,700,668,566,102,13592,3465,252,252,5023
Rockwall,2/3,4400,5611,4549,1062,83981,15512,3750,1347,28209
Runnels,2/3,1300,1083,881,202,8755,2606,405,312,3038
Rusk,4/5N,1100,1743,1471,272,42667,9510,1501,759,16711
Sabine,4/5N,1300,929,898,31,8194,3007,572,186,2848
San Augustine,4/5N,800,447,423,24,6879,2330,415,337,2570
San Jacinto,4/5N,1100,997,920,77,23313,6586,132,190,9150
San Patricio,11,1700,2877,2310,567,55627,11823,975,347,20413
San Saba,7,200,97,86,11,4798,1479,33,72,1716
Schleicher,9/10,200,150,120,30,2580,684,65,34,906
Scurry,2/3,1875,793,765,28,14395,2797,399,128,5741
Shackelford,2/3,100,120,98,22,2713,732,52,0,967
Shelby,4/5N,1200,794,725,69,19620,4645,540,369,7907
Sherman,1,100,159,150,9,2547,600,24,42,923
Smith,4/5N,47600,21465,16358,5107,186509,41357,19690,3030,63431
Somervell,2/3,300,352,304,48,7605,2125,457,220,2674
Starr,11,3800,3419,2555,864,47076,8375,4479,1999,21286
Stephens,2/3,300,315,293,22,7628,2031,168,92,2899
Sterling,9/10,100,65,60,5,1027,326,10,44,333
Stonewall,2/3,200,115,110,5,1256,482,63,53,389
Sutton,9/10,200,136,116,20,3494,950,91,0,1178
Swisher,1,200,596,518,78,5828,1500,114,61,2311
Tarrant,2/3,277725,111208,97596,13612,1697191,275973,86106,18386,611124
Taylor,2/3,16875,12397,8899,3498,109707,21645,11065,2465,37074
Terrell,9/10,0,51,39,12,870,342,10,0,285
Terry,1,2375,1128,844,284,9981,2051,345,178,4243
Throckmorton,2/3,300,197,196,1,1235,419,64,0,406
Titus,4/5N,2700,1557,1115,442,24866,5311,1811,633,9836
Tom Green,9/10,16950,11353,8818,2535,99401,20091,6702,1601,34976
Travis,7,150550,85374,68912,16462,1055964,138844,51820,8264,316406
Trinity,4/5N,1775,653,601,52,11811,3976,347,241,4231
Tyler,4/5N,1200,1267,1201,66,17475,4874,476,238,6679
Upshur,4/5N,600,1389,1084,305,33807,8366,714,567,12492
Upton,9/10,400,352,225,127,3145,797,170,30,1183
Uvalde,8,3750,3074,2669,405,21966,4682,1498,515,8988
Val Verde,8,4050,2939,2506,433,36171,7353,2610,490,14063
Van Zandt,4/5N,2000,2826,2330,496,44585,12424,1280,711,16081
Victoria,8,9175,6464,4961,1503,78170,15996,5624,1030,30030
Walker,6/5S,4000,2621,2369,252,63001,10537,1526,400,24186
Waller,6/5S,1700,1405,1259,146,41643,7343,1182,466,15675
Ward,9/10,400,468,362,106,10349,1931,137,92,4100
Washington,7,6200,1820,1667,153,28511,7822,2581,1018,10407
Webb,11,33500,16923,13831,3092,206120,29007,12073,1646,92099
Wharton,6/5S,2100,1328,1213,115,32707,7890,1438,615,12905
Wheeler,1,400,465,447,18,4507,1329,200,114,1592
Wichita,2/3,21600,12463,10252,2211,106967,22532,8664,2030,41373
Wilbarger,2/3,4700,1929,1420,509,10374,2720,457,304,4087
Willacy,11,500,1494,1383,111,17301,3242,325,557,7732
Williamson,7,44250,34678,27927,6751,476807,81282,14404,4639,150300
Wilson,8,3400,3393,2536,857,42688,9746,1224,615,14363
Winkler,9/10,200,304,271,33,6884,1133,102,0,2818
Wise,2/3,5550,4407,3412,995,53226,11884,3589,552,21043
Wood,4/5N,1500,2382,2017,365,37555,12788,1046,880,12656
Yoakum,1,600,633,484,149,6757,1283,225,60,2540
Young,2/3,1900,950,839,111,14738,4269,862,431,5308
Zapata,11,700,614,541,73,10303,1970,195,202,4766
Zavala,8,200,901,814,87,9244,1774,25,60,4235
*Other,N/A,9775,205243,172799,32444,,,,,
,,,,,,,,,,
