County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Kinney,8,19,19,0,2931,889,19,0,1673
Kleberg,11,475,469,6,25862,4574,1835,341,10851
Knox,2/3,151,151,0,2861,823,117,127,1265
La Salle,8,63,61,2,6105,1224,37,60,2810
Lamar,4/5N,1134,1131,3,40212,10314,3737,745,19135
Lamb,1,243,235,8,9647,2400,541,226,5028
Lampasas,7,197,197,0,17275,4497,436,284,8188
Lavaca,8,626,623,3,16041,4537,881,620,7426
Lee,7,238,237,1,13837,3373,363,226,6632
Leon,7,204,203,1,14066,4292,256,74,6485
Liberty,6/5S,632,607,25,70912,13765,2505,614,32693
Limestone,7,272,272,0,19033,4691,2488,1060,9655
Lipscomb,1,86,86,0,2496,636,31,61,1202
Live Oak,11,79,79,0,9966,2656,55,100,4881
Llano,7,223,221,2,18642,7523,340,358,9093
Loving,9/10,1,1,0,83,34,1,0,47
Lubbock,1,14482,13324,1158,243899,41235,24699,4151,94573
Lynn,1,141,132,9,4820,1113,212,40,2246
Madison,7,157,155,2,11353,2256,314,258,5423
Marion,4/5N,75,73,2,8117,2491,372,158,4457
Martin,9/10,183,177,6,4306,880,184,0,1849
Mason,9/10,125,124,1,3567,1322,126,0,1710
Matagorda,6/5S,301,298,3,28353,6359,1540,369,14206
Maverick,8,597,596,1,42357,7656,3716,1198,21160
McCulloch,9/10,60,60,0,6675,2024,303,122,3045
McLennan,7,4240,4211,29,198642,37827,14401,3591,84638
McMullen,11,5,5,0,640,256,13,0,288
Medina,8,848,838,10,42991,9239,1165,811,19399
Menard,9/10,50,50,0,1759,687,15,40,887
Midland,9/10,2355,1863,492,132357,17262,7414,1391,54263
Milam,7,238,238,0,19805,5508,693,254,10021
Mills,7,170,170,0,3970,1369,186,152,1970
Mitchell,2/3,250,250,0,7087,1476,310,96,3086
Montague,2/3,236,232,4,15803,4504,678,383,7509
Montgomery,6/5S,7404,7150,254,470846,84212,25684,3769,177437
Moore,1,565,560,5,15513,2464,477,176,7114
Morris,4/5N,203,201,2,9938,2901,146,179,4953
Motley,1,28,28,0,1016,403,20,50,504
Nacogdoches,4/5N,1844,1838,6,52561,10458,3380,851,24062
Navarro,2/3,661,657,4,40888,9624,2099,869,19328
Newton,4/5N,124,124,0,11070,2715,101,113,6051
Nolan,2/3,320,320,0,10998,2627,692,251,5398
Nueces,11,10749,10365,384,282299,51768,30463,4100,135074
Ochiltree,1,205,205,0,7508,1186,218,114,3211
Oldham,1,82,79,3,1714,417,20,0,743
Orange,6/5S,397,396,1,65680,14828,2217,554,32089
Palo Pinto,2/3,285,283,2,23268,5869,1093,283,11269
Panola,4/5N,165,162,3,19325,4774,784,377,9112
Parker,2/3,2428,2341,87,112329,24963,4236,1301,47252
Parmer,1,264,260,4,7111,1387,171,174,3503
Pecos,9/10,519,518,1,11723,2090,458,120,5876
Polk,4/5N,509,503,6,41511,10157,1578,574,20999
Potter,1,7091,6798,293,89806,16187,12650,1877,41999
Presidio,9/10,80,80,0,5092,1503,38,0,3005
Rains,4/5N,172,166,6,10262,3084,221,68,4960
Randall,1,10907,10396,511,109144,21784,4683,869,41519
Reagan,9/10,74,73,1,2900,544,62,42,1287
Real,8,28,28,0,2882,1135,27,86,1608
Red River,4/5N,132,132,0,9511,2902,490,252,5235
Reeves,9/10,159,158,1,13004,2131,308,89,5885
Refugio,11,333,333,0,5497,1635,242,64,2785
Roberts,1,39,39,0,673,210,20,0,323
Robertson,7,185,185,0,14216,3542,273,252,6514
Rockwall,2/3,1745,1682,63,81869,14227,4867,1327,30252
Runnels,2/3,419,410,9,7992,2310,499,312,3905
Rusk,4/5N,384,376,8,44061,9463,1914,749,21319
Sabine,4/5N,136,136,0,9116,3288,790,186,4721
San Augustine,4/5N,92,92,0,6982,2335,413,337,3730
San Jacinto,4/5N,271,268,3,23713,6477,230,190,12311
San Patricio,11,922,884,38,51382,10700,1409,396,22807
San Saba,7,20,20,0,5108,1536,95,72,2501
Schleicher,9/10,85,82,3,2184,564,71,34,1028
Scurry,2/3,256,256,0,12956,2503,560,128,6242
Shackelford,2/3,32,32,0,2694,694,122,0,1223
Shelby,4/5N,271,271,0,18618,4285,754,369,9951
Sherman,1,26,25,1,2368,524,34,42,1047
Smith,4/5N,5953,5861,92,181426,38833,24195,2911,75818
Somervell,2/3,141,133,8,7769,2079,263,220,3417
Starr,11,1366,1365,1,46042,7973,5154,1966,23826
Stephens,2/3,46,45,1,7614,1989,282,92,3830
Sterling,9/10,31,31,0,1019,306,9,44,445
Stonewall,2/3,50,50,0,1136,425,66,80,533
Sutton,9/10,35,34,1,2909,758,102,0,1326
Swisher,1,248,247,1,5843,1484,146,61,2985
Tarrant,2/3,34078,33146,932,1596169,246738,117603,18366,660059
Taylor,2/3,4204,4193,11,108531,20790,13362,2443,43683
Terrell,9/10,27,27,0,652,245,13,0,356
Terry,1,500,496,4,9564,1942,478,178,4766
Throckmorton,2/3,58,58,0,1187,400,68,0,605
Titus,4/5N,536,534,2,25312,5155,2112,633,11794
Tom Green,9/10,3612,3181,431,93428,18529,7802,1606,39665
Travis,7,28303,27782,521,1016090,126607,72623,8271,337286
Trinity,4/5N,174,174,0,12118,3960,400,241,6368
Tyler,4/5N,486,486,0,18704,5080,627,238,9278
Upshur,4/5N,442,421,21,33211,7910,852,567,15425
Upton,9/10,146,146,0,2790,680,189,30,1304
Uvalde,8,753,753,0,20809,4433,1687,459,10179
Val Verde,8,826,826,0,38039,7591,3134,490,17165
Van Zandt,4/5N,737,697,40,45144,12228,1691,711,21537
Victoria,8,2544,2428,116,72004,14413,6748,1008,33178
Walker,6/5S,773,766,7,64302,10281,2415,400,28400
Waller,6/5S,426,414,12,44163,7506,1476,466,18373
Ward,9/10,190,189,1,8544,1608,180,92,4073
Washington,7,545,543,2,28737,7674,2867,1018,13829
Webb,11,6214,6205,9,205887,27759,14457,1766,96319
Wharton,6/5S,381,375,6,31964,7399,1057,615,16049
Wheeler,1,112,112,0,4018,1136,230,114,1950
Wichita,2/3,3879,3491,388,106550,21428,10503,2088,50159
Wilbarger,2/3,849,838,11,9933,2483,540,304,5328
Willacy,11,247,245,2,16823,3062,269,557,9035
Williamson,7,12284,12186,98,457170,74290,20968,4643,160153
Wilson,8,1454,1433,21,42030,9149,1516,615,16633
Winkler,9/10,24,24,0,5798,967,135,0,2663
Wise,2/3,2313,2296,17,55570,11830,4112,552,26139
Wood,4/5N,593,585,8,37205,12511,1107,790,18613
Yoakum,1,244,243,1,6336,1174,251,60,2690
Young,2/3,451,451,0,15028,4183,1057,431,6955
Zapata,11,109,108,1,10088,1870,270,143,5427
Zavala,8,146,146,0,8768,1675,58,60,4807
NULL,,42181,40091,2090,,,,,
