County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Coke,9/10,34,34,0,2839,957,47,130
Coleman,2/3,115,115,0,6555,2051,418,162
Collin,2/3,13047,13047,0,806242,118818,56174,7544
Collingsworth,1,81,81,0,2177,574,94,92
Colorado,6/5S,171,171,0,17682,5065,1057,477
Comal,8,2271,2271,0,125758,29676,7125,1845
Comanche,2/3,434,434,0,11046,3438,418,292
Concho,9/10,24,24,0,2381,528,81,66
Cooke,2/3,241,241,0,32501,7977,1347,552
Coryell,7,538,538,0,58277,6832,1291,594
Cottle,2/3,714,714,0,1120,400,5,0
Crane,9/10,108,108,0,3483,625,95,110
Crockett,9/10,19,19,0,2687,716,45,56
Crosby,1,129,129,0,4386,1236,127,115
Culberson,9/10,22,22,0,1797,529,79,0
Dallam,1,25,25,0,5092,691,95,0
Dallas,2/3,30325,30325,0,2015538,284171,183122,21354
Dawson,9/10,40,40,0,9997,1927,385,112
Deaf Smith,1,339,339,0,14288,2472,316,228
Delta,4/5N,55,55,0,4312,1312,437,100
Denton,2/3,7656,7656,0,702429,94410,34569,5667
DeWitt,8,141,141,0,16610,4251,421,438
Dickens,1,12,12,0,1840,546,29,0
Dimmit,8,136,136,0,7130,1517,226,175
Donley,1,46,46,0,2655,798,47,74
Duval,11,123,123,0,8359,2073,107,150
Eastland,2/3,137,137,0,14718,4181,1021,405
Ector,9/10,1035,1035,0,123303,16788,6730,1016
Edwards,8,32,32,0,1605,586,27,0
El Paso,9/10,19796,19796,0,640715,111036,46429,8546
Ellis,2/3,2100,2100,0,146536,26120,5259,1781
Erath,2/3,295,295,0,34869,6466,1793,481
Falls,7,95,95,0,14306,3332,413,187
Fannin,2/3,738,738,0,29681,7609,1161,693
Fayette,7,461,461,0,21209,6683,1251,647
Fisher,2/3,12,12,0,3139,996,184,28
Floyd,1,27,27,0,4283,1207,156,68
Foard,2/3,20,20,0,937,323,9,80
Fort Bend,6/5S,10178,10178,0,626861,97435,33263,4965
Franklin,4/5N,125,125,0,8327,2189,181,163
Freestone,7,63,63,0,16551,4068,718,261
Frio,8,343,343,0,15133,2573,226,270
Gaines,9/10,181,181,0,14875,2237,348,95
Galveston,6/5S,7458,7458,0,267032,50119,15388,2824
Garza,1,23,23,0,5021,727,52,75
Gillespie,8,514,514,0,22728,8108,1453,706
Glasscock,9/10,4,4,0,1108,296,28,0
Goliad,8,94,94,0,6615,2077,59,135
Gonzales,8,224,224,0,15931,3700,626,256
Gray,1,230,230,0,17050,3428,927,315
Grayson,2/3,2006,2006,0,107568,25224,10711,1989
Gregg,4/5N,1879,1879,0,97771,19676,10046,2328
Grimes,7,235,235,0,23692,5592,422,311
Guadalupe,8,2139,2139,0,130156,24014,5123,1292
Hale,1,458,458,0,25066,4629,1308,399
Hall,1,42,42,0,2399,745,42,72
Hamilton,7,334,334,0,6957,2150,503,296
Hansford,1,199,199,0,3992,874,163,84
Hardeman,2/3,132,132,0,3017,769,118,16
Hardin,6/5S,477,477,0,47640,10521,1237,527
Harris,6/5S,65295,65295,0,3573784,490810,281834,27084
Harrison,4/5N,560,560,0,53015,11647,3586,608
Hartley,1,20,20,0,4850,899,203,94
Haskell,2/3,55,55,0,4635,1242,136,68
Hays,7,3464,3464,0,183387,29281,7680,1557
Hemphill,1,165,165,0,2788,547,113,98
Henderson,4/5N,642,642,0,67614,18942,2628,932
Hidalgo,11,8934,8934,0,649795,102347,62827,16918
Hill,7,378,378,0,29221,8003,1219,523
Hockley,1,359,359,0,17482,3513,795,263
Hood,2/3,650,650,0,50235,15761,2493,862
Hopkins,4/5N,294,294,0,29578,7446,1680,620
Houston,4/5N,276,276,0,19208,5038,1114,426
Howard,9/10,330,330,0,28821,4493,1826,454
Hudspeth,9/10,33,33,0,2968,818,35,0
Hunt,2/3,1429,1429,0,77702,16832,4485,947
Hutchinson,1,226,226,0,15984,3458,545,246
Irion,9/10,19,19,0,1345,412,19,0
Jack,2/3,91,91,0,7488,1604,226,149
Jackson,8,150,150,0,11172,2670,422,237
Jasper,4/5N,180,180,0,28248,7271,1952,374
Jeff Davis,9/10,15,15,0,2146,846,29,0
Jefferson,6/5S,1329,1329,0,198728,36802,16838,2497
Jim Hogg,11,58,58,0,3764,898,35,60
Jim Wells,11,517,517,0,29988,6423,4090,1033
Johnson,2/3,1909,1909,0,135188,26669,5142,1260
Jones,2/3,161,161,0,16827,3127,400,340
Karnes,8,84,84,0,12523,2489,396,244
Kaufman,2/3,1600,1600,0,104736,19164,4062,1176
Kendall,8,974,974,0,38074,9979,2094,801
Kenedy,11,1,1,0,315,94,1,0
Kent,2/3,5,5,0,633,235,14,60
Kerr,8,662,662,0,43611,14400,3557,1022
Kimble,9/10,63,63,0,3844,1379,104,0
King,1,4,4,0,233,60,5,0
Kinney,8,8,8,0,2931,889,19,0
Kleberg,11,312,312,0,25862,4574,1835,341
Knox,2/3,67,67,0,2861,823,117,127
La Salle,8,43,43,0,6105,1224,37,60
Lamar,4/5N,1029,1029,0,40212,10314,3737,745
Lamb,1,170,170,0,9647,2400,541,226
Lampasas,7,146,146,0,17275,4497,436,284
Lavaca,8,418,418,0,16041,4537,881,620
Lee,7,191,191,0,13837,3373,363,226
Leon,7,146,146,0,14066,4292,256,74
Liberty,6/5S,301,301,0,70912,13765,2505,614
Limestone,7,107,107,0,19033,4691,2488,1060
Lipscomb,1,44,44,0,2496,636,31,61
Live Oak,11,48,48,0,9966,2656,55,100
Llano,7,178,178,0,18642,7523,340,358
Loving,9/10,1,1,0,83,34,1,0
Lubbock,1,9078,9078,0,243899,41235,24699,4151
Lynn,1,84,84,0,4820,1113,212,40
Madison,7,114,114,0,11353,2256,314,258
Marion,4/5N,55,55,0,8117,2491,372,158
Martin,9/10,81,81,0,4306,880,184,0
Mason,9/10,116,116,0,3567,1322,126,0
Matagorda,6/5S,140,140,0,28353,6359,1540,369
Maverick,8,546,546,0,42357,7656,3716,1198
McCulloch,9/10,16,16,0,6675,2024,303,122
McLennan,7,3156,3156,0,198642,37827,14401,3591
McMullen,11,5,5,0,640,256,13,0
Medina,8,587,587,0,42991,9239,1165,811
Menard,9/10,49,49,0,1759,687,15,40
Midland,9/10,1008,1008,0,132357,17262,7414,1391
Milam,7,137,137,0,19805,5508,693,254
Mills,7,102,102,0,3970,1369,186,152
Mitchell,2/3,217,217,0,7087,1476,310,96
Montague,2/3,156,156,0,15803,4504,678,383
Montgomery,6/5S,4616,4616,0,470846,84212,25684,3769
Moore,1,273,273,0,15513,2464,477,176
Morris,4/5N,163,163,0,9938,2901,146,179
Motley,1,14,14,0,1016,403,20,50
Nacogdoches,4/5N,1118,1118,0,52561,10458,3380,851
Navarro,2/3,502,502,0,40888,9624,2099,869
Newton,4/5N,48,48,0,11070,2715,101,113
Nolan,2/3,175,175,0,10998,2627,692,251
Nueces,11,7676,7676,0,282299,51768,30463,4100
Ochiltree,1,181,181,0,7508,1186,218,114
Oldham,1,56,56,0,1714,417,20,0
Orange,6/5S,270,270,0,65680,14828,2217,554
Palo Pinto,2/3,168,168,0,23268,5869,1093,283
Panola,4/5N,103,103,0,19325,4774,784,377
Parker,2/3,1579,1579,0,112329,24963,4236,1301
Parmer,1,148,148,0,7111,1387,171,174
Pecos,9/10,482,482,0,11723,2090,458,120
Polk,4/5N,302,302,0,41511,10157,1578,574
Potter,1,4887,4887,0,89806,16187,12650,1877
Presidio,9/10,31,31,0,5092,1503,38,0
Rains,4/5N,125,125,0,10262,3084,221,68
Randall,1,7559,7559,0,109144,21784,4683,869
Reagan,9/10,19,19,0,2900,544,62,42
Real,8,19,19,0,2882,1135,27,86
Red River,4/5N,114,114,0,9511,2902,490,252
Reeves,9/10,107,107,0,13004,2131,308,89
Refugio,11,316,316,0,5497,1635,242,64
Roberts,1,15,15,0,673,210,20,0
Robertson,7,113,113,0,14216,3542,273,252
Rockwall,2/3,1313,1313,0,81869,14227,4867,1327
Runnels,2/3,271,271,0,7992,2310,499,312
Rusk,4/5N,291,291,0,44061,9463,1914,749
Sabine,4/5N,74,74,0,9116,3288,790,186
San Augustine,4/5N,51,51,0,6982,2335,413,337
San Jacinto,4/5N,147,147,0,23713,6477,230,190
San Patricio,11,673,673,0,51382,10700,1409,396
San Saba,7,16,16,0,5108,1536,95,72
Schleicher,9/10,47,47,0,2184,564,71,34
Scurry,2/3,66,66,0,12956,2503,560,128
Shackelford,2/3,28,28,0,2694,694,122,0
Shelby,4/5N,98,98,0,18618,4285,754,369
Sherman,1,20,20,0,2368,524,34,42
Smith,4/5N,5015,5015,0,181426,38833,24195,2911
Somervell,2/3,93,93,0,7769,2079,263,220
Starr,11,1158,1158,0,46042,7973,5154,1966
Stephens,2/3,29,29,0,7614,1989,282,92
Sterling,9/10,7,7,0,1019,306,9,44
Stonewall,2/3,35,35,0,1136,425,66,80
Sutton,9/10,31,31,0,2909,758,102,0
Swisher,1,160,160,0,5843,1484,146,61
Tarrant,2/3,24490,24490,0,1596169,246738,117603,18366
Taylor,2/3,4039,4039,0,108531,20790,13362,2443
Terrell,9/10,22,22,0,652,245,13,0
Terry,1,448,448,0,9564,1942,478,178
Throckmorton,2/3,14,14,0,1187,400,68,0
Titus,4/5N,427,427,0,25312,5155,2112,633
Tom Green,9/10,2824,2824,0,93428,18529,7802,1606
Travis,7,22839,22839,0,1016090,126607,72623,8271
Trinity,4/5N,82,82,0,12118,3960,400,241
Tyler,4/5N,175,175,0,18704,5080,627,238
Upshur,4/5N,338,338,0,33211,7910,852,567
Upton,9/10,131,131,0,2790,680,189,30
Uvalde,8,497,497,0,20809,4433,1687,459
Val Verde,8,518,518,0,38039,7591,3134,490
Van Zandt,4/5N,552,552,0,45144,12228,1691,711
Victoria,8,1943,1943,0,72004,14413,6748,1008
Walker,6/5S,482,482,0,64302,10281,2415,400
Waller,6/5S,273,273,0,44163,7506,1476,466
Ward,9/10,103,103,0,8544,1608,180,92
Washington,7,339,339,0,28737,7674,2867,1018
Webb,11,4336,4336,0,205887,27759,14457,1766
Wharton,6/5S,227,227,0,31964,7399,1057,615
Wheeler,1,61,61,0,4018,1136,230,114
Wichita,2/3,2655,2655,0,106550,21428,10503,2088
Wilbarger,2/3,611,611,0,9933,2483,540,304
Willacy,11,164,164,0,16823,3062,269,557
Williamson,7,9983,9983,0,457170,74290,20968,4643
Wilson,8,1105,1105,0,42030,9149,1516,615
Winkler,9/10,18,18,0,5798,967,135,0
Wise,2/3,1375,1375,0,55570,11830,4112,552
Wood,4/5N,464,464,0,37205,12511,1107,790
Yoakum,1,214,214,0,6336,1174,251,60
Young,2/3,427,427,0,15028,4183,1057,431
Zapata,11,93,93,0,10088,1870,270,143
Zavala,8,112,112,0,8768,1675,58,60
NULL,,31515,31515,0,,,,
