County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Fannin,2/3,4650,3028,2418,610,28488,7569,962,614,10313
Fayette,7,1400,1170,1041,129,21033,6884,998,647,6820
Fisher,2/3,200,278,266,12,3226,1064,101,28,1079
Floyd,1,200,459,420,39,4468,1287,132,68,1660
Foard,2/3,100,200,182,18,1016,352,7,80,341
Fort Bend,6/5S,50575,64032,52640,11392,681745,114245,24721,4977,190680
Franklin,4/5N,400,586,479,107,8474,2221,169,163,2901
Freestone,7,1100,719,669,50,15926,4038,553,261,6360
Frio,8,2475,1974,1661,313,16062,2760,186,166,6638
Gaines,9/10,1200,914,696,218,16010,2446,323,95,6606
Galveston,6/5S,38225,35758,27766,7992,284584,55792,11784,2830,101126
Garza,1,100,176,153,23,5585,812,33,75,2277
Gillespie,8,4300,2579,2128,451,21871,7882,1175,706,6715
Glasscock,9/10,0,88,83,5,1120,311,23,0,388
Goliad,8,100,713,627,86,6430,2076,39,135,2234
Gonzales,8,1600,1153,980,173,16466,3941,550,256,6438
Gray,1,1300,1434,1302,132,19064,3822,689,315,7941
Grayson,2/3,21800,10260,8019,2241,105377,25679,9338,2131,38813
Gregg,4/5N,16050,7414,5578,1836,97920,20416,7025,2324,38054
Grimes,7,1200,1173,982,191,23414,5855,234,311,9359
Guadalupe,8,6275,7693,5463,2230,136431,26026,3801,1225,50897
Hale,1,2600,2301,1877,424,24936,4790,873,399,10194
Hall,1,0,324,290,34,2606,834,27,72,1022
Hamilton,7,1600,1998,1640,358,6553,2009,481,296,2354
Hansford,1,600,548,480,68,4417,1003,139,84,1738
Hardeman,2/3,500,634,510,124,3008,791,102,16,1115
Hardin,6/5S,4700,3141,2789,352,45896,10632,1003,527,16151
Harris,6/5S,571325,354469,286157,68312,3866923,553323,225769,27623,1511002
Harrison,4/5N,2800,2601,2182,419,52923,12077,3063,608,20791
Hartley,1,1475,345,331,14,5042,947,196,94,1847
Haskell,2/3,200,434,386,48,5119,1387,123,68,1959
Hays,7,18125,15705,12677,3028,196828,33403,5488,1907,63899
Hemphill,1,800,546,414,132,3429,657,104,98,1331
Henderson,4/5N,3400,3759,3047,712,66406,19050,2043,998,25809
Hidalgo,11,107750,59232,46741,12491,650228,105784,54962,17074,298355
Hill,7,1100,2173,1855,318,28116,7909,862,523,10690
Hockley,1,900,1450,1134,316,18921,3934,483,263,7134
Hood,2/3,2200,2514,1955,559,48946,15808,1720,867,16072
Hopkins,4/5N,2400,2093,1771,322,29544,7770,1192,620,10909
Houston,4/5N,1500,1502,1274,228,18491,4958,634,538,7281
Howard,9/10,2700,1526,1151,375,33215,5245,1456,454,13733
Hudspeth,9/10,100,181,168,13,2771,816,33,0,1085
Hunt,2/3,7050,6588,4443,2145,76397,17197,4112,947,29659
Hutchinson,1,600,1390,1207,183,16691,3716,504,246,6241
Irion,9/10,0,89,75,14,1280,406,15,0,414
Jack,2/3,500,434,373,61,7087,1558,198,149,2643
Jackson,8,2775,1382,1103,279,12317,3017,380,237,4492
Jasper,4/5N,5100,2281,2183,98,28138,7424,1597,374,11600
Jeff Davis,9/10,100,156,144,12,1854,757,28,0,550
Jefferson,6/5S,22900,9175,8166,1009,204766,39344,13127,2431,93298
Jim Hogg,11,100,594,539,55,3724,895,14,60,1533
Jim Wells,11,3250,3287,2842,445,32000,7047,3897,985,12851
Johnson,2/3,3500,8870,7226,1644,134667,27809,3559,1471,51612
Jones,2/3,400,921,767,154,16850,3192,337,254,6897
Karnes,8,1300,929,857,72,12394,2550,370,244,4873
Kaufman,2/3,3750,6771,5132,1639,99179,18986,2857,1189,37771
Kendall,8,2300,3841,2785,1056,38571,10233,1091,801,12525
Kenedy,11,0,92,91,1,385,124,1,0,143
Kent,2/3,0,75,71,4,664,255,13,60,196
Kerr,8,3200,3154,2240,914,43315,14517,2805,1022,13881
Kimble,9/10,300,322,256,66,3576,1316,90,0,1189
King,1,0,16,13,3,267,81,7,0,84
Kinney,8,100,250,248,2,2809,858,11,0,1067
Kleberg,11,5050,4580,4303,277,25029,4585,1401,341,9404
Knox,2/3,300,411,345,66,3076,900,95,127,1025
La Salle,8,2150,1383,1355,28,6950,1386,22,60,2582
Lamar,4/5N,3700,4014,3032,982,39931,10627,3115,745,14799
Lamb,1,400,1311,1151,160,9751,2528,454,226,3821
Lampasas,7,300,821,716,105,17203,4698,348,284,6190
Lavaca,8,1900,1499,1194,305,16378,4631,820,612,5686
Lee,7,600,703,594,109,14026,3604,334,226,5159
Leon,7,600,651,522,129,14157,4371,155,74,4746
Liberty,6/5S,5450,2978,2640,338,67078,13667,1398,614,27507
Limestone,7,1500,965,879,86,18913,4908,2332,1060,7409
Lipscomb,1,100,278,220,58,2873,747,24,61,1027
Live Oak,11,200,674,631,43,9816,2652,35,100,3589
Llano,7,100,913,789,124,16584,6791,277,358,4867
Loving,9/10,0,19,19,0,79,37,0,0,20
Lubbock,1,73900,45274,35986,9288,254605,44436,20974,4093,84908
Lynn,1,200,532,441,91,4386,1038,191,40,1748
Madison,7,700,466,362,104,11642,2357,299,258,4429
Marion,4/5N,0,278,209,69,8491,2651,351,158,3200
Martin,9/10,600,404,332,72,4655,970,165,0,1721
Mason,9/10,200,352,232,120,3218,1203,104,0,1018
Matagorda,6/5S,2500,1401,1287,114,28934,6734,1113,369,11588
Maverick,8,4800,3115,2623,492,44442,8269,2970,1198,19027
McCulloch,9/10,600,340,314,26,6974,2195,212,122,2342
McLennan,7,23700,18241,15726,2515,198197,39227,11153,3621,70106
McMullen,11,100,71,68,3,671,301,10,0,175
Medina,8,1400,3043,2415,628,40921,9080,899,536,15761
Menard,9/10,100,264,208,56,1807,731,9,40,542
Midland,9/10,16750,10370,8095,2275,144930,18663,5950,1288,55557
Milam,7,1800,1510,1398,112,19423,5617,532,297,7303
Mills,7,200,487,381,106,3922,1415,149,152,1264
Mitchell,2/3,600,399,300,99,8166,1762,265,96,3093
Montague,2/3,1275,1667,1556,111,15356,4484,560,383,5393
Montgomery,6/5S,47850,26039,20988,5051,494493,92118,20255,3836,164169
Moore,1,1100,1642,1410,232,16000,2666,448,176,6494
Morris,4/5N,300,590,432,158,9910,3028,77,179,3579
Motley,1,0,94,79,15,986,405,22,50,296
Nacogdoches,4/5N,6700,6559,5476,1083,52134,10807,2530,755,19713
Navarro,2/3,4000,3473,3088,385,37845,9298,1720,869,15158
Newton,4/5N,400,624,595,29,11330,2852,55,113,4680
Nolan,2/3,1600,1748,1582,166,12129,2951,519,251,4543
Nueces,11,48525,27318,19596,7722,301743,57203,25582,4100,120803
Ochiltree,1,900,816,638,178,8466,1395,200,114,3338
Oldham,1,100,247,212,35,1797,467,18,0,616
Orange,6/5S,1200,2066,1874,192,68992,16237,1456,548,26958
Palo Pinto,2/3,1300,1185,1029,156,22350,5885,864,283,8364
Panola,4/5N,1200,992,906,86,19380,4947,473,377,7404
Parker,2/3,9200,9028,7628,1400,109678,25748,2890,1301,38104
Parmer,1,500,749,648,101,6852,1400,161,174,2710
Pecos,9/10,1300,1515,1068,447,12932,2367,400,120,5240
Polk,4/5N,2800,2098,1863,235,40850,10352,1184,574,16042
Potter,1,60050,16800,13423,3377,95716,18233,10224,1770,37502
Presidio,9/10,400,365,345,20,4516,1352,27,0,1860
Rains,4/5N,200,533,417,116,9415,2857,163,68,3345
Randall,1,4600,25442,20043,5399,110179,22818,2812,869,34944
Reagan,9/10,200,207,194,13,3272,649,52,42,1275
Real,8,0,353,331,22,2778,1138,25,86,912
Red River,4/5N,500,1072,961,111,10218,3201,420,252,3768
Reeves,9/10,2450,2253,2149,104,12796,2118,281,89,5168
Refugio,11,600,1020,704,316,6038,1861,228,154,2139
Roberts,1,0,65,54,11,794,256,16,0,254
Robertson,7,700,749,596,153,13592,3465,252,252,5023
Rockwall,2/3,4400,6383,5060,1323,83981,15512,3750,1347,28209
Runnels,2/3,1300,1178,900,278,8755,2606,405,312,3038
Rusk,4/5N,1100,1850,1545,305,42667,9510,1501,759,16711
Sabine,4/5N,1300,1006,952,54,8194,3007,572,186,2848
San Augustine,4/5N,800,497,449,48,6879,2330,415,337,2570
San Jacinto,4/5N,1100,1155,1042,113,23313,6586,132,190,9150
San Patricio,11,1700,3146,2529,617,55627,11823,975,347,20413
San Saba,7,200,105,92,13,4798,1479,33,72,1716
Schleicher,9/10,200,181,135,46,2580,684,65,34,906
Scurry,2/3,1875,884,837,47,14395,2797,399,128,5741
Shackelford,2/3,100,148,124,24,2713,732,52,0,967
Shelby,4/5N,1200,904,806,98,19620,4645,540,369,7907
Sherman,1,100,250,241,9,2547,600,24,42,923
Smith,4/5N,47600,23583,17839,5744,186509,41357,19690,3030,63431
Somervell,2/3,300,414,325,89,7605,2125,457,220,2674
Starr,11,3800,3854,2686,1168,47076,8375,4479,1999,21286
Stephens,2/3,300,377,346,31,7628,2031,168,92,2899
Sterling,9/10,100,69,63,6,1027,326,10,44,333
Stonewall,2/3,200,129,119,10,1256,482,63,53,389
Sutton,9/10,200,237,212,25,3494,950,91,0,1178
Swisher,1,200,680,564,116,5828,1500,114,61,2311
Tarrant,2/3,277725,122504,104775,17729,1697191,275973,86106,18386,611124
Taylor,2/3,16875,15018,11121,3897,109707,21645,11065,2465,37074
Terrell,9/10,0,216,199,17,870,342,10,0,285
Terry,1,2375,1598,1216,382,9981,2051,345,178,4243
Throckmorton,2/3,300,306,275,31,1235,419,64,0,406
Titus,4/5N,2700,1662,1195,467,24866,5311,1811,633,9836
Tom Green,9/10,16950,12241,9582,2659,99401,20091,6702,1601,34976
Travis,7,150550,93918,73966,19952,1055964,138844,51820,8264,316406
Trinity,4/5N,1775,694,624,70,11811,3976,347,241,4231
Tyler,4/5N,1200,1344,1217,127,17475,4874,476,238,6679
Upshur,4/5N,600,1525,1185,340,33807,8366,714,567,12492
Upton,9/10,400,449,320,129,3145,797,170,30,1183
Uvalde,8,3750,3453,3021,432,21966,4682,1498,515,8988
Val Verde,8,4050,3017,2579,438,36171,7353,2610,490,14063
Van Zandt,4/5N,2000,3103,2474,629,44585,12424,1280,711,16081
Victoria,8,9175,7888,6150,1738,78170,15996,5624,1030,30030
Walker,6/5S,4000,2899,2508,391,63001,10537,1526,400,24186
Waller,6/5S,1700,1576,1346,230,41643,7343,1182,466,15675
Ward,9/10,400,754,645,109,10349,1931,137,92,4100
Washington,7,6200,2080,1826,254,28511,7822,2581,1018,10407
Webb,11,33500,19729,15814,3915,206120,29007,12073,1646,92099
Wharton,6/5S,2100,1641,1435,206,32707,7890,1438,615,12905
Wheeler,1,400,511,475,36,4507,1329,200,114,1592
Wichita,2/3,21600,13393,10902,2491,106967,22532,8664,2030,41373
Wilbarger,2/3,4700,2155,1568,587,10374,2720,457,304,4087
Willacy,11,500,1598,1434,164,17301,3242,325,557,7732
Williamson,7,44250,38325,29713,8612,476807,81282,14404,4639,150300
Wilson,8,3400,3828,2757,1071,42688,9746,1224,615,14363
Winkler,9/10,200,583,547,36,6884,1133,102,0,2818
Wise,2/3,5550,4446,3400,1046,53226,11884,3589,552,21043
Wood,4/5N,1500,2631,2204,427,37555,12788,1046,880,12656
Yoakum,1,600,752,514,238,6757,1283,225,60,2540
Young,2/3,1900,1178,968,210,14738,4269,862,431,5308
Zapata,11,700,747,661,86,10303,1970,195,202,4766
Zavala,8,200,1040,936,104,9244,1774,25,60,4235
*Other,N/A,9775,235461,192644,42817,,,,,
,,,,,,,,,,
