County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Collin,2/3,47375,36739,32180,4559,806242,118818,56174,7544,256993
Collingsworth,1,300,297,295,2,2177,574,94,92,1084
Colorado,6/5S,600,684,669,15,17682,5065,1057,477,7953
Comal,8,9200,5494,4792,702,125758,29676,7125,1845,45927
Comanche,2/3,1475,549,543,6,11046,3438,418,292,5170
Concho,9/10,0,85,72,13,2381,528,81,66,1923
Cooke,2/3,1500,1308,1261,47,32501,7977,1347,552,14449
Coryell,7,2575,1391,1295,96,58277,6832,1291,594,25149
Cottle,2/3,0,46,46,0,1120,400,5,0,608
Crane,9/10,1175,157,155,2,3483,625,95,110,1547
Crockett,9/10,0,277,270,7,2687,716,45,56,1307
Crosby,1,1175,306,289,17,4386,1236,127,115,2252
Culberson,9/10,400,82,82,0,1797,529,79,0,972
Dallam,1,300,301,300,1,5092,691,95,0,2336
Dallas,2/3,236700,106741,91594,15147,2015538,284171,183122,21354,820238
Dawson,9/10,500,350,336,14,9997,1927,385,112,5005
Deaf Smith,1,1100,827,813,14,14288,2472,316,228,6265
Delta,4/5N,0,120,106,14,4312,1312,437,100,2090
Denton,2/3,39875,22259,19744,2515,702429,94410,34569,5667,276089
DeWitt,8,700,514,453,61,16610,4251,421,438,7926
Dickens,1,0,46,45,1,1840,546,29,0,943
Dimmit,8,1475,337,335,2,7130,1517,226,175,4018
Donley,1,100,254,252,2,2655,798,47,74,1278
Duval,11,300,600,583,17,8359,2073,107,150,4543
Eastland,2/3,600,752,728,24,14718,4181,1021,405,7102
Ector,9/10,15200,5780,5375,405,123303,16788,6730,1016,54750
Edwards,8,0,73,67,6,1605,586,27,0,792
El Paso,9/10,91975,63330,54614,8716,640715,111036,46429,8546,281334
Ellis,2/3,4600,6127,5382,745,146536,26120,5259,1781,61039
Erath,2/3,700,1093,1020,73,34869,6466,1793,481,14817
Falls,7,1575,371,346,25,14306,3332,413,187,7192
Fannin,2/3,3275,1617,1519,98,29681,7609,1161,693,13661
Fayette,7,1200,862,835,27,21209,6683,1251,647,9754
Fisher,2/3,200,77,74,3,3139,996,184,28,1509
Floyd,1,200,343,339,4,4283,1207,156,68,2228
Foard,2/3,100,158,156,2,937,323,9,80,489
Fort Bend,6/5S,40950,39007,33083,5924,626861,97435,33263,4965,192056
Franklin,4/5N,400,396,385,11,8327,2189,181,163,3820
Freestone,7,1100,471,467,4,16551,4068,718,261,8172
Frio,8,2475,816,804,12,15133,2573,226,270,7605
Gaines,9/10,1100,598,590,8,14875,2237,348,95,6531
Galveston,6/5S,28050,22087,18532,3555,267032,50119,15388,2824,113161
Garza,1,0,93,82,11,5021,727,52,75,2607
Gillespie,8,3100,1114,1090,24,22728,8108,1453,706,10293
Glasscock,9/10,0,29,27,2,1108,296,28,0,491
Goliad,8,100,499,470,29,6615,2077,59,135,3059
Gonzales,8,1200,890,874,16,15931,3700,626,256,7818
Gray,1,1300,986,977,9,17050,3428,927,315,8475
Grayson,2/3,19900,6452,5898,554,107568,25224,10711,1989,49725
Gregg,4/5N,11925,5740,4623,1117,97771,19676,10046,2328,45063
Grimes,7,1100,795,770,25,23692,5592,422,311,11724
Guadalupe,8,6275,4677,3977,700,130156,24014,5123,1292,56504
Hale,1,2600,1606,1522,84,25066,4629,1308,399,12481
Hall,1,0,202,197,5,2399,745,42,72,1348
Hamilton,7,1200,1553,1549,4,6957,2150,503,296,3427
Hansford,1,600,270,266,4,3992,874,163,84,1970
Hardeman,2/3,500,327,321,6,3017,769,118,16,1552
Hardin,6/5S,4100,1812,1738,74,47640,10521,1237,527,19766
Harris,6/5S,462725,239431,204072,35359,3573784,490810,281834,27084,1572384
Harrison,4/5N,2700,1797,1547,250,53015,11647,3586,608,25401
Hartley,1,1475,188,185,3,4850,899,203,94,2001
Haskell,2/3,100,195,187,8,4635,1242,136,68,2483
Hays,7,15175,9015,7983,1032,183387,29281,7680,1557,67042
Hemphill,1,800,384,383,1,2788,547,113,98,1271
Henderson,4/5N,3400,2268,2027,241,67614,18942,2628,932,35206
Hidalgo,11,90225,30778,26765,4013,649795,102347,62827,16918,319830
Hill,7,900,1239,1190,49,29221,8003,1219,523,14733
Hockley,1,900,819,707,112,17482,3513,795,263,8124
Hood,2/3,2200,1300,1245,55,50235,15761,2493,862,23089
Hopkins,4/5N,2300,1324,1178,146,29578,7446,1680,620,13891
Houston,4/5N,1500,1083,1073,10,19208,5038,1114,426,9989
Howard,9/10,2600,1099,1053,46,28821,4493,1826,454,14072
Hudspeth,9/10,0,73,69,4,2968,818,35,0,2097
Hunt,2/3,6850,3464,2724,740,77702,16832,4485,947,36713
Hutchinson,1,500,744,731,13,15984,3458,545,246,7583
Irion,9/10,0,49,46,3,1345,412,19,0,563
Jack,2/3,300,341,323,18,7488,1604,226,149,3304
Jackson,8,2775,668,613,55,11172,2670,422,237,5354
Jasper,4/5N,3500,948,917,31,28248,7271,1952,374,15256
Jeff Davis,9/10,0,70,69,1,2146,846,29,0,1042
Jefferson,6/5S,18875,5311,4910,401,198728,36802,16838,2497,109233
Jim Hogg,11,100,446,445,1,3764,898,35,60,1972
Jim Wells,11,2275,1154,1064,90,29988,6423,4090,1033,15173
Johnson,2/3,2900,4762,4192,570,135188,26669,5142,1260,61261
Jones,2/3,200,545,442,103,16827,3127,400,340,8290
Karnes,8,1200,465,455,10,12523,2489,396,244,6085
Kaufman,2/3,3350,4546,3951,595,104736,19164,4062,1176,43786
Kendall,8,2300,2584,2090,494,38074,9979,2094,801,15516
Kenedy,11,0,14,13,1,315,94,1,0,176
Kent,2/3,0,48,48,0,633,235,14,60,275
Kerr,8,3100,1567,1546,21,43611,14400,3557,1022,20395
Kimble,9/10,300,203,193,10,3844,1379,104,0,1891
King,1,0,9,8,1,233,60,5,0,93
Kinney,8,0,28,28,0,2931,889,19,0,1673
Kleberg,11,2975,975,901,74,25862,4574,1835,341,10851
Knox,2/3,300,202,199,3,2861,823,117,127,1265
La Salle,8,1075,133,129,4,6105,1224,37,60,2810
Lamar,4/5N,3100,1869,1832,37,40212,10314,3737,745,19135
Lamb,1,200,552,516,36,9647,2400,541,226,5028
Lampasas,7,200,442,391,51,17275,4497,436,284,8188
Lavaca,8,1600,1092,1053,39,16041,4537,881,620,7426
Lee,7,600,483,468,15,13837,3373,363,226,6632
Leon,7,600,403,397,6,14066,4292,256,74,6485
Liberty,6/5S,4275,2048,1950,98,70912,13765,2505,614,32693
Limestone,7,1100,749,738,11,19033,4691,2488,1060,9655
Lipscomb,1,0,172,171,1,2496,636,31,61,1202
Live Oak,11,200,325,314,11,9966,2656,55,100,4881
Llano,7,100,620,558,62,18642,7523,340,358,9093
Loving,9/10,0,5,5,0,83,34,1,0,47
Lubbock,1,65300,28782,23737,5045,243899,41235,24699,4151,94573
Lynn,1,200,377,339,38,4820,1113,212,40,2246
Madison,7,600,297,284,13,11353,2256,314,258,5423
Marion,4/5N,0,181,152,29,8117,2491,372,158,4457
Martin,9/10,300,316,293,23,4306,880,184,0,1849
Mason,9/10,200,176,161,15,3567,1322,126,0,1710
Matagorda,6/5S,2500,596,586,10,28353,6359,1540,369,14206
Maverick,8,3600,2304,2294,10,42357,7656,3716,1198,21160
McCulloch,9/10,500,286,274,12,6675,2024,303,122,3045
McLennan,7,18650,10232,9196,1036,198642,37827,14401,3591,84638
McMullen,11,0,12,11,1,640,256,13,0,288
Medina,8,1000,1799,1629,170,42991,9239,1165,811,19399
Menard,9/10,0,86,77,9,1759,687,15,40,887
Midland,9/10,11475,5641,3978,1663,132357,17262,7414,1391,54263
Milam,7,1500,1109,1082,27,19805,5508,693,254,10021
Mills,7,200,260,255,5,3970,1369,186,152,1970
Mitchell,2/3,600,277,276,1,7087,1476,310,96,3086
Montague,2/3,1175,577,514,63,15803,4504,678,383,7509
Montgomery,6/5S,41100,17447,15327,2120,470846,84212,25684,3769,177437
Moore,1,800,1108,1098,10,15513,2464,477,176,7114
Morris,4/5N,300,349,332,17,9938,2901,146,179,4953
Motley,1,0,49,48,1,1016,403,20,50,504
Nacogdoches,4/5N,6700,3836,3808,28,52561,10458,3380,851,24062
Navarro,2/3,2500,1256,1218,38,40888,9624,2099,869,19328
Newton,4/5N,400,297,293,4,11070,2715,101,113,6051
Nolan,2/3,1600,1031,995,36,10998,2627,692,251,5398
Nueces,11,40450,17530,14608,2922,282299,51768,30463,4100,135074
Ochiltree,1,900,488,485,3,7508,1186,218,114,3211
Oldham,1,0,178,169,9,1714,417,20,0,743
Orange,6/5S,1200,1035,966,69,65680,14828,2217,554,32089
Palo Pinto,2/3,800,664,652,12,23268,5869,1093,283,11269
Panola,4/5N,1200,770,732,38,19325,4774,784,377,9112
Parker,2/3,6850,4422,4082,340,112329,24963,4236,1301,47252
Parmer,1,500,428,423,5,7111,1387,171,174,3503
Pecos,9/10,1200,628,595,33,11723,2090,458,120,5876
Polk,4/5N,2700,1285,1254,31,41511,10157,1578,574,20999
Potter,1,46150,11155,10543,612,89806,16187,12650,1877,41999
Presidio,9/10,400,214,214,0,5092,1503,38,0,3005
Rains,4/5N,200,301,260,41,10262,3084,221,68,4960
Randall,1,4600,17287,16203,1084,109144,21784,4683,869,41519
Reagan,9/10,100,122,113,9,2900,544,62,42,1287
Real,8,0,117,116,1,2882,1135,27,86,1608
Red River,4/5N,200,570,565,5,9511,2902,490,252,5235
Reeves,9/10,1375,389,384,5,13004,2131,308,89,5885
Refugio,11,600,424,413,11,5497,1635,242,64,2785
Roberts,1,0,45,45,0,673,210,20,0,323
Robertson,7,700,471,452,19,14216,3542,273,252,6514
Rockwall,2/3,4400,3722,3278,444,81869,14227,4867,1327,30252
Runnels,2/3,1000,822,758,64,7992,2310,499,312,3905
Rusk,4/5N,1000,1274,1158,116,44061,9463,1914,749,21319
Sabine,4/5N,1200,686,684,2,9116,3288,790,186,4721
San Augustine,4/5N,800,362,358,4,6982,2335,413,337,3730
San Jacinto,4/5N,1100,691,667,24,23713,6477,230,190,12311
San Patricio,11,1700,1675,1457,218,51382,10700,1409,396,22807
San Saba,7,200,80,76,4,5108,1536,95,72,2501
Schleicher,9/10,200,129,107,22,2184,564,71,34,1028
Scurry,2/3,1475,365,360,5,12956,2503,560,128,6242
Shackelford,2/3,0,85,68,17,2694,694,122,0,1223
Shelby,4/5N,1200,601,585,16,18618,4285,754,369,9951
Sherman,1,0,126,125,1,2368,524,34,42,1047
Smith,4/5N,38750,16511,14256,2255,181426,38833,24195,2911,75818
Somervell,2/3,0,262,248,14,7769,2079,263,220,3417
Starr,11,2900,1976,1895,81,46042,7973,5154,1966,23826
Stephens,2/3,300,270,261,9,7614,1989,282,92,3830
Sterling,9/10,0,48,47,1,1019,306,9,44,445
Stonewall,2/3,200,59,56,3,1136,425,66,80,533
Sutton,9/10,100,114,97,17,2909,758,102,0,1326
Swisher,1,100,410,405,5,5843,1484,146,61,2985
Tarrant,2/3,215950,71987,65995,5992,1596169,246738,117603,18366,660059
Taylor,2/3,12750,9328,6651,2677,108531,20790,13362,2443,43683
Terrell,9/10,0,31,30,1,652,245,13,0,356
Terry,1,2375,756,733,23,9564,1942,478,178,4766
Throckmorton,2/3,200,121,121,0,1187,400,68,0,605
Titus,4/5N,2700,856,841,15,25312,5155,2112,633,11794
Tom Green,9/10,12000,8672,6908,1764,93428,18529,7802,1606,39665
Travis,7,126550,61520,52641,8879,1016090,126607,72623,8271,337286
Trinity,4/5N,1775,478,476,2,12118,3960,400,241,6368
Tyler,4/5N,1200,989,986,3,18704,5080,627,238,9278
Upshur,4/5N,500,1130,934,196,33211,7910,852,567,15425
Upton,9/10,200,170,155,15,2790,680,189,30,1304
Uvalde,8,2775,1032,1012,20,20809,4433,1687,459,10179
Val Verde,8,3075,1274,1260,14,38039,7591,3134,490,17165
Van Zandt,4/5N,2000,1918,1749,169,45144,12228,1691,711,21537
Victoria,8,6575,4724,3859,865,72004,14413,6748,1008,33178
Walker,6/5S,3200,1848,1815,33,64302,10281,2415,400,28400
Waller,6/5S,1700,901,828,73,44163,7506,1476,466,18373
Ward,9/10,400,323,318,5,8544,1608,180,92,4073
Washington,7,3900,1290,1222,68,28737,7674,2867,1018,13829
Webb,11,28100,10761,10259,502,205887,27759,14457,1766,96319
Wharton,6/5S,1800,737,701,36,31964,7399,1057,615,16049
Wheeler,1,400,380,380,0,4018,1136,230,114,1950
Wichita,2/3,18850,9291,7906,1385,106550,21428,10503,2088,50159
Wilbarger,2/3,2900,1158,1104,54,9933,2483,540,304,5328
Willacy,11,400,662,596,66,16823,3062,269,557,9035
Williamson,7,33875,23992,21073,2919,457170,74290,20968,4643,160153
Wilson,8,3000,2383,2196,187,42030,9149,1516,615,16633
Winkler,9/10,200,249,247,2,5798,967,135,0,2663
Wise,2/3,4350,4019,3217,802,55570,11830,4112,552,26139
Wood,4/5N,1500,1784,1677,107,37205,12511,1107,790,18613
Yoakum,1,300,383,376,7,6336,1174,251,60,2690
Young,2/3,1700,673,668,5,15028,4183,1057,431,6955
Zapata,11,400,191,188,3,10088,1870,270,143,5427
Zavala,8,100,279,278,1,8768,1675,58,60,4807
*Other,N/A,9775,147333,131029,16304,,,,,
,,,,,,,,,,
