County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Coleman,2/3,800,696,491,205,6816,2028,342,162,2475
Collin,2/3,108975,82475,63553,18922,722168,97662,38139,7817,215455
Collingsworth,1,500,465,353,112,2290,539,80,92,868
Colorado,6/5S,2200,2174,1810,364,16774,4490,853,477,5970
Comal,8,15300,11396,8394,3002,107432,23901,5457,1845,33412
Comanche,2/3,1875,1864,1426,438,10911,3234,330,292,3769
Concho,9/10,100,254,224,30,3650,661,76,66,1524
Cooke,2/3,3100,2913,2085,828,31083,7072,948,552,11237
Coryell,7,5125,4017,3302,715,58952,7115,1178,610,22549
Cottle,2/3,0,92,81,11,1099,339,5,0,432
Crane,9/10,1175,534,427,107,3506,532,71,110,1359
Crockett,9/10,0,453,421,32,2802,588,31,56,1096
Crosby,1,1375,1202,1055,147,4469,1053,98,115,1814
Culberson,9/10,400,245,194,51,1748,437,67,0,747
Dallam,1,2850,1263,1180,83,5218,784,40,0,2102
Dallas,2/3,362525,210892,167802,43090,1973394,263104,142713,21399,720032
Dawson,9/10,700,720,620,100,9945,1886,304,112,4295
Deaf Smith,1,1900,1530,1198,332,13508,2327,238,147,5412
Delta,4/5N,200,344,273,71,4094,1077,379,100,1536
Denton,2/3,91100,44286,33358,10928,625804,76607,23806,5913,234507
DeWitt,8,800,1076,804,272,16416,3890,319,438,6338
Dickens,1,0,248,231,17,1828,470,21,0,702
Dimmit,8,4025,2026,1850,176,7833,1608,238,175,3418
Donley,1,200,435,340,95,2752,788,27,65,943
Duval,11,600,1316,1163,153,8812,1996,69,150,3674
Eastland,2/3,1100,1458,1123,335,14836,3973,860,389,5366
Ector,9/10,25100,15219,12285,2934,115020,15091,5303,1016,48266
Edwards,8,0,171,132,39,1542,505,24,0,551
El Paso,9/10,134575,111270,84370,26900,628926,96901,35065,8383,244199
Ellis,2/3,11300,12141,9032,3109,128488,20833,3985,1994,49952
Erath,2/3,1800,2334,1930,404,33688,5660,1250,481,12304
Falls,7,3625,1476,1319,157,14009,3015,328,187,5761
Fannin,2/3,6325,3757,2684,1073,27641,6356,962,614,10494
Fayette,7,1400,1502,1280,222,20436,6020,998,647,6949
Fisher,2/3,400,311,298,13,3156,917,101,28,1117
Floyd,1,600,622,556,66,4453,1080,132,68,1761
Foard,2/3,300,218,196,22,988,322,7,80,342
Fort Bend,6/5S,84475,77709,61525,16184,560888,74956,24721,4977,163273
Franklin,4/5N,900,693,565,128,8375,2293,169,163,2822
Freestone,7,1200,806,725,81,15656,3767,553,261,6361
Frio,8,3475,2128,1696,432,15391,2285,186,166,6540
Gaines,9/10,1200,1031,750,281,13837,1739,323,95,5892
Galveston,6/5S,45700,41021,31921,9100,257226,44170,11784,2830,94171
Garza,1,400,217,185,32,5247,708,33,75,2165
Gillespie,8,5500,3376,2706,670,21640,7573,1175,706,6752
Glasscock,9/10,0,104,98,6,1066,206,23,0,412
Goliad,8,100,781,670,111,6085,1629,39,135,2286
Gonzales,8,1600,1325,1036,289,15705,3351,550,256,6350
Gray,1,1400,2029,1490,539,17544,3562,689,315,7285
Grayson,2/3,22500,11976,8835,3141,101210,22230,9338,2131,38463
Gregg,4/5N,20375,7823,5785,2038,94630,18206,7025,2324,37524
Grimes,7,1400,1537,1197,340,21992,4574,234,311,9284
Guadalupe,8,14650,9421,6803,2618,119599,20632,3801,1225,45624
Hale,1,2900,2837,2115,722,25683,4434,873,399,10752
Hall,1,0,385,335,50,2476,719,27,72,1014
Hamilton,7,1600,2195,1671,524,6706,2085,481,296,2394
Hansford,1,600,714,512,202,4110,801,139,84,1684
Hardeman,2/3,1000,871,730,141,3190,822,102,16,1191
Hardin,6/5S,5400,3572,2947,625,43970,9078,1003,527,15981
Harris,6/5S,666400,410407,314220,96187,3508328,451182,225769,27623,1394059
Harrison,4/5N,3800,2935,2369,566,51597,10673,3063,608,20830
Hartley,1,1475,524,497,27,4650,803,196,94,1735
Haskell,2/3,500,767,689,78,4804,1263,123,68,1859
Hays,7,21575,18894,14699,4195,162285,21165,5488,1907,55178
Hemphill,1,1300,722,431,291,2920,557,104,98,1134
Henderson,4/5N,4100,4387,3454,933,64810,17351,2043,998,25865
Hidalgo,11,123725,69161,53627,15534,596338,90198,54962,17074,277365
Hill,7,1900,2521,2051,470,27788,7225,862,523,10878
Hockley,1,1200,1745,1341,404,17697,3243,483,263,6880
Hood,2/3,4000,3172,2420,752,45943,13731,1720,867,15623
Hopkins,4/5N,2800,2190,1851,339,28122,6369,1192,620,10898
Houston,4/5N,2000,1697,1327,370,18932,4898,634,538,7550
Howard,9/10,2900,1837,1311,526,29022,4506,1456,454,12037
Hudspeth,9/10,100,265,211,54,3380,633,33,0,1525
Hunt,2/3,7150,7432,5102,2330,72504,14443,4112,947,29089
Hutchinson,1,800,1598,1320,278,16624,3444,504,246,6340
Irion,9/10,0,111,91,20,1248,316,15,0,442
Jack,2/3,1100,598,424,174,7119,1426,198,149,2721
Jackson,8,2775,1876,1431,445,11500,2563,380,237,4317
Jasper,4/5N,7100,2647,2457,190,27762,6745,1597,374,11770
Jeff Davis,9/10,200,263,243,20,2090,720,28,0,686
Jefferson,6/5S,27750,11454,9578,1876,201245,35410,13127,2431,93531
Jim Hogg,11,200,657,597,60,3800,884,14,60,1580
Jim Wells,11,4725,4530,3965,565,30844,6040,3897,985,12774
Johnson,2/3,4700,10349,8101,2248,125290,22292,3559,1471,49748
Jones,2/3,500,1109,943,166,16890,2960,337,254,7035
Karnes,8,1800,1232,1065,167,12599,2155,370,244,5170
Kaufman,2/3,4750,8712,6422,2290,89077,14015,2857,1189,35354
Kendall,8,2300,4494,3299,1195,33387,7902,1091,801,11264
Kenedy,11,0,107,102,5,332,80,1,0,138
Kent,2/3,0,88,81,7,617,205,13,60,197
Kerr,8,4700,3845,2810,1035,42636,13836,2805,1022,13882
Kimble,9/10,500,505,438,67,3704,1256,90,0,1288
King,1,0,25,19,6,221,50,7,0,77
Kinney,8,200,362,351,11,3043,889,11,0,1178
Kleberg,11,7225,5006,4581,425,24557,3997,1401,341,9458
Knox,2/3,700,500,383,117,2836,705,95,127,1004
La Salle,8,3425,1428,1372,56,6224,1014,22,60,2417
Lamar,4/5N,4400,4697,3536,1161,39046,9302,3115,745,15021
Lamb,1,400,1478,1251,227,9952,2150,454,226,4127
Lampasas,7,800,1031,859,172,16398,3831,348,284,6221
Lavaca,8,2100,1859,1289,570,15734,4525,820,612,5425
Lee,7,800,951,723,228,13736,3030,334,226,5299
Leon,7,700,768,599,169,13735,4066,155,74,4689
Liberty,6/5S,7225,3675,3022,653,62895,10468,1398,614,27000
Limestone,7,1700,1075,970,105,18743,4350,2332,1060,7614
Lipscomb,1,200,337,244,93,2656,552,24,61,1016
Live Oak,11,300,901,835,66,9914,2426,35,100,3751
Llano,7,1200,1686,1443,243,17808,7290,277,358,5227
Loving,9/10,0,25,24,1,72,9,0,0,30
Lubbock,1,84600,52562,40735,11827,236917,35987,20974,4093,81176
Lynn,1,400,603,500,103,4411,1014,191,40,1773
Madison,7,700,586,404,182,11441,2163,299,258,4426
Marion,4/5N,0,336,250,86,8483,2562,351,158,3245
Martin,9/10,600,791,710,81,4061,637,165,0,1599
Mason,9/10,200,464,336,128,3404,1185,104,0,1121
Matagorda,6/5S,2800,1705,1401,304,28584,5960,1113,369,11810
Maverick,8,6200,3429,2865,564,41728,6497,2970,1198,18532
McCulloch,9/10,1000,429,402,27,6527,1777,212,122,2328
McLennan,7,27950,21238,17179,4059,193025,34382,11153,3621,69962
McMullen,11,100,80,76,4,652,175,10,0,225
Medina,8,1900,3846,2965,881,39115,7889,899,536,15457
Menard,9/10,100,285,226,59,1755,622,9,40,571
Midland,9/10,22525,13882,11137,2745,121977,16726,5950,1288,46310
Milam,7,2200,1763,1453,310,19285,4857,532,297,7632
Mills,7,200,599,438,161,3951,1305,149,152,1334
Mitchell,2/3,900,567,339,228,6926,1230,265,96,2751
Montague,2/3,1375,2083,1886,197,15437,4202,560,383,5573
Montgomery,6/5S,67950,32076,24053,8023,424256,69108,20255,3836,144900
Moore,1,1300,2080,1580,500,15429,2298,448,176,6395
Morris,4/5N,500,661,468,193,9906,2616,77,179,3791
Motley,1,0,168,145,23,991,360,22,50,322
Nacogdoches,4/5N,7300,7272,5576,1696,51860,9040,2530,755,20425
Navarro,2/3,5500,4896,4263,633,37032,8072,1720,869,15378
Newton,4/5N,900,784,697,87,11585,2778,55,113,4861
Nolan,2/3,2100,1778,1562,216,11545,2645,519,251,4406
Nueces,11,57300,32099,22362,9737,281603,49323,25582,4100,114746
Ochiltree,1,1000,872,675,197,7310,1075,200,114,2943
Oldham,1,300,297,237,60,1634,305,18,0,615
Orange,6/5S,1600,2412,2033,379,65886,13036,1456,548,27006
Palo Pinto,2/3,1700,1334,1135,199,22297,5329,864,283,8620
Panola,4/5N,1500,1104,951,153,18495,4164,473,377,7352
Parker,2/3,11450,11203,9108,2095,100892,19524,2890,1301,36941
Parmer,1,800,1073,896,177,7251,1292,161,174,2962
Pecos,9/10,1900,2104,1606,498,12300,1991,400,120,5113
Polk,4/5N,3700,2545,2121,424,38985,8785,1184,574,15885
Potter,1,69025,19728,14569,5159,90612,14346,10224,1770,36913
Presidio,9/10,700,947,873,74,5397,1578,27,0,2246
Rains,4/5N,200,638,485,153,9351,2703,163,68,3390
Randall,1,6000,29984,21648,8336,103986,18786,2812,869,34080
Reagan,9/10,200,286,249,37,2737,400,52,42,1136
Real,8,0,458,367,91,2887,987,25,86,1056
Red River,4/5N,500,1214,1084,130,10039,2941,420,252,3812
Reeves,9/10,3725,2587,2318,269,12204,1820,281,89,5026
Refugio,11,600,1114,750,364,5728,1501,228,154,2164
Roberts,1,0,90,55,35,715,171,16,0,257
Robertson,7,800,905,722,183,13256,3187,252,252,4994
Rockwall,2/3,6275,8449,6523,1926,71048,11084,3750,1347,24705
Runnels,2/3,1500,1133,846,287,8197,2086,405,312,3019
Rusk,4/5N,1900,2016,1639,377,42065,8465,1501,759,16934
Sabine,4/5N,1300,1076,977,99,8680,3137,572,186,3043
San Augustine,4/5N,1200,542,462,80,6838,2101,415,337,2676
San Jacinto,4/5N,1600,1386,1205,181,22409,5868,132,190,9048
San Patricio,11,2100,4567,3729,838,51113,9600,975,347,19345
San Saba,7,200,142,123,19,4856,1335,33,72,1820
Schleicher,9/10,200,134,103,31,2307,531,65,34,849
Scurry,2/3,2950,1653,1512,141,13399,2498,399,128,5396
Shackelford,2/3,300,224,198,26,2654,652,52,0,977
Shelby,4/5N,1700,1154,862,292,19553,4305,540,369,8051
Sherman,1,500,296,275,21,2306,449,24,42,880
Smith,4/5N,53900,25827,19179,6648,175559,35667,19690,3030,61133
Somervell,2/3,600,742,557,185,6946,1596,457,220,2611
Starr,11,5300,4357,3090,1267,45022,7148,4479,1999,20831
Stephens,2/3,800,410,376,34,7548,1806,168,92,2974
Sterling,9/10,100,83,76,7,999,203,10,44,378
Stonewall,2/3,500,175,132,43,1105,350,63,53,380
Sutton,9/10,300,351,318,33,3045,647,91,0,1110
Swisher,1,500,959,768,191,5776,1332,114,61,2373
Tarrant,2/3,326175,148836,120518,28318,1541750,216595,86106,18386,569817
Taylor,2/3,21200,17045,12715,4330,106114,19227,11065,2465,36579
Terrell,9/10,0,227,203,24,678,219,10,0,247
Terry,1,2475,1965,1519,446,9646,1878,345,178,4156
Throckmorton,2/3,500,403,345,58,1246,397,64,0,422
Titus,4/5N,3100,1769,1263,506,24029,4460,1811,633,9843
Tom Green,9/10,19600,14005,10748,3257,92673,17521,6702,1601,33142
Travis,7,171600,109655,82082,27573,963091,110187,51820,8264,294252
Trinity,4/5N,1775,792,653,139,11987,3757,347,241,4444
Tyler,4/5N,2000,1602,1280,322,17802,4634,476,238,6979
Upshur,4/5N,1100,1778,1354,424,32159,7217,714,567,12247
Upton,9/10,400,632,484,148,2722,491,170,30,1124
Uvalde,8,5025,4048,3482,566,20411,4408,1498,515,8322
Val Verde,8,4750,4560,3963,597,36384,6900,2610,490,14388
Van Zandt,4/5N,2600,3597,2748,849,43390,10864,1280,711,16263
Victoria,8,11475,8820,6464,2356,71259,14021,5624,1030,27646
Walker,6/5S,4600,3545,2805,740,62112,8795,1526,400,24579
Waller,6/5S,2800,1997,1631,366,39168,5749,1182,466,15272
Ward,9/10,500,909,723,186,8614,1627,137,92,3403
Washington,7,11000,3099,2590,509,28088,7221,2581,1018,10496
Webb,11,39400,26016,20600,5416,190484,24275,12073,1646,86429
Wharton,6/5S,2400,2151,1716,435,32008,6782,1438,615,13118
Wheeler,1,700,627,512,115,4218,1002,200,114,1611
Wichita,2/3,24750,16411,12702,3709,104850,18717,8664,2030,42205
Wilbarger,2/3,5400,2756,1951,805,10280,2262,457,304,4282
Willacy,11,700,1772,1529,243,17033,2912,325,557,7767
Williamson,7,55750,45985,34193,11792,404144,60672,14404,4639,130519
Wilson,8,3700,4442,3106,1336,37953,7321,1224,615,13356
Winkler,9/10,400,596,557,39,5766,909,102,0,2380
Wise,2/3,6150,6125,3792,2333,50287,9488,3589,552,20767
Wood,4/5N,2000,2916,2385,531,36181,11628,1046,880,12547
Yoakum,1,600,892,563,329,6085,998,225,60,2360
Young,2/3,2100,1515,1177,338,14206,3499,862,431,5428
Zapata,11,700,1027,927,100,10050,1772,195,202,4735
Zavala,8,200,1371,1226,145,8900,1633,25,60,4120
*Other,N/A,9775,296009,235556,60453,,,,,
,,,,,,,,,,
