County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Collin,2/3,108975,97765,76636,21129,774920,110185,38139,7817,229334
Collingsworth,1,500,520,365,155,2271,549,80,92,854
Colorado,6/5S,2200,2327,1946,381,16919,4730,853,477,5924
Comal,8,15300,15553,12152,3401,118601,26791,5457,1845,36724
Comanche,2/3,1875,1897,1444,453,10873,3313,330,292,3712
Concho,9/10,100,285,241,44,2240,687,76,66,792
Cooke,2/3,3100,3082,2173,909,32099,7538,948,552,11495
Coryell,7,5125,4340,3502,838,59473,7691,1178,610,22525
Cottle,2/3,0,121,89,32,1111,332,5,0,443
Crane,9/10,1175,606,491,115,3518,568,71,110,1348
Crockett,9/10,0,601,441,160,2661,593,31,56,1024
Crosby,1,1375,1282,1093,189,4409,1077,98,115,1769
Culberson,9/10,400,340,270,70,1752,473,67,0,729
Dallam,1,2850,1352,1243,109,5199,828,40,0,2072
Dallas,2/3,362525,233885,183599,50286,2016277,282281,142713,21399,730012
Dawson,9/10,700,812,682,130,9707,1885,304,112,4169
Deaf Smith,1,1900,1838,1258,580,13521,2388,238,147,5388
Delta,4/5N,200,416,330,86,4219,1098,379,100,1589
Denton,2/3,91100,50379,37552,12827,671841,87480,23806,5913,249522
DeWitt,8,800,1257,945,312,16085,3981,319,438,6125
Dickens,1,0,256,236,20,1855,504,21,0,698
Dimmit,8,4025,2228,2042,186,7570,1701,238,175,3222
Donley,1,200,480,360,120,2749,793,27,65,939
Duval,11,600,1354,1146,208,8615,2014,69,150,3558
Eastland,2/3,1100,1662,1170,492,14892,4009,860,389,5376
Ector,9/10,25100,17331,13112,4219,117633,15637,5303,1016,49264
Edwards,8,0,184,136,48,1507,550,24,0,508
El Paso,9/10,134575,120359,89089,31270,636010,102259,35065,8383,244992
Ellis,2/3,11300,14746,11182,3564,136950,23008,3985,1994,52869
Erath,2/3,1800,2836,2223,613,34464,6030,1250,481,12483
Falls,7,3625,1573,1383,190,14024,3131,328,187,5708
Fannin,2/3,6325,4035,2890,1145,28568,6502,962,614,10879
Fayette,7,1400,1819,1536,283,20745,6410,998,647,6909
Fisher,2/3,400,323,297,26,3098,949,101,28,1072
Floyd,1,600,841,608,233,4390,1081,132,68,1727
Foard,2/3,300,263,234,29,987,317,7,80,344
Fort Bend,6/5S,84475,85128,65489,19639,596689,87333,24721,4977,171144
Franklin,4/5N,900,724,588,136,8579,2356,169,163,2887
Freestone,7,1200,948,751,197,15830,3922,553,261,6371
Frio,8,3475,2291,1787,504,16032,2446,186,166,6779
Gaines,9/10,1200,1329,793,536,14112,1879,323,95,5957
Galveston,6/5S,45700,44102,33650,10452,265404,48664,11784,2830,95799
Garza,1,400,324,281,43,5277,717,33,75,2175
Gillespie,8,5500,3864,3129,735,22039,7956,1175,706,6760
Glasscock,9/10,0,259,249,10,1083,212,23,0,417
Goliad,8,100,874,749,125,6195,1763,39,135,2274
Gonzales,8,1600,2028,1554,474,15812,3488,550,256,6335
Gray,1,1400,2240,1554,686,17024,3538,689,315,7026
Grayson,2/3,22500,12877,9269,3608,105559,23497,9338,2131,39964
Gregg,4/5N,20375,9956,7774,2182,94815,19019,7025,2324,37216
Grimes,7,1400,1702,1303,399,22728,4915,234,311,9494
Guadalupe,8,14650,13319,10309,3010,127337,22631,3801,1225,48269
Hale,1,2900,3184,2232,952,25531,4518,873,399,10633
Hall,1,0,463,352,111,2423,704,27,72,992
Hamilton,7,1600,2247,1696,551,6826,2117,481,296,2439
Hansford,1,600,726,517,209,4043,802,139,84,1650
Hardeman,2/3,1000,1024,742,282,3193,883,102,16,1162
Hardin,6/5S,5400,4216,3309,907,44673,9498,1003,527,16110
Harris,6/5S,666400,448023,331341,116682,3566488,492557,225769,27623,1401713
Harrison,4/5N,3800,3418,2671,747,51725,11281,3063,608,20586
Hartley,1,1475,564,521,43,4548,832,196,94,1676
Haskell,2/3,500,821,742,79,4822,1273,123,68,1863
Hays,7,21575,21241,16474,4767,177006,24444,5488,1907,59652
Hemphill,1,1300,885,556,329,2822,582,104,98,1075
Henderson,4/5N,4100,4753,3734,1019,66599,18111,2043,998,26426
Hidalgo,11,123725,89266,67927,21339,612794,95670,54962,17074,283384
Hill,7,1900,2900,2372,528,28703,7467,862,523,11234
Hockley,1,1200,2435,1950,485,17708,3386,483,263,6817
Hood,2/3,4000,4501,3634,867,48893,14836,1720,867,16518
Hopkins,4/5N,2800,2264,1906,358,28777,6704,1192,620,11059
Houston,4/5N,2000,1960,1403,557,19012,5093,634,538,7488
Howard,9/10,2900,2081,1431,650,29004,4677,1456,454,11945
Hudspeth,9/10,100,320,256,64,3863,722,33,0,1743
Hunt,2/3,7150,7815,5410,2405,76213,15306,4112,947,30514
Hutchinson,1,800,1765,1391,374,16356,3514,504,246,6177
Irion,9/10,0,130,103,27,1221,322,15,0,426
Jack,2/3,1100,1051,807,244,7131,1495,198,149,2694
Jackson,8,2775,2010,1518,492,11465,2657,380,237,4254
Jasper,4/5N,7100,3315,2993,322,28143,7021,1597,374,11828
Jeff Davis,9/10,200,331,290,41,2136,785,28,0,677
Jefferson,6/5S,27750,13945,11052,2893,198652,36777,13127,2431,91298
Jim Hogg,11,200,753,680,73,3775,903,14,60,1557
Jim Wells,11,4725,4918,4261,657,30668,6286,3897,985,12557
Johnson,2/3,4700,11347,8611,2736,131756,24131,3559,1471,51983
Jones,2/3,500,1269,1035,234,16878,3107,337,254,6954
Karnes,8,1800,1383,1167,216,12681,2209,370,244,5184
Kaufman,2/3,4750,9839,7086,2753,96783,15360,2857,1189,38350
Kendall,8,2300,4899,3601,1298,36427,8666,1091,801,12270
Kenedy,11,0,113,105,8,339,63,1,0,151
Kent,2/3,0,90,82,8,593,199,13,60,189
Kerr,8,4700,4482,3345,1137,43569,14444,2805,1022,14038
Kimble,9/10,500,588,520,68,3673,1266,90,0,1266
King,1,0,32,25,7,209,48,7,0,73
Kinney,8,200,407,393,14,3084,899,11,0,1195
Kleberg,11,7225,5907,5440,467,24154,4004,1401,341,9269
Knox,2/3,700,720,597,123,2794,722,95,127,976
La Salle,8,3425,1738,1666,72,6190,1015,22,60,2401
Lamar,4/5N,4400,5387,4130,1257,39263,9608,3115,745,14976
Lamb,1,400,1625,1336,289,9866,2200,454,226,4055
Lampasas,7,800,1179,980,199,17054,4147,348,284,6389
Lavaca,8,2100,2204,1525,679,15912,4689,820,612,5432
Lee,7,800,1156,895,261,13842,3134,334,226,5300
Leon,7,700,864,634,230,13838,4230,155,74,4660
Liberty,6/5S,7225,3949,3149,800,65463,11042,1398,614,28027
Limestone,7,1700,1223,1025,198,18756,4551,2332,1060,7514
Lipscomb,1,200,408,306,102,2584,606,24,61,955
Live Oak,11,300,1053,953,100,10027,2505,35,100,3769
Llano,7,1200,1818,1533,285,18691,7818,277,358,5404
Loving,9/10,0,27,26,1,105,15,0,0,43
Lubbock,1,84600,56726,42783,13943,242390,38150,20974,4093,82513
Lynn,1,400,672,534,138,4446,981,191,40,1809
Madison,7,700,618,430,188,11656,2219,299,258,4501
Marion,4/5N,0,384,285,99,8348,2627,351,158,3135
Martin,9/10,600,1113,837,276,4110,642,165,0,1620
Mason,9/10,200,512,380,132,3501,1224,104,0,1150
Matagorda,6/5S,2800,1908,1535,373,28184,6222,1113,369,11464
Maverick,8,6200,3989,3258,731,42252,6857,2970,1198,18618
McCulloch,9/10,1000,587,503,84,6423,1788,212,122,2271
McLennan,7,27950,23616,19049,4567,198527,36571,11153,3621,71423
McMullen,11,100,86,81,5,611,178,10,0,204
Medina,8,1900,4121,3158,963,40600,8484,899,536,15897
Menard,9/10,100,325,264,61,1786,666,9,40,564
Midland,9/10,22525,16082,12912,3170,127791,17789,5950,1288,48401
Milam,7,2200,2020,1604,416,19684,5084,532,297,7723
Mills,7,200,646,464,182,3999,1382,149,152,1319
Mitchell,2/3,900,775,537,238,6964,1230,265,96,2770
Montague,2/3,1375,2330,2077,253,15658,4326,560,383,5621
Montgomery,6/5S,67950,35202,25337,9865,452615,77198,20255,3836,153170
Moore,1,1300,2262,1637,625,15118,2343,448,176,6221
Morris,4/5N,500,719,488,231,9799,2681,77,179,3701
Motley,1,0,190,152,38,1019,378,22,50,327
Nacogdoches,4/5N,7300,8148,5794,2354,51643,9661,2530,755,20025
Navarro,2/3,5500,5605,4835,770,37869,8481,1720,869,15605
Newton,4/5N,900,1037,910,127,11380,2848,55,113,4710
Nolan,2/3,2100,1976,1579,397,11357,2706,519,251,4282
Nueces,11,57300,34903,23957,10946,283500,52248,25582,4100,114238
Ochiltree,1,1000,902,693,209,7104,1124,200,114,2823
Oldham,1,300,350,242,108,1709,312,18,0,647
Orange,6/5S,1600,3050,2535,515,65096,13377,1456,548,26428
Palo Pinto,2/3,1700,1615,1355,260,22932,5698,864,283,8755
Panola,4/5N,1500,1221,987,234,18383,4445,473,377,7150
Parker,2/3,11450,12192,9583,2609,107827,21275,2890,1301,39295
Parmer,1,800,1247,941,306,7266,1330,161,174,2950
Pecos,9/10,1900,2217,1715,502,12222,2080,400,120,5030
Polk,4/5N,3700,3424,2878,546,40971,9316,1184,574,16651
Potter,1,69025,21891,15169,6722,89345,14878,10224,1770,36042
Presidio,9/10,700,1087,990,97,5187,1605,27,0,2106
Rains,4/5N,200,687,516,171,9985,2975,163,68,3575
Randall,1,6000,32925,22509,10416,106760,20562,2812,869,34479
Reagan,9/10,200,328,262,66,2758,412,52,42,1140
Real,8,0,471,374,97,2958,1033,25,86,1070
Red River,4/5N,500,1353,1216,137,10022,2992,420,252,3775
Reeves,9/10,3725,3098,2740,358,12389,1873,281,89,5090
Refugio,11,600,1166,792,374,5593,1567,228,154,2061
Roberts,1,0,122,83,39,705,187,16,0,245
Robertson,7,800,1109,877,232,13548,3316,252,252,5075
Rockwall,2/3,6275,9549,7327,2222,76870,12578,3750,1347,26488
Runnels,2/3,1500,1281,909,372,8140,2126,405,312,2971
Rusk,4/5N,1900,2331,1890,441,43676,8964,1501,759,17495
Sabine,4/5N,1300,1230,1049,181,8839,3235,572,186,3077
San Augustine,4/5N,1200,625,505,120,6828,2204,415,337,2613
San Jacinto,4/5N,1600,1635,1309,326,23259,6279,132,190,9288
San Patricio,11,2100,5202,4199,1003,50902,9901,975,347,19106
San Saba,7,200,148,128,20,5006,1449,33,72,1839
Schleicher,9/10,200,155,110,45,2244,552,65,34,809
Scurry,2/3,2950,1401,1160,241,13034,2540,399,128,5195
Shackelford,2/3,300,281,249,32,2606,667,52,0,946
Shelby,4/5N,1700,1257,889,368,19457,4482,540,369,7907
Sherman,1,500,314,289,25,2309,457,24,42,878
Smith,4/5N,53900,26939,20022,6917,179746,37892,19690,3030,61990
Somervell,2/3,600,981,777,204,7253,1705,457,220,2707
Starr,11,5300,5397,3932,1465,45433,7257,4479,1999,20997
Stephens,2/3,800,433,387,46,7593,1861,168,92,2969
Sterling,9/10,100,93,82,11,985,186,10,44,380
Stonewall,2/3,500,182,138,44,1084,356,63,53,366
Sutton,9/10,300,383,323,60,2980,687,91,0,1062
Swisher,1,500,1121,879,242,5767,1311,114,61,2380
Tarrant,2/3,326175,165805,129201,36604,1595611,234503,86106,18386,585276
Taylor,2/3,21200,18812,14264,4548,106702,19783,11065,2465,36593
Terrell,9/10,0,229,204,25,665,246,10,0,226
Terry,1,2475,2394,1763,631,9311,1861,345,178,3986
Throckmorton,2/3,500,425,359,66,1248,420,64,0,412
Titus,4/5N,3100,1849,1292,557,24346,4711,1811,633,9876
Tom Green,9/10,19600,16139,11515,4624,92742,18201,6702,1601,32873
Travis,7,171600,121064,90368,30696,1005013,122852,51820,8264,304346
Trinity,4/5N,1775,968,723,245,12102,3898,347,241,4430
Tyler,4/5N,2000,2015,1380,635,17913,4803,476,238,6948
Upshur,4/5N,1100,2078,1623,455,32565,7592,714,567,12262
Upton,9/10,400,657,509,148,2677,514,170,30,1090
Uvalde,8,5025,4215,3502,713,20354,4476,1498,515,8257
Val Verde,8,4750,5197,4134,1063,36493,6977,2610,490,14404
Van Zandt,4/5N,2600,4067,2993,1074,44695,11290,1280,711,16703
Victoria,8,11475,10838,8140,2698,71227,14820,5624,1030,27245
Walker,6/5S,4600,3875,2968,907,63569,9638,1526,400,24862
Waller,6/5S,2800,2386,1919,467,42000,6253,1182,466,16336
Ward,9/10,500,1011,794,217,8713,1634,137,92,3447
Washington,7,11000,3854,3218,636,28752,7660,2581,1018,10609
Webb,11,39400,29893,22443,7450,194708,25899,12073,1646,87781
Wharton,6/5S,2400,2295,1794,501,32017,7064,1438,615,12976
Wheeler,1,700,696,540,156,4010,1001,200,114,1508
Wichita,2/3,24750,18659,13940,4719,105295,19385,8664,2030,42096
Wilbarger,2/3,5400,2957,2023,934,10315,2362,457,304,4247
Willacy,11,700,1947,1596,351,16950,3014,325,557,7665
Williamson,7,55750,51174,38111,13063,437838,68766,14404,4639,140247
Wilson,8,3700,4988,3401,1587,39683,7994,1224,615,13816
Winkler,9/10,400,648,557,91,5723,941,102,0,2343
Wise,2/3,6150,6357,3959,2398,53336,10147,3589,552,21983
Wood,4/5N,2000,3189,2564,625,37548,12176,1046,880,12965
Yoakum,1,600,926,591,335,6073,1012,225,60,2348
Young,2/3,2100,1614,1257,357,14172,3690,862,431,5314
Zapata,11,700,1118,996,122,9939,1838,195,202,4634
Zavala,8,200,1515,1358,157,8865,1690,25,60,4068
*Other,N/A,9775,314137,248886,65251,,,,,
,,,,,,,,,,
