County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Gillespie,8,1800,736,733,3,22728,8108,1453,706,10293
Glasscock,9/10,0,10,9,1,1108,296,28,0,491
Goliad,8,0,134,126,8,6615,2077,59,135,3059
Gonzales,8,1000,475,475,0,15931,3700,626,256,7818
Gray,1,1200,626,619,7,17050,3428,927,315,8475
Grayson,2/3,16275,3414,3374,40,107568,25224,10711,1989,49725
Gregg,4/5N,10750,2792,2545,247,97771,19676,10046,2328,45063
Grimes,7,900,401,397,4,23692,5592,422,311,11724
Guadalupe,8,5300,2980,2863,117,130156,24014,5123,1292,56504
Hale,1,2600,995,966,29,25066,4629,1308,399,12481
Hall,1,0,109,108,1,2399,745,42,72,1348
Hamilton,7,1200,550,550,0,6957,2150,503,296,3427
Hansford,1,400,215,213,2,3992,874,163,84,1970
Hardeman,2/3,500,288,283,5,3017,769,118,16,1552
Hardin,6/5S,3400,871,862,9,47640,10521,1237,527,19766
Harris,6/5S,363100,110095,100737,9358,3573784,490810,281834,27084,1572384
Harrison,4/5N,2200,870,800,70,53015,11647,3586,608,25401
Hartley,1,500,42,41,1,4850,899,203,94,2001
Haskell,2/3,100,145,143,2,4635,1242,136,68,2483
Hays,7,9750,4659,4560,99,183387,29281,7680,1557,67042
Hemphill,1,800,334,334,0,2788,547,113,98,1271
Henderson,4/5N,3100,1044,1017,27,67614,18942,2628,932,35206
Hidalgo,11,63175,14558,14151,407,649795,102347,62827,16918,319830
Hill,7,900,584,578,6,29221,8003,1219,523,14733
Hockley,1,800,541,507,34,17482,3513,795,263,8124
Hood,2/3,2100,893,881,12,50235,15761,2493,862,23089
Hopkins,4/5N,1100,682,678,4,29578,7446,1680,620,13891
Houston,4/5N,1500,633,632,1,19208,5038,1114,426,9989
Howard,9/10,2100,678,673,5,28821,4493,1826,454,14072
Hudspeth,9/10,0,57,57,0,2968,818,35,0,2097
Hunt,2/3,4800,2319,2262,57,77702,16832,4485,947,36713
Hutchinson,1,500,364,359,5,15984,3458,545,246,7583
Irion,9/10,0,23,21,2,1345,412,19,0,563
Jack,2/3,300,241,235,6,7488,1604,226,149,3304
Jackson,8,1200,496,487,9,11172,2670,422,237,5354
Jasper,4/5N,1900,454,452,2,28248,7271,1952,374,15256
Jeff Davis,9/10,0,44,44,0,2146,846,29,0,1042
Jefferson,6/5S,14650,2385,2367,18,198728,36802,16838,2497,109233
Jim Hogg,11,0,71,71,0,3764,898,35,60,1972
Jim Wells,11,1000,730,719,11,29988,6423,4090,1033,15173
Johnson,2/3,2700,2590,2427,163,135188,26669,5142,1260,61261
Jones,2/3,100,245,211,34,16827,3127,400,340,8290
Karnes,8,700,224,221,3,12523,2489,396,244,6085
Kaufman,2/3,3250,2608,2372,236,104736,19164,4062,1176,43786
Kendall,8,2200,1286,1208,78,38074,9979,2094,801,15516
Kenedy,11,0,7,7,0,315,94,1,0,176
Kent,2/3,0,47,47,0,633,235,14,60,275
Kerr,8,3000,968,968,0,43611,14400,3557,1022,20395
Kimble,9/10,200,64,63,1,3844,1379,104,0,1891
King,1,0,6,6,0,233,60,5,0,93
Kinney,8,0,24,24,0,2931,889,19,0,1673
Kleberg,11,800,496,489,7,25862,4574,1835,341,10851
Knox,2/3,300,176,174,2,2861,823,117,127,1265
La Salle,8,100,72,70,2,6105,1224,37,60,2810
Lamar,4/5N,2900,1172,1164,8,40212,10314,3737,745,19135
Lamb,1,200,281,266,15,9647,2400,541,226,5028
Lampasas,7,200,212,210,2,17275,4497,436,284,8188
Lavaca,8,1400,724,717,7,16041,4537,881,620,7426
Lee,7,600,252,250,2,13837,3373,363,226,6632
Leon,7,500,229,228,1,14066,4292,256,74,6485
Liberty,6/5S,3300,794,751,43,70912,13765,2505,614,32693
Limestone,7,1000,338,337,1,19033,4691,2488,1060,9655
Lipscomb,1,0,86,86,0,2496,636,31,61,1202
Live Oak,11,100,106,106,0,9966,2656,55,100,4881
Llano,7,100,261,259,2,18642,7523,340,358,9093
Loving,9/10,0,2,2,0,83,34,1,0,47
Lubbock,1,53050,16599,14345,2254,243899,41235,24699,4151,94573
Lynn,1,200,167,153,14,4820,1113,212,40,2246
Madison,7,500,171,169,2,11353,2256,314,258,5423
Marion,4/5N,0,83,77,6,8117,2491,372,158,4457
Martin,9/10,300,249,241,8,4306,880,184,0,1849
Mason,9/10,200,127,126,1,3567,1322,126,0,1710
Matagorda,6/5S,2300,323,319,4,28353,6359,1540,369,14206
Maverick,8,1200,619,618,1,42357,7656,3716,1198,21160
McCulloch,9/10,400,71,71,0,6675,2024,303,122,3045
McLennan,7,11400,4661,4561,100,198642,37827,14401,3591,84638
McMullen,11,0,7,7,0,640,256,13,0,288
Medina,8,600,900,882,18,42991,9239,1165,811,19399
Menard,9/10,0,51,50,1,1759,687,15,40,887
Midland,9/10,6300,2902,2208,694,132357,17262,7414,1391,54263
Milam,7,1200,370,369,1,19805,5508,693,254,10021
Mills,7,200,190,189,1,3970,1369,186,152,1970
Mitchell,2/3,600,259,258,1,7087,1476,310,96,3086
Montague,2/3,200,274,250,24,15803,4504,678,383,7509
Montgomery,6/5S,35575,8911,8420,491,470846,84212,25684,3769,177437
Moore,1,800,573,566,7,15513,2464,477,176,7114
Morris,4/5N,300,239,235,4,9938,2901,146,179,4953
Motley,1,0,34,34,0,1016,403,20,50,504
Nacogdoches,4/5N,5100,2219,2213,6,52561,10458,3380,851,24062
Navarro,2/3,1800,714,702,12,40888,9624,2099,869,19328
Newton,4/5N,400,148,148,0,11070,2715,101,113,6051
Nolan,2/3,700,453,438,15,10998,2627,692,251,5398
Nueces,11,29675,11431,10984,447,282299,51768,30463,4100,135074
Ochiltree,1,500,205,205,0,7508,1186,218,114,3211
Oldham,1,0,96,90,6,1714,417,20,0,743
Orange,6/5S,800,480,477,3,65680,14828,2217,554,32089
Palo Pinto,2/3,600,363,358,5,23268,5869,1093,283,11269
Panola,4/5N,1100,196,187,9,19325,4774,784,377,9112
Parker,2/3,4900,2756,2637,119,112329,24963,4236,1301,47252
Parmer,1,500,337,333,4,7111,1387,171,174,3503
Pecos,9/10,1100,525,522,3,11723,2090,458,120,5876
Polk,4/5N,2400,604,596,8,41511,10157,1578,574,20999
Potter,1,35950,7452,6983,469,89806,16187,12650,1877,41999
Presidio,9/10,100,101,101,0,5092,1503,38,0,3005
Rains,4/5N,200,192,184,8,10262,3084,221,68,4960
Randall,1,4500,11434,10611,823,109144,21784,4683,869,41519
Reagan,9/10,100,74,73,1,2900,544,62,42,1287
Real,8,0,30,29,1,2882,1135,27,86,1608
Red River,4/5N,0,148,148,0,9511,2902,490,252,5235
Reeves,9/10,400,297,296,1,13004,2131,308,89,5885
Refugio,11,600,339,338,1,5497,1635,242,64,2785
Roberts,1,0,40,40,0,673,210,20,0,323
Robertson,7,500,217,215,2,14216,3542,273,252,6514
Rockwall,2/3,3500,2001,1868,133,81869,14227,4867,1327,30252
Runnels,2/3,800,501,461,40,7992,2310,499,312,3905
Rusk,4/5N,900,451,427,24,44061,9463,1914,749,21319
Sabine,4/5N,1100,185,184,1,9116,3288,790,186,4721
San Augustine,4/5N,800,103,103,0,6982,2335,413,337,3730
San Jacinto,4/5N,900,323,319,4,23713,6477,230,190,12311
San Patricio,11,700,1008,970,38,51382,10700,1409,396,22807
San Saba,7,200,23,23,0,5108,1536,95,72,2501
Schleicher,9/10,200,94,87,7,2184,564,71,34,1028
Scurry,2/3,500,346,345,1,12956,2503,560,128,6242
Shackelford,2/3,0,44,35,9,2694,694,122,0,1223
Shelby,4/5N,1200,306,306,0,18618,4285,754,369,9951
Sherman,1,0,26,25,1,2368,524,34,42,1047
Smith,4/5N,30400,7074,6831,243,181426,38833,24195,2911,75818
Somervell,2/3,0,151,143,8,7769,2079,263,220,3417
Starr,11,2200,1483,1474,9,46042,7973,5154,1966,23826
Stephens,2/3,200,57,53,4,7614,1989,282,92,3830
Sterling,9/10,0,33,32,1,1019,306,9,44,445
Stonewall,2/3,200,53,51,2,1136,425,66,80,533
Sutton,9/10,0,40,37,3,2909,758,102,0,1326
Swisher,1,100,266,264,2,5843,1484,146,61,2985
Tarrant,2/3,158275,38395,36659,1736,1596169,246738,117603,18366,660059
Taylor,2/3,10350,5460,4352,1108,108531,20790,13362,2443,43683
Terrell,9/10,0,27,27,0,652,245,13,0,356
Terry,1,1300,538,530,8,9564,1942,478,178,4766
Throckmorton,2/3,100,70,70,0,1187,400,68,0,605
Titus,4/5N,1900,556,553,3,25312,5155,2112,633,11794
Tom Green,9/10,9550,4704,3356,1348,93428,18529,7802,1606,39665
Travis,7,96050,31028,29381,1647,1016090,126607,72623,8271,337286
Trinity,4/5N,800,228,228,0,12118,3960,400,241,6368
Tyler,4/5N,1000,636,636,0,18704,5080,627,238,9278
Upshur,4/5N,400,514,470,44,33211,7910,852,567,15425
Upton,9/10,200,145,145,0,2790,680,189,30,1304
Uvalde,8,1500,760,758,2,20809,4433,1687,459,10179
Val Verde,8,1800,1108,1107,1,38039,7591,3134,490,17165
Van Zandt,4/5N,2000,841,788,53,45144,12228,1691,711,21537
Victoria,8,6150,2877,2608,269,72004,14413,6748,1008,33178
Walker,6/5S,2700,893,884,9,64302,10281,2415,400,28400
Waller,6/5S,1600,479,464,15,44163,7506,1476,466,18373
Ward,9/10,300,209,208,1,8544,1608,180,92,4073
Washington,7,1900,646,640,6,28737,7674,2867,1018,13829
Webb,11,25400,7177,7094,83,205887,27759,14457,1766,96319
Wharton,6/5S,1000,431,418,13,31964,7399,1057,615,16049
Wheeler,1,200,123,123,0,4018,1136,230,114,1950
Wichita,2/3,14950,4415,4019,396,106550,21428,10503,2088,50159
Wilbarger,2/3,2800,927,915,12,9933,2483,540,304,5328
Willacy,11,100,304,292,12,16823,3062,269,557,9035
Williamson,7,26875,13732,13329,403,457170,74290,20968,4643,160153
Wilson,8,2700,1651,1595,56,42030,9149,1516,615,16633
Winkler,9/10,200,84,84,0,5798,967,135,0,2663
Wise,2/3,4050,2654,2340,314,55570,11830,4112,552,26139
Wood,4/5N,1400,757,745,12,37205,12511,1107,790,18613
Yoakum,1,300,341,337,4,6336,1174,251,60,2690
Young,2/3,1600,481,481,0,15028,4183,1057,431,6955
Zapata,11,200,118,116,2,10088,1870,270,143,5427
Zavala,8,100,161,161,0,8768,1675,58,60,4807
*Other,N/A,0,47756,44758,2998,0,0,0,0,0
