County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Collingsworth,1,300,405,340,65,2451,685,80,92,876
Colorado,6/5S,1600,1384,1223,161,16882,4927,853,477,5810
Comal,8,9700,9908,7391,2517,122316,29374,5457,1845,37177
Comanche,2/3,1775,1838,1403,435,10333,3319,330,292,3444
Concho,9/10,100,215,191,24,3656,847,76,66,1433
Cooke,2/3,1900,2119,1879,240,32061,8164,948,552,11184
Coryell,7,3750,3393,2955,438,61429,7340,1178,610,23529
Cottle,2/3,0,60,49,11,1240,450,5,0,450
Crane,9/10,1175,505,401,104,4793,899,71,110,1780
Crockett,9/10,0,381,370,11,3170,903,31,56,1122
Crosby,1,1175,889,757,132,5020,1466,98,115,1887
Culberson,9/10,400,165,124,41,1820,571,67,0,712
Dallam,1,1475,981,907,74,5258,703,40,0,2159
Dallas,2/3,299125,173365,140442,32923,2114319,310440,142713,21399,759433
Dawson,9/10,600,630,579,51,10637,2054,304,112,4575
Deaf Smith,1,1700,1334,1065,269,13191,2358,238,147,5243
Delta,4/5N,0,275,211,64,4362,1380,379,100,1518
Denton,2/3,54125,37472,29028,8444,740206,105630,23806,5913,270964
DeWitt,8,800,916,710,206,17638,4589,319,438,6603
Dickens,1,0,160,148,12,1878,591,21,0,665
Dimmit,8,2750,1622,1496,126,8764,1840,238,175,3801
Donley,1,100,352,318,34,2774,876,27,65,911
Duval,11,300,1047,942,105,9023,2267,69,150,3641
Eastland,2/3,900,1182,934,248,14611,4258,860,389,5114
Ector,9/10,19900,14084,11794,2290,140862,19134,5303,1016,58795
Edwards,8,0,143,115,28,1626,612,24,0,538
El Paso,9/10,108125,97382,78519,18863,664164,120770,35065,8383,249418
Ellis,2/3,4800,9174,7108,2066,140959,26556,3985,1994,53083
Erath,2/3,1000,1988,1640,348,34043,6437,1250,481,12119
Falls,7,2650,1225,1111,114,13589,3260,328,187,5412
Fannin,2/3,4650,3178,2448,730,28488,7569,962,614,10313
Fayette,7,1400,1240,1086,154,21033,6884,998,647,6820
Fisher,2/3,200,283,270,13,3226,1064,101,28,1079
Floyd,1,200,466,426,40,4468,1287,132,68,1660
Foard,2/3,100,200,182,18,1016,352,7,80,341
Fort Bend,6/5S,50575,66642,54231,12411,681745,114245,24721,4977,190680
Franklin,4/5N,400,592,482,110,8474,2221,169,163,2901
Freestone,7,1100,733,677,56,15926,4038,553,261,6360
Frio,8,2475,1995,1661,334,16062,2760,186,166,6638
Gaines,9/10,1200,922,704,218,16010,2446,323,95,6606
Galveston,6/5S,38225,36853,28585,8268,284584,55792,11784,2830,101126
Garza,1,100,182,159,23,5585,812,33,75,2277
Gillespie,8,4300,2759,2299,460,21871,7882,1175,706,6715
Glasscock,9/10,0,88,83,5,1120,311,23,0,388
Goliad,8,100,717,625,92,6430,2076,39,135,2234
Gonzales,8,1600,1177,991,186,16466,3941,550,256,6438
Gray,1,1300,1439,1304,135,19064,3822,689,315,7941
Grayson,2/3,21800,10393,8039,2354,105377,25679,9338,2131,38813
Gregg,4/5N,16050,7529,5675,1854,97920,20416,7025,2324,38054
Grimes,7,1200,1189,993,196,23414,5855,234,311,9359
Guadalupe,8,6275,7858,5570,2288,136431,26026,3801,1225,50897
Hale,1,2600,2326,1901,425,24936,4790,873,399,10194
Hall,1,0,328,294,34,2606,834,27,72,1022
Hamilton,7,1600,2115,1647,468,6553,2009,481,296,2354
Hansford,1,600,581,495,86,4417,1003,139,84,1738
Hardeman,2/3,500,636,511,125,3008,791,102,16,1115
Hardin,6/5S,4700,3156,2800,356,45896,10632,1003,527,16151
Harris,6/5S,571325,363009,290311,72698,3866923,553323,225769,27623,1511002
Harrison,4/5N,2800,2659,2192,467,52923,12077,3063,608,20791
Hartley,1,1475,349,333,16,5042,947,196,94,1847
Haskell,2/3,200,437,389,48,5119,1387,123,68,1959
Hays,7,18125,16082,12837,3245,196828,33403,5488,1907,63899
Hemphill,1,800,547,415,132,3429,657,104,98,1331
Henderson,4/5N,3400,3906,3150,756,66406,19050,2043,998,25809
Hidalgo,11,107750,59969,47042,12927,650228,105784,54962,17074,298355
Hill,7,1100,2207,1869,338,28116,7909,862,523,10690
Hockley,1,900,1481,1161,320,18921,3934,483,263,7134
Hood,2/3,2200,2623,2026,597,48946,15808,1720,867,16072
Hopkins,4/5N,2400,2099,1776,323,29544,7770,1192,620,10909
Houston,4/5N,1500,1523,1282,241,18491,4958,634,538,7281
Howard,9/10,2700,1575,1171,404,33215,5245,1456,454,13733
Hudspeth,9/10,100,182,169,13,2771,816,33,0,1085
Hunt,2/3,7050,6656,4496,2160,76397,17197,4112,947,29659
Hutchinson,1,600,1394,1211,183,16691,3716,504,246,6241
Irion,9/10,0,89,75,14,1280,406,15,0,414
Jack,2/3,500,452,386,66,7087,1558,198,149,2643
Jackson,8,2775,1438,1133,305,12317,3017,380,237,4492
Jasper,4/5N,5100,2328,2229,99,28138,7424,1597,374,11600
Jeff Davis,9/10,100,175,163,12,1854,757,28,0,550
Jefferson,6/5S,22900,9334,8231,1103,204766,39344,13127,2431,93298
Jim Hogg,11,100,603,546,57,3724,895,14,60,1533
Jim Wells,11,3250,4103,3638,465,32000,7047,3897,985,12851
Johnson,2/3,3500,9159,7362,1797,134667,27809,3559,1471,51612
Jones,2/3,400,929,775,154,16850,3192,337,254,6897
Karnes,8,1300,937,865,72,12394,2550,370,244,4873
Kaufman,2/3,3750,6968,5235,1733,99179,18986,2857,1189,37771
Kendall,8,2300,3960,2875,1085,38571,10233,1091,801,12525
Kenedy,11,0,92,91,1,385,124,1,0,143
Kent,2/3,0,76,72,4,664,255,13,60,196
Kerr,8,3200,3265,2343,922,43315,14517,2805,1022,13881
Kimble,9/10,300,354,288,66,3576,1316,90,0,1189
King,1,0,16,13,3,267,81,7,0,84
Kinney,8,100,273,271,2,2809,858,11,0,1067
Kleberg,11,5050,4607,4329,278,25029,4585,1401,341,9404
Knox,2/3,300,412,346,66,3076,900,95,127,1025
La Salle,8,2150,1393,1356,37,6950,1386,22,60,2582
Lamar,4/5N,3700,4228,3169,1059,39931,10627,3115,745,14799
Lamb,1,400,1327,1166,161,9751,2528,454,226,3821
Lampasas,7,300,857,746,111,17203,4698,348,284,6190
Lavaca,8,1900,1581,1274,307,16378,4631,820,612,5686
Lee,7,600,722,603,119,14026,3604,334,226,5159
Leon,7,600,662,530,132,14157,4371,155,74,4746
Liberty,6/5S,5450,3072,2683,389,67078,13667,1398,614,27507
Limestone,7,1500,1003,907,96,18913,4908,2332,1060,7409
Lipscomb,1,100,278,220,58,2873,747,24,61,1027
Live Oak,11,200,692,646,46,9816,2652,35,100,3589
Llano,7,100,949,815,134,16584,6791,277,358,4867
Loving,9/10,0,19,19,0,79,37,0,0,20
Lubbock,1,73900,46053,36632,9421,254605,44436,20974,4093,84908
Lynn,1,200,540,447,93,4386,1038,191,40,1748
Madison,7,700,476,369,107,11642,2357,299,258,4429
Marion,4/5N,0,289,216,73,8491,2651,351,158,3200
Martin,9/10,600,404,332,72,4655,970,165,0,1721
Mason,9/10,200,365,245,120,3218,1203,104,0,1018
Matagorda,6/5S,2500,1413,1289,124,28934,6734,1113,369,11588
Maverick,8,4800,3142,2649,493,44442,8269,2970,1198,19027
McCulloch,9/10,600,351,325,26,6974,2195,212,122,2342
McLennan,7,23700,19316,16418,2898,198197,39227,11153,3621,70106
McMullen,11,100,73,70,3,671,301,10,0,175
Medina,8,1400,3106,2454,652,40921,9080,899,536,15761
Menard,9/10,100,264,208,56,1807,731,9,40,542
Midland,9/10,16750,10388,8107,2281,144930,18663,5950,1288,55557
Milam,7,1800,1524,1406,118,19423,5617,532,297,7303
Mills,7,200,488,381,107,3922,1415,149,152,1264
Mitchell,2/3,600,406,307,99,8166,1762,265,96,3093
Montague,2/3,1275,1726,1611,115,15356,4484,560,383,5393
Montgomery,6/5S,47850,26896,21436,5460,494493,92118,20255,3836,164169
Moore,1,1100,1652,1415,237,16000,2666,448,176,6494
Morris,4/5N,300,595,437,158,9910,3028,77,179,3579
Motley,1,0,107,92,15,986,405,22,50,296
Nacogdoches,4/5N,6700,6590,5495,1095,52134,10807,2530,755,19713
Navarro,2/3,4000,3574,3104,470,37845,9298,1720,869,15158
Newton,4/5N,400,662,633,29,11330,2852,55,113,4680
Nolan,2/3,1600,1759,1584,175,12129,2951,519,251,4543
Nueces,11,48525,27633,19793,7840,301743,57203,25582,4100,120803
Ochiltree,1,900,815,637,178,8466,1395,200,114,3338
Oldham,1,100,249,214,35,1797,467,18,0,616
Orange,6/5S,1200,2108,1892,216,68992,16237,1456,548,26958
Palo Pinto,2/3,1300,1201,1041,160,22350,5885,864,283,8364
Panola,4/5N,1200,1001,913,88,19380,4947,473,377,7404
Parker,2/3,9200,9473,7977,1496,109678,25748,2890,1301,38104
Parmer,1,500,748,647,101,6852,1400,161,174,2710
Pecos,9/10,1300,1541,1087,454,12932,2367,400,120,5240
Polk,4/5N,2800,2123,1875,248,40850,10352,1184,574,16042
Potter,1,60050,16811,13430,3381,95716,18233,10224,1770,37502
Presidio,9/10,400,622,600,22,4516,1352,27,0,1860
Rains,4/5N,200,539,422,117,9415,2857,163,68,3345
Randall,1,4600,25542,20080,5462,110179,22818,2812,869,34944
Reagan,9/10,200,207,194,13,3272,649,52,42,1275
Real,8,0,354,331,23,2778,1138,25,86,912
Red River,4/5N,500,1077,963,114,10218,3201,420,252,3768
Reeves,9/10,2450,2257,2152,105,12796,2118,281,89,5168
Refugio,11,600,1062,711,351,6038,1861,228,154,2139
Roberts,1,0,66,54,12,794,256,16,0,254
Robertson,7,700,771,616,155,13592,3465,252,252,5023
Rockwall,2/3,4400,6583,5195,1388,83981,15512,3750,1347,28209
Runnels,2/3,1300,1013,808,205,8755,2606,405,312,3038
Rusk,4/5N,1100,1872,1563,309,42667,9510,1501,759,16711
Sabine,4/5N,1300,1012,957,55,8194,3007,572,186,2848
San Augustine,4/5N,800,507,453,54,6879,2330,415,337,2570
San Jacinto,4/5N,1100,1196,1070,126,23313,6586,132,190,9150
San Patricio,11,1700,3310,2654,656,55627,11823,975,347,20413
San Saba,7,200,106,93,13,4798,1479,33,72,1716
Schleicher,9/10,200,181,135,46,2580,684,65,34,906
Scurry,2/3,1875,1256,1208,48,14395,2797,399,128,5741
Shackelford,2/3,100,150,126,24,2713,732,52,0,967
Shelby,4/5N,1200,933,831,102,19620,4645,540,369,7907
Sherman,1,100,253,243,10,2547,600,24,42,923
Smith,4/5N,47600,24403,18246,6157,186509,41357,19690,3030,63431
Somervell,2/3,300,527,423,104,7605,2125,457,220,2674
Starr,11,3800,3923,2748,1175,47076,8375,4479,1999,21286
Stephens,2/3,300,378,347,31,7628,2031,168,92,2899
Sterling,9/10,100,69,63,6,1027,326,10,44,333
Stonewall,2/3,200,134,124,10,1256,482,63,53,389
Sutton,9/10,200,237,212,25,3494,950,91,0,1178
Swisher,1,200,685,565,120,5828,1500,114,61,2311
Tarrant,2/3,277725,126886,106587,20299,1697191,275973,86106,18386,611124
Taylor,2/3,16875,15531,11517,4014,109707,21645,11065,2465,37074
Terrell,9/10,0,217,199,18,870,342,10,0,285
Terry,1,2375,1633,1217,416,9981,2051,345,178,4243
Throckmorton,2/3,300,307,275,32,1235,419,64,0,406
Titus,4/5N,2700,1668,1201,467,24866,5311,1811,633,9836
Tom Green,9/10,16950,12457,9609,2848,99401,20091,6702,1601,34976
Travis,7,150550,96155,75178,20977,1055964,138844,51820,8264,316406
Trinity,4/5N,1775,704,630,74,11811,3976,347,241,4231
Tyler,4/5N,1200,1380,1225,155,17475,4874,476,238,6679
Upshur,4/5N,600,1539,1194,345,33807,8366,714,567,12492
Upton,9/10,400,448,318,130,3145,797,170,30,1183
Uvalde,8,3750,3465,3033,432,21966,4682,1498,515,8988
Val Verde,8,4050,4190,3747,443,36171,7353,2610,490,14063
Van Zandt,4/5N,2000,3216,2507,709,44585,12424,1280,711,16081
Victoria,8,9175,8030,6199,1831,78170,15996,5624,1030,30030
Walker,6/5S,4000,2953,2536,417,63001,10537,1526,400,24186
Waller,6/5S,1700,1626,1376,250,41643,7343,1182,466,15675
Ward,9/10,400,754,644,110,10349,1931,137,92,4100
Washington,7,6200,2140,1851,289,28511,7822,2581,1018,10407
Webb,11,33500,20152,15950,4202,206120,29007,12073,1646,92099
Wharton,6/5S,2100,1699,1474,225,32707,7890,1438,615,12905
Wheeler,1,400,520,478,42,4507,1329,200,114,1592
Wichita,2/3,21600,13878,11298,2580,106967,22532,8664,2030,41373
Wilbarger,2/3,4700,2161,1572,589,10374,2720,457,304,4087
Willacy,11,500,1639,1454,185,17301,3242,325,557,7732
Williamson,7,44250,39246,30269,8977,476807,81282,14404,4639,150300
Wilson,8,3400,3890,2803,1087,42688,9746,1224,615,14363
Winkler,9/10,200,584,547,37,6884,1133,102,0,2818
Wise,2/3,5550,4493,3426,1067,53226,11884,3589,552,21043
Wood,4/5N,1500,2698,2251,447,37555,12788,1046,880,12656
Yoakum,1,600,755,517,238,6757,1283,225,60,2540
Young,2/3,1900,1270,999,271,14738,4269,862,431,5308
Zapata,11,700,756,665,91,10303,1970,195,202,4766
Zavala,8,200,1060,955,105,9244,1774,25,60,4235
*Other,N/A,9775,245205,197392,47813,,,,,
,,,,,,,,,,
